trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	9	KG00098432	Confusion NOS	0.08203160017728806
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.059554725885391235
trial_1	placebo	49	KG00099902	nausea with vomiting	0.058580927550792694
trial_1	placebo	87	KG00098599	diarrhoea	0.058520443737506866
trial_1	placebo	68	KG00099901	nauseas	0.05380483716726303
trial_1	placebo	77	KG00098450	Constipation NOS	0.052159782499074936
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.050114620476961136
trial_1	placebo	17	KG00097991	Asthenia NOS	0.04122767969965935
trial_1	placebo	46	KG00099121	Headache NOS	0.041063420474529266
trial_1	placebo	123	KG00099351	hypokalaemia	0.04089446738362312
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03801777958869934
trial_1	placebo	21	KG00098675	dyspnoea	0.03734797611832619
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.0371500700712204
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03502335026860237
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03203601762652397
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.030790554359555244
trial_1	placebo	20	KG00098540	dehydration	0.03076903522014618
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.030698494985699654
trial_1	placebo	114	KG00098933	fevers	0.030639171600341797
trial_1	placebo	177	KG00099299	hyperglycaemia	0.029605336487293243
trial_1	placebo	14	KG00097852	Anemia NOS	0.028529273346066475
trial_1	placebo	126	KG00100076	Pain NOS	0.026757005602121353
trial_1	placebo	101	KG00097901	Anorexia NOS	0.024811850860714912
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.023739205673336983
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.023499535396695137
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.022279808297753334
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.02187263034284115
trial_1	placebo	211	KG00100341	Pruritus NOS	0.021829457953572273
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02159447781741619
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02157565765082836
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.020806865766644478
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02076777070760727
trial_1	placebo	441	KG00098262	cellulitis nos	0.020080747082829475
trial_1	placebo	147	KG00098000	atelectases	0.020039677619934082
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.01979578286409378
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.019180720672011375
trial_1	placebo	5	KG00099169	haematuria	0.019033316522836685
trial_1	placebo	350	KG00106765	decreased platelet count	0.018282584846019745
trial_1	placebo	104	KG00097963	arthralgias	0.01808973215520382
trial_1	placebo	86	KG00098565	Depression, Mental	0.01774107664823532
trial_1	placebo	228	KG00114657	Weight below normal	0.017639033496379852
trial_1	placebo	28	KG00099347	hypoglycaemia	0.017420964315533638
trial_1	placebo	69	KG00100082	Palpitations NOS	0.017355388030409813
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.01735275238752365
trial_1	placebo	66	KG00098642	drowsiness	0.017270676791667938
trial_1	placebo	29	KG00099354	hyponatraemia	0.01712995395064354
trial_1	placebo	466	KG00101205	fall	0.017034215852618217
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.017031358554959297
trial_1	placebo	102	KG00097916	anxieties	0.01702806167304516
trial_1	placebo	18	KG00098307	Pain, Chest	0.01698458567261696
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.01635192707180977
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.016025839373469353
trial_1	placebo	234	KG00098669	dysgeusias	0.015940532088279724
trial_1	placebo	85	KG00098474	coughs	0.015651367604732513
trial_1	placebo	269	KG00100399	pyaemia	0.015614209696650505
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.015540437772870064
trial_1	placebo	239	KG00100128	pareses	0.015243975445628166
trial_1	placebo	72	KG00103771	myalgias	0.015187394805252552
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.014925988391041756
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.014890609309077263
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.01459153089672327
trial_1	placebo	116	KG00098964	Pain in foot	0.013948336243629456
trial_1	placebo	286	KG00101110	Retention, Urinary	0.013866953551769257
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.013852876611053944
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.013519099913537502
trial_1	placebo	11	KG00097993	Asthma NOS	0.013017261400818825
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.013003925792872906
trial_1	placebo	221	KG00101207	peripheral oedema	0.012864939868450165
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.01269899308681488
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.012623748742043972
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.01252669282257557
trial_1	placebo	262	KG00101199	agitation	0.012356218881905079
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.012335246428847313
trial_1	placebo	118	KG00099011	Gastritis NOS	0.012194041162729263
trial_1	placebo	82	KG00097697	abdomen distended	0.012130188755691051
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.012086167000234127
trial_1	placebo	121	KG00099190	haemorrhage	0.012073692865669727
trial_1	placebo	4	KG00098817	epistaxis	0.012029874138534069
trial_1	placebo	191	KG00104055	Biliverdin increased	0.011941728182137012
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.011779696680605412
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.011742746457457542
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.011695698834955692
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.01151330303400755
trial_1	placebo	179	KG00099342	hypocalcaemia	0.011378828436136246
trial_1	placebo	164	KG00108827	ileus colon	0.011039622128009796
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.011017758399248123
trial_1	placebo	132	KG00101045	Gain, Weight	0.010805662721395493
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.010661641135811806
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.010614336468279362
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.010556105524301529
trial_1	placebo	242	KG00100855	tremors	0.010439991019666195
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.010361378081142902
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.010340051725506783
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.010320352390408516
trial_1	placebo	503	KG00102612	low haemoglobin	0.010149302892386913
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.01005067490041256
trial_1	placebo	456	KG00099420	Influenzae	0.010009757243096828
trial_1	placebo	300	KG00101064	xerostomia	0.009977883659303188
trial_1	placebo	22	KG00098705	Edema (NOS)	0.009962078183889389
trial_1	placebo	27	KG00099303	hyperkalaemia	0.009621312841773033
trial_2	acetaminophen	9	KG00098432	Confusion NOS	0.08203160017728806
trial_2	acetaminophen	173	KG00098172	Bronchopneumonia NOS	0.059554725885391235
trial_2	acetaminophen	49	KG00099902	nausea with vomiting	0.058580927550792694
trial_2	acetaminophen	87	KG00098599	diarrhoea	0.058520443737506866
