trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	17	KG00097991	Asthenia NOS	0.14439673721790314
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.14408278465270996
trial_1	placebo	87	KG00098599	diarrhoea	0.13520531356334686
trial_1	placebo	9	KG00098432	Confusion NOS	0.11389228701591492
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0953390970826149
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08927947282791138
trial_1	placebo	77	KG00098450	Constipation NOS	0.08551967144012451
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0834922268986702
trial_1	placebo	46	KG00099121	Headache NOS	0.08071231096982956
trial_1	placebo	132	KG00101045	Gain, Weight	0.07713884115219116
trial_1	placebo	21	KG00098675	dyspnoea	0.07631728053092957
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07407768815755844
trial_1	placebo	20	KG00098540	dehydration	0.07380307465791702
trial_1	placebo	86	KG00098565	Depression, Mental	0.06343775987625122
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06331956386566162
trial_1	placebo	123	KG00099351	hypokalaemia	0.061697229743003845
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06028251349925995
trial_1	placebo	68	KG00099901	nauseas	0.059640221297740936
trial_1	placebo	228	KG00114657	Weight below normal	0.05842461436986923
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05650804191827774
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0564221516251564
trial_1	placebo	104	KG00097963	arthralgias	0.05506894737482071
trial_1	placebo	85	KG00098474	coughs	0.05487486347556114
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05451514944434166
trial_1	placebo	66	KG00098642	drowsiness	0.05258207768201828
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04905830696225166
trial_1	placebo	114	KG00098933	fevers	0.04833164066076279
trial_1	placebo	29	KG00099354	hyponatraemia	0.047672804445028305
trial_1	placebo	239	KG00100128	pareses	0.046225547790527344
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.045630402863025665
trial_1	placebo	126	KG00100076	Pain NOS	0.045496806502342224
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04464583471417427
trial_1	placebo	14	KG00097852	Anemia NOS	0.044245414435863495
trial_1	placebo	180	KG00099363	Hypotension NOS	0.043762851506471634
trial_1	placebo	102	KG00097916	anxieties	0.04241316020488739
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.04084568843245506
trial_1	placebo	350	KG00106765	decreased platelet count	0.04071762412786484
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04043213278055191
trial_1	placebo	262	KG00101199	agitation	0.04018435254693031
trial_1	placebo	242	KG00100855	tremors	0.03892551362514496
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03891728073358536
trial_1	placebo	300	KG00101064	xerostomia	0.03804213926196098
trial_1	placebo	96	KG00101679	Unattended death NOS	0.037513136863708496
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03703859820961952
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.036133646965026855
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03351956605911255
trial_1	placebo	116	KG00098964	Pain in foot	0.03343408927321434
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.0321001298725605
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.032001376152038574
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03199569880962372
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.031843069940805435
trial_1	placebo	466	KG00101205	fall	0.031808022409677505
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.031215397641062737
trial_1	placebo	5	KG00099169	haematuria	0.031090201810002327
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.030421780422329903
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.029386522248387337
trial_1	placebo	72	KG00103771	myalgias	0.029004255309700966
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02796965464949608
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.027816880494356155
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.027240589261054993
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.026919804513454437
trial_1	placebo	18	KG00098307	Pain, Chest	0.026816697791218758
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02661977708339691
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.026380619034171104
trial_1	placebo	27	KG00099303	hyperkalaemia	0.026193175464868546
trial_1	placebo	508	KG00108565	blood glucose increased	0.024764008820056915
trial_1	placebo	456	KG00099420	Influenzae	0.024570252746343613
trial_1	placebo	191	KG00104055	Biliverdin increased	0.023875050246715546
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.023794513195753098
trial_1	placebo	11	KG00097993	Asthma NOS	0.0234579648822546
trial_1	placebo	221	KG00101207	peripheral oedema	0.02343669719994068
trial_1	placebo	147	KG00098000	atelectases	0.02337789535522461
trial_1	placebo	22	KG00098705	Edema (NOS)	0.02263231761753559
trial_1	placebo	234	KG00098669	dysgeusias	0.02254660800099373
trial_1	placebo	118	KG00099011	Gastritis NOS	0.02222326211631298
trial_1	placebo	153	KG00099579	lethargy	0.02190820686519146
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.021587880328297615
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.021544648334383965
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.021430810913443565
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.02137928642332554
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.021369725465774536
trial_1	placebo	269	KG00100399	pyaemia	0.021249549463391304
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.02113000862300396
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.020722297951579094
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.020664416253566742
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.020636936649680138
trial_1	placebo	152	KG00099402	INCONTINENCE NOS	0.02051669918000698
trial_1	placebo	82	KG00097697	abdomen distended	0.020464062690734863
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.02030223421752453
trial_1	placebo	339	KG00100334	proteinurias	0.020294969901442528
trial_1	placebo	286	KG00101110	Retention, Urinary	0.019996805116534233
trial_1	placebo	345	KG00103926	impairments memory	0.01971796713769436
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.019702613353729248
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.019617212936282158
trial_1	placebo	121	KG00099190	haemorrhage	0.01947484165430069
trial_1	placebo	136	KG00101582	Dry;skin	0.01946573331952095
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.019317753612995148
trial_1	placebo	164	KG00108827	ileus colon	0.019230633974075317
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.019004616886377335
trial_1	placebo	154	KG00099686	Lymphopenias	0.018866337835788727
trial_2	acetophenazine	17	KG00097991	Asthenia NOS	0.14439673721790314
trial_2	acetophenazine	78	KG00099326	Hypertensive diseases	0.14408278465270996
trial_2	acetophenazine	87	KG00098599	diarrhoea	0.13520531356334686
trial_2	acetophenazine	9	KG00098432	Confusion NOS	0.11389228701591492
trial_2	acetophenazine	177	KG00099299	hyperglycaemia	0.0953390970826149
trial_2	acetophenazine	173	KG00098172	Bronchopneumonia NOS	0.08927947282791138
trial_2	acetophenazine	77	KG00098450	Constipation NOS	0.08551967144012451
trial_2	acetophenazine	79	KG00100317	Insomnia, Primary	0.0834922268986702
trial_2	acetophenazine	46	KG00099121	Headache NOS	0.08071231096982956
trial_2	acetophenazine	132	KG00101045	Gain, Weight	0.07713884115219116
trial_2	acetophenazine	21	KG00098675	dyspnoea	0.07631728053092957
trial_2	acetophenazine	189	KG00101580	Alanine aminotransferase increase	0.07407768815755844
trial_2	acetophenazine	20	KG00098540	dehydration	0.07380307465791702
trial_2	acetophenazine	86	KG00098565	Depression, Mental	0.06343775987625122
trial_2	acetophenazine	188	KG00101579	Aspartate aminotransferase increase	0.06331956386566162
trial_2	acetophenazine	123	KG00099351	hypokalaemia	0.061697229743003845
trial_2	acetophenazine	49	KG00099902	nausea with vomiting	0.06028251349925995
trial_2	acetophenazine	68	KG00099901	nauseas	0.059640221297740936
trial_2	acetophenazine	228	KG00114657	Weight below normal	0.05842461436986923
trial_2	acetophenazine	64	KG00097734	Acrodermatitis, NOS	0.05650804191827774
trial_2	acetophenazine	37	KG00097696	Cramps, Abdominal	0.0564221516251564
trial_2	acetophenazine	104	KG00097963	arthralgias	0.05506894737482071
trial_2	acetophenazine	85	KG00098474	coughs	0.05487486347556114
trial_2	acetophenazine	67	KG00098673	Dyspepsia, NOS	0.05451514944434166
trial_2	acetophenazine	66	KG00098642	drowsiness	0.05258207768201828
trial_2	acetophenazine	200	KG00098539	Disorders, Deglutition	0.04905830696225166
trial_2	acetophenazine	114	KG00098933	fevers	0.04833164066076279
trial_2	acetophenazine	29	KG00099354	hyponatraemia	0.047672804445028305
trial_2	acetophenazine	239	KG00100128	pareses	0.046225547790527344
trial_2	acetophenazine	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.045630402863025665
trial_2	acetophenazine	126	KG00100076	Pain NOS	0.045496806502342224
trial_2	acetophenazine	151	KG00098274	Infarction, Cerebral	0.04464583471417427
trial_2	acetophenazine	14	KG00097852	Anemia NOS	0.044245414435863495
trial_2	acetophenazine	180	KG00099363	Hypotension NOS	0.043762851506471634
trial_2	acetophenazine	102	KG00097916	anxieties	0.04241316020488739
trial_2	acetophenazine	36	KG00106434	Vision, Blurring Of	0.04084568843245506
trial_2	acetophenazine	350	KG00106765	decreased platelet count	0.04071762412786484
trial_2	acetophenazine	28	KG00099347	hypoglycaemia	0.04043213278055191
trial_2	acetophenazine	262	KG00101199	agitation	0.04018435254693031
trial_2	acetophenazine	242	KG00100855	tremors	0.03892551362514496
trial_2	acetophenazine	101	KG00097901	Anorexia NOS	0.03891728073358536
trial_2	acetophenazine	300	KG00101064	xerostomia	0.03804213926196098
trial_2	acetophenazine	96	KG00101679	Unattended death NOS	0.037513136863708496
trial_2	acetophenazine	76	KG00100450	Respiratory insufficiency, NOS	0.03703859820961952
trial_2	acetophenazine	243	KG00100947	Micturition frequency increased	0.036133646965026855
trial_2	acetophenazine	179	KG00099342	hypocalcaemia	0.03351956605911255
