trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.13381099700927734
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1295679658651352
trial_1	placebo	123	KG00099351	hypokalaemia	0.11134350299835205
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10774055123329163
trial_1	placebo	21	KG00098675	dyspnoea	0.10136456042528152
trial_1	placebo	68	KG00099901	nauseas	0.09858880192041397
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09671760350465775
trial_1	placebo	17	KG00097991	Asthenia NOS	0.09304468333721161
trial_1	placebo	20	KG00098540	dehydration	0.092631995677948
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09166298806667328
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08337567746639252
trial_1	placebo	9	KG00098432	Confusion NOS	0.0796748474240303
trial_1	placebo	46	KG00099121	Headache NOS	0.07787035405635834
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0726797804236412
trial_1	placebo	14	KG00097852	Anemia NOS	0.06443637609481812
trial_1	placebo	77	KG00098450	Constipation NOS	0.06338083744049072
trial_1	placebo	114	KG00098933	fevers	0.06275387853384018
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06209276244044304
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05996277555823326
trial_1	placebo	126	KG00100076	Pain NOS	0.05965602025389671
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05837959423661232
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05816911906003952
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.056598104536533356
trial_1	placebo	350	KG00106765	decreased platelet count	0.05416685342788696
trial_1	placebo	29	KG00099354	hyponatraemia	0.052871331572532654
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.051264867186546326
trial_1	placebo	228	KG00114657	Weight below normal	0.049889951944351196
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04846707731485367
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04811953753232956
trial_1	placebo	180	KG00099363	Hypotension NOS	0.048002831637859344
trial_1	placebo	179	KG00099342	hypocalcaemia	0.045988380908966064
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04376964643597603
trial_1	placebo	85	KG00098474	coughs	0.042091138660907745
trial_1	placebo	147	KG00098000	atelectases	0.0420323871076107
trial_1	placebo	27	KG00099303	hyperkalaemia	0.04163631796836853
trial_1	placebo	96	KG00101679	Unattended death NOS	0.041253652423620224
trial_1	placebo	5	KG00099169	haematuria	0.041220273822546005
trial_1	placebo	104	KG00097963	arthralgias	0.04110705107450485
trial_1	placebo	86	KG00098565	Depression, Mental	0.03975973278284073
trial_1	placebo	28	KG00099347	hypoglycaemia	0.039370644837617874
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03807632997632027
trial_1	placebo	72	KG00103771	myalgias	0.03784142807126045
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03765178099274635
trial_1	placebo	239	KG00100128	pareses	0.03656052052974701
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03614317253232002
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03565201535820961
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03498529642820358
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03381657972931862
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03365958482027054
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.033509381115436554
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.032842330634593964
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03234980255365372
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03216128423810005
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03194093704223633
trial_1	placebo	121	KG00099190	haemorrhage	0.031359702348709106
trial_1	placebo	269	KG00100399	pyaemia	0.031067607924342155
trial_1	placebo	441	KG00098262	cellulitis nos	0.02991604432463646
trial_1	placebo	18	KG00098307	Pain, Chest	0.029716787859797478
trial_1	placebo	116	KG00098964	Pain in foot	0.02925102226436138
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.02924182265996933
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.029022308066487312
trial_1	placebo	282	KG00099309	hypernatraemia	0.0289713516831398
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.028600115329027176
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.028574492782354355
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02720232866704464
trial_1	placebo	211	KG00100341	Pruritus NOS	0.02709309197962284
trial_1	placebo	186	KG00101431	creatinine increased	0.027012553066015244
trial_1	placebo	102	KG00097916	anxieties	0.026752149686217308
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02665931172668934
trial_1	placebo	191	KG00104055	Biliverdin increased	0.026516340672969818
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02539198473095894
trial_1	placebo	82	KG00097697	abdomen distended	0.025378864258527756
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.024902408942580223
trial_1	placebo	466	KG00101205	fall	0.02438260242342949
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.024300850927829742
trial_1	placebo	221	KG00101207	peripheral oedema	0.02402130700647831
