trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.14686137437820435
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09059014916419983
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07852305471897125
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07421757280826569
trial_1	placebo	20	KG00098540	dehydration	0.06955484300851822
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06494464725255966
trial_1	placebo	123	KG00099351	hypokalaemia	0.06480000168085098
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06265313923358917
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06256567686796188
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05718747898936272
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.056992851197719574
trial_1	placebo	77	KG00098450	Constipation NOS	0.05315035209059715
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05164942517876625
trial_1	placebo	9	KG00098432	Confusion NOS	0.05066384747624397
trial_1	placebo	228	KG00114657	Weight below normal	0.04800839722156525
trial_1	placebo	46	KG00099121	Headache NOS	0.04616714268922806
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04487641900777817
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04193646460771561
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04000251740217209
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.039807599037885666
trial_1	placebo	68	KG00099901	nauseas	0.03861531987786293
trial_1	placebo	29	KG00099354	hyponatraemia	0.036976732313632965
trial_1	placebo	17	KG00097991	Asthenia NOS	0.03693090379238129
trial_1	placebo	350	KG00106765	decreased platelet count	0.03510826453566551
trial_1	placebo	21	KG00098675	dyspnoea	0.034308210015296936
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.033776577562093735
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03357366845011711
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.032526638358831406
trial_1	placebo	82	KG00097697	abdomen distended	0.031524308025836945
trial_1	placebo	132	KG00101045	Gain, Weight	0.03041626699268818
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03027123212814331
trial_1	placebo	5	KG00099169	haematuria	0.029589969664812088
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.029286732897162437
