trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.19537833333015442
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1510661095380783
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13014860451221466
trial_1	placebo	20	KG00098540	dehydration	0.12257609516382217
trial_1	placebo	123	KG00099351	hypokalaemia	0.11021266877651215
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10672853142023087
trial_1	placebo	9	KG00098432	Confusion NOS	0.10543069988489151
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.10238748043775558
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.10189089179039001
trial_1	placebo	77	KG00098450	Constipation NOS	0.09872349351644516
trial_1	placebo	17	KG00097991	Asthenia NOS	0.09539486467838287
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.09403128176927567
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09349062293767929
trial_1	placebo	68	KG00099901	nauseas	0.08672763407230377
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.08657786250114441
trial_1	placebo	21	KG00098675	dyspnoea	0.08293000608682632
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07897388190031052
trial_1	placebo	46	KG00099121	Headache NOS	0.0775998905301094
trial_1	placebo	14	KG00097852	Anemia NOS	0.07029496878385544
trial_1	placebo	228	KG00114657	Weight below normal	0.06874966621398926
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06538523733615875
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.06390917301177979
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.06336881965398788
trial_1	placebo	350	KG00106765	decreased platelet count	0.06292694061994553
trial_1	placebo	114	KG00098933	fevers	0.062490031123161316
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06246325373649597
trial_1	placebo	86	KG00098565	Depression, Mental	0.06045473366975784
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06015606224536896
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05847831070423126
trial_1	placebo	104	KG00097963	arthralgias	0.05637307092547417
trial_1	placebo	239	KG00100128	pareses	0.051174137741327286
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05117068812251091
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05111464112997055
trial_1	placebo	29	KG00099354	hyponatraemia	0.05043870583176613
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.05024569854140282
trial_1	placebo	101	KG00097901	Anorexia NOS	0.05005640536546707
