trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.11241335421800613
trial_1	placebo	46	KG00099121	Headache NOS	0.09903831034898758
trial_1	placebo	123	KG00099351	hypokalaemia	0.09319956600666046
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08614706993103027
trial_1	placebo	68	KG00099901	nauseas	0.0794520452618599
trial_1	placebo	87	KG00098599	diarrhoea	0.07680222392082214
trial_1	placebo	9	KG00098432	Confusion NOS	0.07510752230882645
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07488954812288284
trial_1	placebo	21	KG00098675	dyspnoea	0.06929371505975723
trial_1	placebo	17	KG00097991	Asthenia NOS	0.061898283660411835
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06114120036363602
trial_1	placebo	14	KG00097852	Anemia NOS	0.05765942856669426
trial_1	placebo	20	KG00098540	dehydration	0.05624345690011978
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05489889159798622
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05440911650657654
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.047651372849941254
trial_1	placebo	126	KG00100076	Pain NOS	0.04698380082845688
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04482525587081909
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04440631344914436
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04383310303092003
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04096342250704765
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03816975653171539
trial_1	placebo	114	KG00098933	fevers	0.03813119977712631
trial_1	placebo	85	KG00098474	coughs	0.03716301545500755
trial_1	placebo	104	KG00097963	arthralgias	0.03571062907576561
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03544612228870392
trial_1	placebo	147	KG00098000	atelectases	0.03526705503463745
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03524082526564598
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03474738448858261
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03421900048851967
trial_1	placebo	29	KG00099354	hyponatraemia	0.03371738642454147
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03341253101825714
trial_1	placebo	18	KG00098307	Pain, Chest	0.03328165039420128
trial_1	placebo	77	KG00098450	Constipation NOS	0.033226318657398224
trial_1	placebo	28	KG00099347	hypoglycaemia	0.032389670610427856
trial_1	placebo	350	KG00106765	decreased platelet count	0.032386116683483124
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.031170964241027832
trial_1	placebo	441	KG00098262	cellulitis nos	0.031122377142310143
trial_1	placebo	5	KG00099169	haematuria	0.030896000564098358
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.030103815719485283
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02974005416035652
trial_1	placebo	116	KG00098964	Pain in foot	0.02938005141913891
trial_1	placebo	27	KG00099303	hyperkalaemia	0.029315872117877007
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.02873799204826355
trial_1	placebo	269	KG00100399	pyaemia	0.02868134342133999
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.028501277789473534
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.028403716161847115
trial_1	placebo	72	KG00103771	myalgias	0.028209298849105835
trial_1	placebo	69	KG00100082	Palpitations NOS	0.027600694447755814
trial_1	placebo	86	KG00098565	Depression, Mental	0.02759484574198723
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.026988288387656212
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.02670810930430889
trial_1	placebo	121	KG00099190	haemorrhage	0.02663634903728962
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.026494864374399185
trial_1	placebo	239	KG00100128	pareses	0.025940297171473503
trial_1	placebo	228	KG00114657	Weight below normal	0.025818532332777977
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.025622764602303505
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.024615338072180748
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.023923546075820923
trial_1	placebo	101	KG00097901	Anorexia NOS	0.02332949824631214
trial_1	placebo	166	KG00099773	menopausal syndrome	0.022573349997401237
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.022458776831626892
trial_1	placebo	282	KG00099309	hypernatraemia	0.02245577611029148
trial_1	placebo	211	KG00100341	Pruritus NOS	0.02237159200012684
trial_1	placebo	179	KG00099342	hypocalcaemia	0.022223273292183876
trial_1	placebo	25	KG00099134	congestive failures heart	0.02191319689154625
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.02127031609416008
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.021102195605635643
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.0210807416588068
trial_1	placebo	164	KG00108827	ileus colon	0.02086394838988781
trial_1	placebo	102	KG00097916	anxieties	0.020409727469086647
trial_1	placebo	221	KG00101207	peripheral oedema	0.02030406892299652
trial_1	placebo	466	KG00101205	fall	0.020021509379148483
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.019505910575389862
trial_1	placebo	286	KG00101110	Retention, Urinary	0.019389424473047256
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.01906801573932171
trial_1	placebo	11	KG00097993	Asthma NOS	0.018668334931135178
trial_1	placebo	82	KG00097697	abdomen distended	0.01858552359044552
trial_1	placebo	22	KG00098705	Edema (NOS)	0.018517909571528435
trial_1	placebo	212	KG00100576	shivers	0.018505532294511795
trial_1	placebo	4	KG00098817	epistaxis	0.018224986270070076
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.017835259437561035
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.01775718852877617
trial_1	placebo	234	KG00098669	dysgeusias	0.01756216585636139
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.017465021461248398
trial_1	placebo	191	KG00104055	Biliverdin increased	0.017180854454636574
trial_1	placebo	454	KG00098286	Pain, Neck	0.016839394345879555
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.016592804342508316
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.016470013186335564
trial_1	placebo	508	KG00108565	blood glucose increased	0.01641240529716015
trial_1	placebo	262	KG00101199	agitation	0.01631368324160576
trial_1	placebo	163	KG00104050	bowel obstructions small	0.01626843772828579
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.016223270446062088
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.016079742461442947
trial_1	placebo	186	KG00101431	creatinine increased	0.016076408326625824
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.0159931480884552
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.01563390903174877
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.015393725596368313
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.0152365043759346
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.015198302455246449
trial_2	alprostadil	78	KG00099326	Hypertensive diseases	0.11241335421800613
trial_2	alprostadil	46	KG00099121	Headache NOS	0.09903831034898758
trial_2	alprostadil	123	KG00099351	hypokalaemia	0.09319956600666046
trial_2	alprostadil	173	KG00098172	Bronchopneumonia NOS	0.08614706993103027
trial_2	alprostadil	68	KG00099901	nauseas	0.0794520452618599
trial_2	alprostadil	87	KG00098599	diarrhoea	0.07680222392082214
trial_2	alprostadil	9	KG00098432	Confusion NOS	0.07510752230882645
trial_2	alprostadil	177	KG00099299	hyperglycaemia	0.07488954812288284
trial_2	alprostadil	21	KG00098675	dyspnoea	0.06929371505975723
trial_2	alprostadil	17	KG00097991	Asthenia NOS	0.061898283660411835
