trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.10301236063241959
trial_1	placebo	9	KG00098432	Confusion NOS	0.09567254781723022
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08005624264478683
trial_1	placebo	123	KG00099351	hypokalaemia	0.06323309242725372
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0627136155962944
trial_1	placebo	177	KG00099299	hyperglycaemia	0.05669920891523361
trial_1	placebo	46	KG00099121	Headache NOS	0.05584973469376564
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05042888596653938
trial_1	placebo	21	KG00098675	dyspnoea	0.04791213199496269
trial_1	placebo	17	KG00097991	Asthenia NOS	0.04754047840833664
trial_1	placebo	20	KG00098540	dehydration	0.04570985212922096
trial_1	placebo	68	KG00099901	nauseas	0.045088257640600204
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04490261897444725
trial_1	placebo	147	KG00098000	atelectases	0.04394851252436638
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.043769147247076035
trial_1	placebo	77	KG00098450	Constipation NOS	0.042407527565956116
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04217679798603058
trial_1	placebo	49	KG00099902	nausea with vomiting	0.039817940443754196
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03855519741773605
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03805261477828026
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.037438567727804184
trial_1	placebo	126	KG00100076	Pain NOS	0.036958739161491394
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.03616124391555786
trial_1	placebo	114	KG00098933	fevers	0.035953644663095474
trial_1	placebo	14	KG00097852	Anemia NOS	0.03591295704245567
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.035148944705724716
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.033355314284563065
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.032990869134664536
trial_1	placebo	269	KG00100399	pyaemia	0.03170658275485039
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.031609270721673965
trial_1	placebo	29	KG00099354	hyponatraemia	0.03079231083393097
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.029384061694145203
trial_1	placebo	85	KG00098474	coughs	0.028934277594089508
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.028875118121504784
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.028269460424780846
