trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.19474205374717712
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.18212823569774628
trial_1	placebo	68	KG00099901	nauseas	0.17568083107471466
trial_1	placebo	9	KG00098432	Confusion NOS	0.1583983600139618
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1553499698638916
trial_1	placebo	46	KG00099121	Headache NOS	0.13188053667545319
trial_1	placebo	49	KG00099902	nausea with vomiting	0.12750639021396637
trial_1	placebo	21	KG00098675	dyspnoea	0.11505202949047089
trial_1	placebo	77	KG00098450	Constipation NOS	0.1125522181391716
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11168552935123444
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.11084487289190292
trial_1	placebo	123	KG00099351	hypokalaemia	0.10762748122215271
trial_1	placebo	101	KG00097901	Anorexia NOS	0.10398807376623154
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.10078443586826324
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.1006135493516922
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.09972864389419556
trial_1	placebo	20	KG00098540	dehydration	0.09113115817308426
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08961585909128189
trial_1	placebo	228	KG00114657	Weight below normal	0.087208092212677
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0810198038816452
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07975513488054276
trial_1	placebo	114	KG00098933	fevers	0.07174783945083618
trial_1	placebo	14	KG00097852	Anemia NOS	0.06690051406621933
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06688186526298523
trial_1	placebo	126	KG00100076	Pain NOS	0.06427054107189178
trial_1	placebo	104	KG00097963	arthralgias	0.062198564410209656
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.060938332229852676
trial_1	placebo	350	KG00106765	decreased platelet count	0.059707604348659515
trial_1	placebo	86	KG00098565	Depression, Mental	0.05869755893945694
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05869118496775627
trial_1	placebo	72	KG00103771	myalgias	0.05856916308403015
trial_1	placebo	29	KG00099354	hyponatraemia	0.05805619806051254
trial_1	placebo	85	KG00098474	coughs	0.056330181658267975
trial_1	placebo	102	KG00097916	anxieties	0.05415059253573418
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.053441859781742096
trial_1	placebo	239	KG00100128	pareses	0.052957817912101746
trial_1	placebo	5	KG00099169	haematuria	0.05135251209139824
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04922597110271454
trial_1	placebo	180	KG00099363	Hypotension NOS	0.048868514597415924
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04859505966305733
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04791669175028801
trial_1	placebo	179	KG00099342	hypocalcaemia	0.046548858284950256
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.046316031366586685
trial_1	placebo	234	KG00098669	dysgeusias	0.046075448393821716
trial_1	placebo	147	KG00098000	atelectases	0.04591206833720207
trial_1	placebo	82	KG00097697	abdomen distended	0.04560019075870514
trial_1	placebo	116	KG00098964	Pain in foot	0.044922176748514175
trial_1	placebo	28	KG00099347	hypoglycaemia	0.043707139790058136
trial_1	placebo	69	KG00100082	Palpitations NOS	0.04354887083172798
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.043453820049762726
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.0433092899620533
