trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.2201250046491623
trial_1	placebo	17	KG00097991	Asthenia NOS	0.17142648994922638
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.16818910837173462
trial_1	placebo	9	KG00098432	Confusion NOS	0.1455921232700348
trial_1	placebo	123	KG00099351	hypokalaemia	0.14028863608837128
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.14026454091072083
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.13060371577739716
trial_1	placebo	20	KG00098540	dehydration	0.12554067373275757
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11911436170339584
trial_1	placebo	49	KG00099902	nausea with vomiting	0.11575925350189209
trial_1	placebo	21	KG00098675	dyspnoea	0.11572074890136719
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.11466153711080551
trial_1	placebo	46	KG00099121	Headache NOS	0.1128547340631485
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.1074565201997757
trial_1	placebo	77	KG00098450	Constipation NOS	0.10546744614839554
trial_1	placebo	68	KG00099901	nauseas	0.09400532394647598
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.09135065972805023
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09021583199501038
trial_1	placebo	114	KG00098933	fevers	0.08945661038160324
trial_1	placebo	228	KG00114657	Weight below normal	0.08776478469371796
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0806109681725502
trial_1	placebo	85	KG00098474	coughs	0.07944300770759583
trial_1	placebo	14	KG00097852	Anemia NOS	0.0752037912607193
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07484697550535202
trial_1	placebo	126	KG00100076	Pain NOS	0.06839049607515335
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06779764592647552
trial_1	placebo	29	KG00099354	hyponatraemia	0.06576769053936005
trial_1	placebo	350	KG00106765	decreased platelet count	0.06500522792339325
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.06493334472179413
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.06233048439025879
trial_1	placebo	104	KG00097963	arthralgias	0.06168978661298752
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.05560625344514847
