trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.11061637848615646
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.0820871889591217
trial_1	placebo	9	KG00098432	Confusion NOS	0.0747770220041275
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06950224190950394
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06449046730995178
trial_1	placebo	123	KG00099351	hypokalaemia	0.06396253407001495
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05943404138088226
trial_1	placebo	21	KG00098675	dyspnoea	0.05787075310945511
trial_1	placebo	20	KG00098540	dehydration	0.05549043044447899
trial_1	placebo	46	KG00099121	Headache NOS	0.05424506589770317
trial_1	placebo	17	KG00097991	Asthenia NOS	0.05295736342668533
trial_1	placebo	14	KG00097852	Anemia NOS	0.04916384816169739
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.046572886407375336
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.040604349225759506
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03982913866639137
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03920134902000427
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03837257996201515
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.036631323397159576
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03593434393405914
trial_1	placebo	147	KG00098000	atelectases	0.035797394812107086
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03546808660030365
trial_1	placebo	68	KG00099901	nauseas	0.03495006635785103
trial_1	placebo	77	KG00098450	Constipation NOS	0.03491614758968353
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0342562161386013
trial_1	placebo	29	KG00099354	hyponatraemia	0.03295646607875824
trial_1	placebo	126	KG00100076	Pain NOS	0.032557521015405655
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.032008539885282516
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03148878365755081
trial_1	placebo	269	KG00100399	pyaemia	0.03145616129040718
trial_1	placebo	85	KG00098474	coughs	0.030528299510478973
trial_1	placebo	228	KG00114657	Weight below normal	0.030357956886291504
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03031967207789421
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.029954100027680397
trial_1	placebo	350	KG00106765	decreased platelet count	0.029883332550525665
trial_1	placebo	114	KG00098933	fevers	0.02971598319709301
