trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.19260933995246887
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1898723542690277
trial_1	placebo	77	KG00098450	Constipation NOS	0.12445471435785294
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12368840724229813
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.11881444603204727
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.11696871370077133
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10697856545448303
trial_1	placebo	20	KG00098540	dehydration	0.10239479690790176
trial_1	placebo	9	KG00098432	Confusion NOS	0.09578689187765121
trial_1	placebo	123	KG00099351	hypokalaemia	0.09098908305168152
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08875590562820435
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08782714605331421
trial_1	placebo	46	KG00099121	Headache NOS	0.08599758893251419
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0846887156367302
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08385524898767471
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.08206255733966827
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.08163996040821075
trial_1	placebo	21	KG00098675	dyspnoea	0.08012070506811142
trial_1	placebo	68	KG00099901	nauseas	0.07425336539745331
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07285325229167938
trial_1	placebo	228	KG00114657	Weight below normal	0.0709945484995842
trial_1	placebo	239	KG00100128	pareses	0.06761161983013153
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06667444854974747
trial_1	placebo	166	KG00099773	menopausal syndrome	0.0646594986319542
trial_1	placebo	86	KG00098565	Depression, Mental	0.06426292657852173
trial_1	placebo	104	KG00097963	arthralgias	0.0623551607131958
trial_1	placebo	126	KG00100076	Pain NOS	0.06153278425335884
trial_1	placebo	350	KG00106765	decreased platelet count	0.06016552075743675
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05371345579624176
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.0531773567199707
trial_1	placebo	5	KG00099169	haematuria	0.05290188640356064
trial_1	placebo	101	KG00097901	Anorexia NOS	0.05168683081865311
trial_1	placebo	132	KG00101045	Gain, Weight	0.05081227794289589
trial_1	placebo	85	KG00098474	coughs	0.05066796764731407
