trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.4990690350532532
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.23913055658340454
trial_1	placebo	68	KG00099901	nauseas	0.23394930362701416
trial_1	placebo	17	KG00097991	Asthenia NOS	0.23192240297794342
trial_1	placebo	9	KG00098432	Confusion NOS	0.22027482092380524
trial_1	placebo	123	KG00099351	hypokalaemia	0.2179422527551651
trial_1	placebo	49	KG00099902	nausea with vomiting	0.21209587156772614
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.2081674337387085
trial_1	placebo	20	KG00098540	dehydration	0.2009483128786087
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.19955798983573914
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.19884926080703735
trial_1	placebo	228	KG00114657	Weight below normal	0.19515766203403473
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.18680965900421143
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.16719700396060944
trial_1	placebo	101	KG00097901	Anorexia NOS	0.16132965683937073
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.15976250171661377
trial_1	placebo	21	KG00098675	dyspnoea	0.15969203412532806
trial_1	placebo	46	KG00099121	Headache NOS	0.1571345031261444
trial_1	placebo	177	KG00099299	hyperglycaemia	0.15391042828559875
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.1501070261001587
trial_1	placebo	77	KG00098450	Constipation NOS	0.14691421389579773
trial_1	placebo	114	KG00098933	fevers	0.12339042127132416
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.12204522639513016
trial_1	placebo	72	KG00103771	myalgias	0.12047330290079117
trial_1	placebo	14	KG00097852	Anemia NOS	0.1140785962343216
trial_1	placebo	126	KG00100076	Pain NOS	0.10865561664104462
trial_1	placebo	350	KG00106765	decreased platelet count	0.09665003418922424
trial_1	placebo	239	KG00100128	pareses	0.09498804807662964
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.09474968165159225
trial_1	placebo	85	KG00098474	coughs	0.09306655824184418
trial_1	placebo	29	KG00099354	hyponatraemia	0.0897432491183281
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.086458720266819
trial_1	placebo	191	KG00104055	Biliverdin increased	0.08640614151954651
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.08541332930326462
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.08103521168231964
trial_1	placebo	86	KG00098565	Depression, Mental	0.07961245626211166
trial_1	placebo	104	KG00097963	arthralgias	0.07831548154354095
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.07640717923641205
trial_1	placebo	180	KG00099363	Hypotension NOS	0.07561388611793518
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.07375314086675644
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.07117602229118347
trial_1	placebo	82	KG00097697	abdomen distended	0.07112560421228409
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.07089275121688843
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.07000310719013214
trial_1	placebo	179	KG00099342	hypocalcaemia	0.06909584254026413
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.06761839985847473
trial_1	placebo	18	KG00098307	Pain, Chest	0.06617901474237442
trial_1	placebo	102	KG00097916	anxieties	0.06570341438055038
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.06419238448143005
trial_1	placebo	100	KG00097815	alopecias	0.06367164105176926
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.06332436949014664
trial_1	placebo	234	KG00098669	dysgeusias	0.06219903752207756
trial_1	placebo	136	KG00101582	Dry;skin	0.06150437146425247
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.06104974448680878
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.06047017127275467
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.05999809876084328
trial_1	placebo	5	KG00099169	haematuria	0.059331927448511124
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.05922555923461914
trial_1	placebo	211	KG00100341	Pruritus NOS	0.058603376150131226
