trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.11834489554166794
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1168278157711029
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08588409423828125
trial_1	placebo	9	KG00098432	Confusion NOS	0.0845668613910675
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07696808129549026
trial_1	placebo	123	KG00099351	hypokalaemia	0.0764244794845581
trial_1	placebo	46	KG00099121	Headache NOS	0.07268396764993668
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07235901802778244
trial_1	placebo	21	KG00098675	dyspnoea	0.07062125205993652
trial_1	placebo	20	KG00098540	dehydration	0.06714053452014923
trial_1	placebo	77	KG00098450	Constipation NOS	0.06672227382659912
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06484250724315643
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05955365672707558
trial_1	placebo	68	KG00099901	nauseas	0.05815863609313965
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05767596885561943
trial_1	placebo	14	KG00097852	Anemia NOS	0.055731505155563354
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05530862137675285
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.05237863212823868
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05122172459959984
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05077191814780235
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05059608817100525
trial_1	placebo	49	KG00099902	nausea with vomiting	0.05036313086748123
trial_1	placebo	350	KG00106765	decreased platelet count	0.04504162073135376
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.044512789696455
trial_1	placebo	126	KG00100076	Pain NOS	0.043217983096838
trial_1	placebo	29	KG00099354	hyponatraemia	0.04292592033743858
trial_1	placebo	228	KG00114657	Weight below normal	0.042523495852947235
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.0413782112300396
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04121474549174309
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03867847099900246
trial_1	placebo	114	KG00098933	fevers	0.03834947571158409
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03694711998105049
trial_1	placebo	180	KG00099363	Hypotension NOS	0.036945100873708725
trial_1	placebo	5	KG00099169	haematuria	0.036823321133852005
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.036722175776958466
trial_1	placebo	85	KG00098474	coughs	0.036647163331508636
trial_1	placebo	147	KG00098000	atelectases	0.034977514296770096
trial_1	placebo	239	KG00100128	pareses	0.03489171341061592
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03381957486271858
trial_1	placebo	104	KG00097963	arthralgias	0.0329805463552475
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03291723504662514
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.032119929790496826
trial_1	placebo	72	KG00103771	myalgias	0.032102979719638824
trial_1	placebo	86	KG00098565	Depression, Mental	0.031851936131715775
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03065059520304203
trial_1	placebo	101	KG00097901	Anorexia NOS	0.02919684909284115
trial_1	placebo	234	KG00098669	dysgeusias	0.028900321573019028
trial_1	placebo	27	KG00099303	hyperkalaemia	0.028742041438817978
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.028712542727589607
trial_1	placebo	18	KG00098307	Pain, Chest	0.028551742434501648
trial_1	placebo	262	KG00101199	agitation	0.028109733015298843
trial_1	placebo	69	KG00100082	Palpitations NOS	0.028002705425024033
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02796229161322117
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.027804715558886528
trial_1	placebo	116	KG00098964	Pain in foot	0.027391057461500168
trial_1	placebo	132	KG00101045	Gain, Weight	0.02697501704096794
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.026906035840511322
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.026713261380791664
trial_1	placebo	121	KG00099190	haemorrhage	0.026562735438346863
trial_1	placebo	82	KG00097697	abdomen distended	0.02647608518600464
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.02622220292687416
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.026167001575231552
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.025886977091431618
trial_1	placebo	102	KG00097916	anxieties	0.02501356415450573
trial_1	placebo	282	KG00099309	hypernatraemia	0.02445538341999054
trial_1	placebo	508	KG00108565	blood glucose increased	0.024293724447488785
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.023966530337929726
trial_1	placebo	441	KG00098262	cellulitis nos	0.023922892287373543
trial_1	placebo	269	KG00100399	pyaemia	0.023907020688056946
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.0236587543040514
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.023420659825205803
