trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.18157070875167847
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.17755895853042603
trial_1	placebo	177	KG00099299	hyperglycaemia	0.12025828659534454
trial_1	placebo	46	KG00099121	Headache NOS	0.10591034591197968
trial_1	placebo	9	KG00098432	Confusion NOS	0.1013765037059784
trial_1	placebo	17	KG00097991	Asthenia NOS	0.09815248847007751
trial_1	placebo	123	KG00099351	hypokalaemia	0.09197095781564713
trial_1	placebo	20	KG00098540	dehydration	0.0915110632777214
trial_1	placebo	68	KG00099901	nauseas	0.0879906713962555
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08668596297502518
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0844288021326065
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0817151591181755
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07651185989379883
trial_1	placebo	21	KG00098675	dyspnoea	0.07554313540458679
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07520165294408798
trial_1	placebo	77	KG00098450	Constipation NOS	0.07418088614940643
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0685906931757927
trial_1	placebo	14	KG00097852	Anemia NOS	0.06457401812076569
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.06290054321289062
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06171448528766632
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.059851083904504776
trial_1	placebo	29	KG00099354	hyponatraemia	0.05708568915724754
trial_1	placebo	228	KG00114657	Weight below normal	0.05654192715883255
trial_1	placebo	114	KG00098933	fevers	0.0538027286529541
trial_1	placebo	180	KG00099363	Hypotension NOS	0.053716834634542465
trial_1	placebo	350	KG00106765	decreased platelet count	0.053228721022605896
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04956858977675438
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.048812925815582275
trial_1	placebo	85	KG00098474	coughs	0.048804935067892075
trial_1	placebo	5	KG00099169	haematuria	0.047132883220911026
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.046659816056489944
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04616130515933037
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04600251466035843
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04521200805902481
trial_1	placebo	126	KG00100076	Pain NOS	0.04464879259467125
trial_1	placebo	147	KG00098000	atelectases	0.04397160932421684
trial_1	placebo	86	KG00098565	Depression, Mental	0.04389369115233421
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.043352942913770676
trial_1	placebo	239	KG00100128	pareses	0.04333670064806938
trial_1	placebo	104	KG00097963	arthralgias	0.04285168647766113
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.04271950572729111
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04245290905237198
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04171394184231758
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0412469208240509
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04076604172587395
trial_1	placebo	27	KG00099303	hyperkalaemia	0.0395766906440258
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03858977556228638
trial_1	placebo	82	KG00097697	abdomen distended	0.03728694096207619
trial_1	placebo	72	KG00103771	myalgias	0.03716206178069115
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03627858683466911
trial_1	placebo	116	KG00098964	Pain in foot	0.03531355783343315
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.034618932753801346
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03383210301399231
trial_1	placebo	18	KG00098307	Pain, Chest	0.03328173607587814
trial_1	placebo	282	KG00099309	hypernatraemia	0.03294520825147629
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03286192938685417
trial_1	placebo	234	KG00098669	dysgeusias	0.03198646381497383
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03194429352879524
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.03089212253689766
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.030885709449648857
trial_1	placebo	262	KG00101199	agitation	0.030707521364092827
trial_1	placebo	69	KG00100082	Palpitations NOS	0.030605899170041084
trial_1	placebo	269	KG00100399	pyaemia	0.030265556648373604
trial_1	placebo	164	KG00108827	ileus colon	0.03015497699379921
trial_1	placebo	102	KG00097916	anxieties	0.030005423352122307
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02937745302915573
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.029247447848320007
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.028794705867767334
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02831871807575226
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.028211090713739395
