trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08044280856847763
trial_1	placebo	87	KG00098599	diarrhoea	0.07335732877254486
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.04650105908513069
trial_1	placebo	21	KG00098675	dyspnoea	0.041026435792446136
trial_1	placebo	123	KG00099351	hypokalaemia	0.0405881367623806
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03931096941232681
trial_1	placebo	177	KG00099299	hyperglycaemia	0.03767288848757744
trial_1	placebo	46	KG00099121	Headache NOS	0.034925591200590134
trial_1	placebo	9	KG00098432	Confusion NOS	0.034063246101140976
trial_1	placebo	17	KG00097991	Asthenia NOS	0.033861689269542694
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03289008513092995
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.030300291255116463
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.030195247381925583
trial_1	placebo	14	KG00097852	Anemia NOS	0.02908577397465706
trial_1	placebo	20	KG00098540	dehydration	0.02655150555074215
trial_1	placebo	77	KG00098450	Constipation NOS	0.02626815252006054
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.025941526517271996
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.025178613141179085
trial_1	placebo	147	KG00098000	atelectases	0.02509642019867897
trial_1	placebo	85	KG00098474	coughs	0.025009799748659134
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.024836663156747818
trial_1	placebo	126	KG00100076	Pain NOS	0.024126509204506874
trial_1	placebo	114	KG00098933	fevers	0.02385054901242256
trial_1	placebo	5	KG00099169	haematuria	0.023586085066199303
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.02346489205956459
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.02339709736406803
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.022411437705159187
trial_1	placebo	49	KG00099902	nausea with vomiting	0.021369818598031998
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.021152162924408913
trial_1	placebo	121	KG00099190	haemorrhage	0.02108137682080269
trial_1	placebo	28	KG00099347	hypoglycaemia	0.020907815545797348
trial_1	placebo	18	KG00098307	Pain, Chest	0.019804436713457108
trial_1	placebo	4	KG00098817	epistaxis	0.019524239003658295
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.019089970737695694
trial_1	placebo	104	KG00097963	arthralgias	0.018888937309384346
trial_1	placebo	228	KG00114657	Weight below normal	0.01862514019012451
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.018510989844799042
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.018274981528520584
trial_1	placebo	441	KG00098262	cellulitis nos	0.01816147193312645
