trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.24538546800613403
trial_1	placebo	87	KG00098599	diarrhoea	0.18209488689899445
trial_1	placebo	17	KG00097991	Asthenia NOS	0.16448689997196198
trial_1	placebo	177	KG00099299	hyperglycaemia	0.14464260637760162
trial_1	placebo	9	KG00098432	Confusion NOS	0.13425838947296143
trial_1	placebo	77	KG00098450	Constipation NOS	0.12307889014482498
trial_1	placebo	20	KG00098540	dehydration	0.1225622147321701
trial_1	placebo	123	KG00099351	hypokalaemia	0.10939454287290573
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.10346215218305588
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09977416694164276
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.09805865585803986
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.09624753892421722
trial_1	placebo	21	KG00098675	dyspnoea	0.09418508410453796
trial_1	placebo	46	KG00099121	Headache NOS	0.09277650713920593
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09224606305360794
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08703036606311798
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.08316123485565186
trial_1	placebo	68	KG00099901	nauseas	0.08288183063268661
trial_1	placebo	29	KG00099354	hyponatraemia	0.08179707825183868
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08093474805355072
trial_1	placebo	132	KG00101045	Gain, Weight	0.07739248871803284
trial_1	placebo	350	KG00106765	decreased platelet count	0.07555649429559708
trial_1	placebo	239	KG00100128	pareses	0.07290562242269516
trial_1	placebo	228	KG00114657	Weight below normal	0.0728631541132927
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.07232154905796051
trial_1	placebo	86	KG00098565	Depression, Mental	0.0686921626329422
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06573668867349625
trial_1	placebo	179	KG00099342	hypocalcaemia	0.0652276948094368
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.06386625021696091
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06308179348707199
trial_1	placebo	28	KG00099347	hypoglycaemia	0.061768434941768646
trial_1	placebo	104	KG00097963	arthralgias	0.06157539412379265
trial_1	placebo	14	KG00097852	Anemia NOS	0.06023698300123215
trial_1	placebo	85	KG00098474	coughs	0.059976015239953995
trial_1	placebo	262	KG00101199	agitation	0.05936984717845917
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05773181840777397
trial_1	placebo	66	KG00098642	drowsiness	0.05616148188710213
trial_1	placebo	5	KG00099169	haematuria	0.05550781264901161
trial_1	placebo	126	KG00100076	Pain NOS	0.05522586405277252
trial_1	placebo	27	KG00099303	hyperkalaemia	0.05437133461236954
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05353235453367233
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.052212342619895935
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05145569145679474
trial_1	placebo	114	KG00098933	fevers	0.05124828964471817
trial_1	placebo	102	KG00097916	anxieties	0.051184941083192825
trial_1	placebo	96	KG00101679	Unattended death NOS	0.049699969589710236
