trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.19032278656959534
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1648806482553482
trial_1	placebo	9	KG00098432	Confusion NOS	0.12733587622642517
trial_1	placebo	177	KG00099299	hyperglycaemia	0.12588588893413544
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12380171567201614
trial_1	placebo	46	KG00099121	Headache NOS	0.10201021283864975
trial_1	placebo	20	KG00098540	dehydration	0.09761788696050644
trial_1	placebo	68	KG00099901	nauseas	0.09739188849925995
trial_1	placebo	123	KG00099351	hypokalaemia	0.09401830285787582
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08863633126020432
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08830051869153976
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0875246599316597
trial_1	placebo	77	KG00098450	Constipation NOS	0.08722183108329773
trial_1	placebo	21	KG00098675	dyspnoea	0.08496025949716568
trial_1	placebo	228	KG00114657	Weight below normal	0.080103799700737
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07891657948493958
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07624207437038422
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07617904245853424
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07252351194620132
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06731045991182327
trial_1	placebo	29	KG00099354	hyponatraemia	0.06495401263237
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06439688801765442
trial_1	placebo	14	KG00097852	Anemia NOS	0.06334598362445831
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06130653992295265
trial_1	placebo	104	KG00097963	arthralgias	0.05716043710708618
trial_1	placebo	101	KG00097901	Anorexia NOS	0.05662223696708679
trial_1	placebo	350	KG00106765	decreased platelet count	0.05632127448916435
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05411887913942337
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.0539008192718029
trial_1	placebo	126	KG00100076	Pain NOS	0.05335691198706627
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.053226809948682785
trial_1	placebo	114	KG00098933	fevers	0.052918728440999985
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05265643820166588
trial_1	placebo	86	KG00098565	Depression, Mental	0.04840540885925293
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04733049124479294
trial_1	placebo	85	KG00098474	coughs	0.04732951521873474
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04713371768593788
trial_1	placebo	239	KG00100128	pareses	0.04683273658156395
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04447732865810394
trial_1	placebo	27	KG00099303	hyperkalaemia	0.044471949338912964
trial_1	placebo	102	KG00097916	anxieties	0.04224885255098343
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.041814498603343964
trial_1	placebo	82	KG00097697	abdomen distended	0.041217315942049026
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.039252348244190216
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.038226418197155
trial_1	placebo	132	KG00101045	Gain, Weight	0.036849893629550934
trial_1	placebo	5	KG00099169	haematuria	0.03681729733943939
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03624047711491585
trial_1	placebo	116	KG00098964	Pain in foot	0.03515226021409035
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03441506251692772
trial_1	placebo	72	KG00103771	myalgias	0.03383874148130417
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03296833112835884
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03221951052546501
trial_1	placebo	147	KG00098000	atelectases	0.03208409622311592
trial_1	placebo	282	KG00099309	hypernatraemia	0.03198370710015297
trial_1	placebo	262	KG00101199	agitation	0.03114016354084015
trial_1	placebo	466	KG00101205	fall	0.031109919771552086
trial_1	placebo	18	KG00098307	Pain, Chest	0.030842775478959084
trial_1	placebo	269	KG00100399	pyaemia	0.030653519555926323
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.029971541836857796
trial_1	placebo	191	KG00104055	Biliverdin increased	0.029952259734272957
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.029885264113545418
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.029644086956977844
trial_1	placebo	69	KG00100082	Palpitations NOS	0.029536500573158264
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.029203156009316444
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.029129547998309135
trial_1	placebo	288	KG00101223	hypophosphataemia	0.029084211215376854
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.02902616746723652
