trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.15905076265335083
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.11530256271362305
trial_1	placebo	123	KG00099351	hypokalaemia	0.10498477518558502
trial_1	placebo	20	KG00098540	dehydration	0.08601982146501541
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08559161424636841
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08354081958532333
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08234183490276337
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07458797842264175
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07194514572620392
trial_1	placebo	21	KG00098675	dyspnoea	0.06971035152673721
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06789491325616837
trial_1	placebo	9	KG00098432	Confusion NOS	0.06403303146362305
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0584663525223732
trial_1	placebo	14	KG00097852	Anemia NOS	0.05780576542019844
trial_1	placebo	68	KG00099901	nauseas	0.05759287625551224
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05715736001729965
trial_1	placebo	46	KG00099121	Headache NOS	0.056946150958538055
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.056820109486579895
trial_1	placebo	228	KG00114657	Weight below normal	0.054504863917827606
trial_1	placebo	350	KG00106765	decreased platelet count	0.050437573343515396
trial_1	placebo	29	KG00099354	hyponatraemia	0.050434309989213943
trial_1	placebo	77	KG00098450	Constipation NOS	0.05016017705202103
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04821134731173515
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04739850014448166
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04701686277985573
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04496803879737854
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04456042870879173
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04285110905766487
trial_1	placebo	114	KG00098933	fevers	0.04244900494813919
