trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	68	KG00099901	nauseas	0.1673348993062973
trial_1	placebo	49	KG00099902	nausea with vomiting	0.15099193155765533
trial_1	placebo	9	KG00098432	Confusion NOS	0.14868943393230438
trial_1	placebo	77	KG00098450	Constipation NOS	0.11182978749275208
trial_1	placebo	17	KG00097991	Asthenia NOS	0.09754448384046555
trial_1	placebo	46	KG00099121	Headache NOS	0.08654285222291946
trial_1	placebo	87	KG00098599	diarrhoea	0.07377146929502487
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06680890917778015
trial_1	placebo	101	KG00097901	Anorexia NOS	0.06568221002817154
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.05632472038269043
trial_1	placebo	123	KG00099351	hypokalaemia	0.056167349219322205
trial_1	placebo	211	KG00100341	Pruritus NOS	0.05393247678875923
trial_1	placebo	21	KG00098675	dyspnoea	0.053212836384773254
trial_1	placebo	20	KG00098540	dehydration	0.045883357524871826
trial_1	placebo	177	KG00099299	hyperglycaemia	0.045105431228876114
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04491567611694336
trial_1	placebo	126	KG00100076	Pain NOS	0.04401740804314613
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04067735746502876
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.03857188671827316
trial_1	placebo	114	KG00098933	fevers	0.03807489946484566
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03316701576113701
trial_1	placebo	14	KG00097852	Anemia NOS	0.03206499293446541
trial_1	placebo	104	KG00097963	arthralgias	0.029930058866739273
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.0291930940002203
trial_1	placebo	102	KG00097916	anxieties	0.028620783239603043
trial_1	placebo	228	KG00114657	Weight below normal	0.02647923119366169
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.026378752663731575
trial_1	placebo	66	KG00098642	drowsiness	0.0255386084318161
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.025313999503850937
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.02479690872132778
trial_1	placebo	29	KG00099354	hyponatraemia	0.023112544789910316
trial_1	placebo	234	KG00098669	dysgeusias	0.022253673523664474
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.022170867770910263
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.0220134649425745
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.021654443815350533
trial_1	placebo	179	KG00099342	hypocalcaemia	0.021588783711194992
trial_1	placebo	300	KG00101064	xerostomia	0.021526051685214043
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.02118620276451111
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02111024223268032
trial_1	placebo	147	KG00098000	atelectases	0.021037941798567772
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.02098716050386429
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.02077546902000904
trial_1	placebo	85	KG00098474	coughs	0.020546238869428635
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.01961134932935238
trial_1	placebo	5	KG00099169	haematuria	0.01928314007818699
trial_1	placebo	18	KG00098307	Pain, Chest	0.01919444650411606
trial_1	placebo	350	KG00106765	decreased platelet count	0.01885106973350048
trial_1	placebo	269	KG00100399	pyaemia	0.018761413171887398
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.018727606162428856
trial_1	placebo	164	KG00108827	ileus colon	0.018337473273277283
trial_1	placebo	69	KG00100082	Palpitations NOS	0.018298055976629257
trial_1	placebo	72	KG00103771	myalgias	0.01825135573744774
trial_1	placebo	82	KG00097697	abdomen distended	0.018152087926864624
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.017923587933182716
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.017785387113690376
trial_1	placebo	121	KG00099190	haemorrhage	0.01749497838318348
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.017483843490481377
trial_1	placebo	86	KG00098565	Depression, Mental	0.016984935849905014
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.016969138756394386
trial_1	placebo	239	KG00100128	pareses	0.01671317219734192
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.01661752536892891
trial_1	placebo	221	KG00101207	peripheral oedema	0.016447551548480988
trial_1	placebo	22	KG00098705	Edema (NOS)	0.016384756192564964
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.016067231073975563
trial_1	placebo	28	KG00099347	hypoglycaemia	0.01596069522202015
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.015959668904542923
trial_1	placebo	441	KG00098262	cellulitis nos	0.01579899713397026
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.015783915296196938
trial_1	placebo	212	KG00100576	shivers	0.015443442389369011
trial_1	placebo	286	KG00101110	Retention, Urinary	0.015317476354539394
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.015072876587510109
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.014989212155342102
trial_1	placebo	100	KG00097815	alopecias	0.014766714535653591
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.014695283956825733
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.014208412729203701
trial_1	placebo	257	KG00100922	Erythema NOS	0.014175450429320335
trial_1	placebo	27	KG00099303	hyperkalaemia	0.013992207124829292
trial_1	placebo	116	KG00098964	Pain in foot	0.013780049048364162
trial_1	placebo	191	KG00104055	Biliverdin increased	0.013676369562745094
trial_1	placebo	133	KG00101370	neuropathies sensory	0.013598999939858913
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.013503648340702057
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.013499444350600243
trial_1	placebo	166	KG00099773	menopausal syndrome	0.013474740087985992
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.01263062097132206
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.012237206101417542
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.012181469239294529
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.012149482034146786
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.012129690498113632
trial_1	placebo	136	KG00101582	Dry;skin	0.011874346062541008
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.011744804680347443
trial_1	placebo	262	KG00101199	agitation	0.011596268974244595
trial_1	placebo	466	KG00101205	fall	0.011430870741605759
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.011390739120543003
trial_1	placebo	242	KG00100855	tremors	0.010971601121127605
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.010733431205153465
trial_1	placebo	186	KG00101431	creatinine increased	0.010666929185390472
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.010632077232003212
trial_1	placebo	282	KG00099309	hypernatraemia	0.010371679440140724
trial_1	placebo	154	KG00099686	Lymphopenias	0.010266484692692757
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.010149958543479443
trial_2	butorphanol	68	KG00099901	nauseas	0.1673348993062973
trial_2	butorphanol	49	KG00099902	nausea with vomiting	0.15099193155765533
