trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.3010317087173462
trial_1	placebo	123	KG00099351	hypokalaemia	0.15810121595859528
trial_1	placebo	20	KG00098540	dehydration	0.11828835308551788
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1124117448925972
trial_1	placebo	68	KG00099901	nauseas	0.112087681889534
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.10992492735385895
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10377877950668335
trial_1	placebo	228	KG00114657	Weight below normal	0.09815441071987152
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09086810797452927
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0904560461640358
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09034835547208786
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08927991986274719
trial_1	placebo	9	KG00098432	Confusion NOS	0.08060966432094574
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07328899949789047
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07293704897165298
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.07054909318685532
trial_1	placebo	121	KG00099190	haemorrhage	0.06739796698093414
trial_1	placebo	21	KG00098675	dyspnoea	0.06733232736587524
trial_1	placebo	29	KG00099354	hyponatraemia	0.06663410365581512
trial_1	placebo	101	KG00097901	Anorexia NOS	0.06639900803565979
trial_1	placebo	46	KG00099121	Headache NOS	0.06189475581049919
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06059035658836365
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.059261806309223175
trial_1	placebo	126	KG00100076	Pain NOS	0.057620637118816376
trial_1	placebo	14	KG00097852	Anemia NOS	0.05491530895233154
trial_1	placebo	77	KG00098450	Constipation NOS	0.05487384647130966
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.05284960940480232
trial_1	placebo	257	KG00100922	Erythema NOS	0.05283442139625549
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.05275062099099159
trial_1	placebo	114	KG00098933	fevers	0.051537636667490005
trial_1	placebo	147	KG00098000	atelectases	0.05105730518698692
trial_1	placebo	179	KG00099342	hypocalcaemia	0.05092625319957733
trial_1	placebo	28	KG00099347	hypoglycaemia	0.049303386360406876
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04899146035313606
trial_1	placebo	350	KG00106765	decreased platelet count	0.04875641316175461
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.046344127506017685
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04554114490747452
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04469537362456322
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04326130449771881
trial_1	placebo	136	KG00101582	Dry;skin	0.0430297777056694
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.041296590119600296
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04128279909491539
trial_1	placebo	18	KG00098307	Pain, Chest	0.04101775214076042
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.039891064167022705
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.03962882235646248
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03871339559555054
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.038118626922369
trial_1	placebo	239	KG00100128	pareses	0.037289466708898544
trial_1	placebo	180	KG00099363	Hypotension NOS	0.037212785333395004
trial_1	placebo	5	KG00099169	haematuria	0.03688262403011322
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.036700885742902756
trial_1	placebo	282	KG00099309	hypernatraemia	0.036612652242183685
trial_1	placebo	133	KG00101370	neuropathies sensory	0.03596491739153862
trial_1	placebo	347	KG00104223	Mucosal ulcers	0.0358775369822979
trial_1	placebo	86	KG00098565	Depression, Mental	0.03586732596158981
trial_1	placebo	85	KG00098474	coughs	0.03585096448659897
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03525041416287422
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03488600626587868
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03463238850235939
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.034548621624708176
trial_1	placebo	104	KG00097963	arthralgias	0.033624861389398575
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03345923498272896
trial_1	placebo	155	KG00099960	Neutrophile	0.03338414430618286
trial_1	placebo	100	KG00097815	alopecias	0.03278408572077751
trial_1	placebo	164	KG00108827	ileus colon	0.03112381510436535
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.030520856380462646
trial_1	placebo	4	KG00098817	epistaxis	0.03035072796046734
trial_1	placebo	82	KG00097697	abdomen distended	0.029271122068166733
trial_1	placebo	441	KG00098262	cellulitis nos	0.028698869049549103
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.028587600216269493
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.02856302633881569
trial_1	placebo	211	KG00100341	Pruritus NOS	0.028412051498889923
trial_1	placebo	72	KG00103771	myalgias	0.02794068679213524
trial_1	placebo	212	KG00100576	shivers	0.027816059067845345
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.027804819867014885
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.027706347405910492
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02755548059940338
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.02745327539741993
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02738894149661064
trial_1	placebo	269	KG00100399	pyaemia	0.027043577283620834
trial_1	placebo	154	KG00099686	Lymphopenias	0.026747960597276688
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02618282102048397
trial_1	placebo	186	KG00101431	creatinine increased	0.025789380073547363
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.02555929310619831
trial_1	placebo	234	KG00098669	dysgeusias	0.024330275133252144
trial_1	placebo	135	KG00101549	bone pain	0.024313272908329964
trial_1	placebo	503	KG00102612	low haemoglobin	0.02382141537964344
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.023711759597063065
trial_1	placebo	382	KG00099200	haemorrhoids	0.023645635694265366
trial_1	placebo	116	KG00098964	Pain in foot	0.023391887545585632
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.02319595217704773
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02298358455300331
trial_1	placebo	174	KG00098731	Embolism NOS	0.022895583882927895
trial_1	placebo	263	KG00101519	Ischemia, Myocardial	0.02249504067003727
trial_1	placebo	288	KG00101223	hypophosphataemia	0.02241944707930088
trial_1	placebo	343	KG00102674	Eruptions, Acneiform	0.02205503173172474
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.022043542936444283
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.022010207176208496
trial_1	placebo	118	KG00099011	Gastritis NOS	0.02192498929798603
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.021727759391069412
trial_2	capecitabine	87	KG00098599	diarrhoea	0.3010317087173462
trial_2	capecitabine	123	KG00099351	hypokalaemia	0.15810121595859528
trial_2	capecitabine	20	KG00098540	dehydration	0.11828835308551788
trial_2	capecitabine	17	KG00097991	Asthenia NOS	0.1124117448925972
trial_2	capecitabine	68	KG00099901	nauseas	0.112087681889534
trial_2	capecitabine	64	KG00097734	Acrodermatitis, NOS	0.10992492735385895
trial_2	capecitabine	177	KG00099299	hyperglycaemia	0.10377877950668335
trial_2	capecitabine	228	KG00114657	Weight below normal	0.09815441071987152
trial_2	capecitabine	49	KG00099902	nausea with vomiting	0.09086810797452927
trial_2	capecitabine	67	KG00098673	Dyspepsia, NOS	0.0904560461640358
trial_2	capecitabine	78	KG00099326	Hypertensive diseases	0.09034835547208786
trial_2	capecitabine	189	KG00101580	Alanine aminotransferase increase	0.08927991986274719
trial_2	capecitabine	9	KG00098432	Confusion NOS	0.08060966432094574
trial_2	capecitabine	37	KG00097696	Cramps, Abdominal	0.07328899949789047
trial_2	capecitabine	200	KG00098539	Disorders, Deglutition	0.07293704897165298
trial_2	capecitabine	2	KG00100772	thrombocytopaenia	0.07054909318685532
trial_2	capecitabine	121	KG00099190	haemorrhage	0.06739796698093414
trial_2	capecitabine	21	KG00098675	dyspnoea	0.06733232736587524
trial_2	capecitabine	29	KG00099354	hyponatraemia	0.06663410365581512
trial_2	capecitabine	101	KG00097901	Anorexia NOS	0.06639900803565979
trial_2	capecitabine	46	KG00099121	Headache NOS	0.06189475581049919
trial_2	capecitabine	188	KG00101579	Aspartate aminotransferase increase	0.06059035658836365
trial_2	capecitabine	173	KG00098172	Bronchopneumonia NOS	0.059261806309223175
trial_2	capecitabine	126	KG00100076	Pain NOS	0.057620637118816376
trial_2	capecitabine	14	KG00097852	Anemia NOS	0.05491530895233154
trial_2	capecitabine	77	KG00098450	Constipation NOS	0.05487384647130966
trial_2	capecitabine	142	KG00100923	Unspecified infectious and parasitic diseases	0.05284960940480232
trial_2	capecitabine	257	KG00100922	Erythema NOS	0.05283442139625549
trial_2	capecitabine	122	KG00099321	Hypersensitivity NOS	0.05275062099099159
trial_2	capecitabine	114	KG00098933	fevers	0.051537636667490005
trial_2	capecitabine	147	KG00098000	atelectases	0.05105730518698692
trial_2	capecitabine	179	KG00099342	hypocalcaemia	0.05092625319957733
trial_2	capecitabine	28	KG00099347	hypoglycaemia	0.049303386360406876
trial_2	capecitabine	191	KG00104055	Biliverdin increased	0.04899146035313606
trial_2	capecitabine	350	KG00106765	decreased platelet count	0.04875641316175461
trial_2	capecitabine	61	KG00099501	Chronic Kidney Failure	0.046344127506017685
trial_2	capecitabine	96	KG00101679	Unattended death NOS	0.04554114490747452
trial_2	capecitabine	79	KG00100317	Insomnia, Primary	0.04469537362456322
trial_2	capecitabine	76	KG00100450	Respiratory insufficiency, NOS	0.04326130449771881
trial_2	capecitabine	136	KG00101582	Dry;skin	0.0430297777056694
trial_2	capecitabine	194	KG00110727	Neutrophil Count Decreased	0.041296590119600296
trial_2	capecitabine	151	KG00098274	Infarction, Cerebral	0.04128279909491539
trial_2	capecitabine	18	KG00098307	Pain, Chest	0.04101775214076042
