trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.3915286660194397
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.3184735178947449
trial_1	placebo	123	KG00099351	hypokalaemia	0.2970809042453766
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.2953084111213684
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.27417126297950745
trial_1	placebo	20	KG00098540	dehydration	0.23846983909606934
trial_1	placebo	17	KG00097991	Asthenia NOS	0.22510427236557007
trial_1	placebo	177	KG00099299	hyperglycaemia	0.21788428723812103
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.19207072257995605
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.18656426668167114
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.18330052495002747
trial_1	placebo	228	KG00114657	Weight below normal	0.1778212934732437
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.16512827575206757
trial_1	placebo	21	KG00098675	dyspnoea	0.16430898010730743
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.1611149162054062
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.1547245979309082
trial_1	placebo	9	KG00098432	Confusion NOS	0.15442173182964325
trial_1	placebo	350	KG00106765	decreased platelet count	0.1446794718503952
trial_1	placebo	49	KG00099902	nausea with vomiting	0.14449721574783325
trial_1	placebo	29	KG00099354	hyponatraemia	0.14304904639720917
trial_1	placebo	68	KG00099901	nauseas	0.14260336756706238
trial_1	placebo	77	KG00098450	Constipation NOS	0.1403958797454834
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.13958640396595
trial_1	placebo	179	KG00099342	hypocalcaemia	0.1324964165687561
trial_1	placebo	101	KG00097901	Anorexia NOS	0.13173943758010864
trial_1	placebo	239	KG00100128	pareses	0.13139446079730988
trial_1	placebo	46	KG00099121	Headache NOS	0.12609823048114777
trial_1	placebo	14	KG00097852	Anemia NOS	0.11911258846521378
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.11887959390878677
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.10870944708585739
trial_1	placebo	5	KG00099169	haematuria	0.10507950931787491
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.10366364568471909
trial_1	placebo	191	KG00104055	Biliverdin increased	0.10351420193910599
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.10303153842687607
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.10280805081129074
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.10181375592947006
