trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.18170730769634247
trial_1	placebo	87	KG00098599	diarrhoea	0.15398292243480682
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12654173374176025
trial_1	placebo	9	KG00098432	Confusion NOS	0.11003706604242325
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.10804402083158493
trial_1	placebo	20	KG00098540	dehydration	0.10543661564588547
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10414088517427444
trial_1	placebo	123	KG00099351	hypokalaemia	0.10021185874938965
trial_1	placebo	21	KG00098675	dyspnoea	0.09044012427330017
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0903831422328949
trial_1	placebo	77	KG00098450	Constipation NOS	0.08773772418498993
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0823231190443039
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08148831129074097
trial_1	placebo	46	KG00099121	Headache NOS	0.07652510702610016
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07243116945028305
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07233066856861115
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07018674165010452
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06810597330331802
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06747925281524658
trial_1	placebo	68	KG00099901	nauseas	0.0648256242275238
trial_1	placebo	228	KG00114657	Weight below normal	0.06482177972793579
trial_1	placebo	86	KG00098565	Depression, Mental	0.06418140977621078
trial_1	placebo	85	KG00098474	coughs	0.06174211576581001
trial_1	placebo	29	KG00099354	hyponatraemia	0.06127284839749336
trial_1	placebo	104	KG00097963	arthralgias	0.05901680514216423
trial_1	placebo	114	KG00098933	fevers	0.058234188705682755
trial_1	placebo	14	KG00097852	Anemia NOS	0.0567203164100647
trial_1	placebo	239	KG00100128	pareses	0.05556207150220871
trial_1	placebo	350	KG00106765	decreased platelet count	0.05375261977314949
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05339859426021576
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05277489125728607
trial_1	placebo	180	KG00099363	Hypotension NOS	0.051690030843019485
trial_1	placebo	126	KG00100076	Pain NOS	0.051441073417663574
trial_1	placebo	132	KG00101045	Gain, Weight	0.049886588007211685
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.048779960721731186
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04820017144083977
trial_1	placebo	5	KG00099169	haematuria	0.04727354273200035
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.047156382352113724
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04705541953444481
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.046305377036333084
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.043755605816841125
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04309063404798508
trial_1	placebo	179	KG00099342	hypocalcaemia	0.041834887117147446
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.04158470779657364
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.040828101336956024
trial_1	placebo	262	KG00101199	agitation	0.04027184098958969
trial_1	placebo	102	KG00097916	anxieties	0.0401013158261776
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03896096348762512
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03890622407197952
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03848828002810478
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03800324723124504
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.03736688196659088
trial_1	placebo	101	KG00097901	Anorexia NOS	0.037197891622781754
trial_1	placebo	164	KG00108827	ileus colon	0.03714890033006668
trial_1	placebo	18	KG00098307	Pain, Chest	0.037110935896635056
trial_1	placebo	66	KG00098642	drowsiness	0.03699726238846779
trial_1	placebo	466	KG00101205	fall	0.03689775988459587
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03608007729053497
trial_1	placebo	147	KG00098000	atelectases	0.03590799868106842
trial_1	placebo	72	KG00103771	myalgias	0.03581986948847771
trial_1	placebo	300	KG00101064	xerostomia	0.035225775092840195
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03513861447572708
trial_1	placebo	116	KG00098964	Pain in foot	0.03445906192064285
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03364486247301102
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.0326668880879879
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03259369730949402
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03115083836019039
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.031088026240468025
trial_1	placebo	269	KG00100399	pyaemia	0.030924059450626373
trial_1	placebo	242	KG00100855	tremors	0.030742276459932327
trial_1	placebo	286	KG00101110	Retention, Urinary	0.03003387339413166
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02968427538871765
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.029601261019706726
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02950936183333397
