trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10153940320014954
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0965113639831543
trial_1	placebo	123	KG00099351	hypokalaemia	0.09294574707746506
trial_1	placebo	87	KG00098599	diarrhoea	0.08985918760299683
trial_1	placebo	21	KG00098675	dyspnoea	0.07653345912694931
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.07399919629096985
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07088756561279297
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06642020493745804
trial_1	placebo	14	KG00097852	Anemia NOS	0.06612794101238251
trial_1	placebo	20	KG00098540	dehydration	0.0646948367357254
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05813999101519585
trial_1	placebo	9	KG00098432	Confusion NOS	0.05508516728878021
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.05273483693599701
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.052341390401124954
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05228954926133156
trial_1	placebo	49	KG00099902	nausea with vomiting	0.051161762326955795
trial_1	placebo	46	KG00099121	Headache NOS	0.05029210448265076
trial_1	placebo	29	KG00099354	hyponatraemia	0.050150372087955475
trial_1	placebo	77	KG00098450	Constipation NOS	0.04813332110643387
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.047577664256095886
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04631673917174339
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04609529674053192
trial_1	placebo	114	KG00098933	fevers	0.04572412371635437
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.0454590730369091
trial_1	placebo	68	KG00099901	nauseas	0.045094046741724014
trial_1	placebo	350	KG00106765	decreased platelet count	0.04500313103199005
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.043297167867422104
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04305190593004227
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04211309179663658
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04202217608690262
trial_1	placebo	269	KG00100399	pyaemia	0.0401456281542778
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.03990083932876587
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03927238658070564
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03895789384841919
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03867005184292793
trial_1	placebo	27	KG00099303	hyperkalaemia	0.038439102470874786
trial_1	placebo	147	KG00098000	atelectases	0.03837946057319641
trial_1	placebo	228	KG00114657	Weight below normal	0.03805168718099594
trial_1	placebo	126	KG00100076	Pain NOS	0.03773820400238037
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.0373082235455513
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.036416616290807724
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03575710207223892
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.03500973433256149
trial_1	placebo	96	KG00101679	Unattended death NOS	0.034957610070705414
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03449943661689758
trial_1	placebo	85	KG00098474	coughs	0.03243787959218025
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03017977438867092
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02899971790611744
trial_1	placebo	121	KG00099190	haemorrhage	0.02877792902290821
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.02839660458266735
trial_1	placebo	239	KG00100128	pareses	0.02837044931948185
trial_1	placebo	86	KG00098565	Depression, Mental	0.028096238151192665
trial_1	placebo	104	KG00097963	arthralgias	0.027644021436572075
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.02749623917043209
trial_1	placebo	164	KG00108827	ileus colon	0.027031924575567245
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.026986541226506233
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.02623138763010502
trial_1	placebo	282	KG00099309	hypernatraemia	0.02583153545856476
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02529224194586277
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.02526925317943096
trial_1	placebo	234	KG00098669	dysgeusias	0.025081215426325798
trial_1	placebo	154	KG00099686	Lymphopenias	0.024635376408696175
trial_1	placebo	72	KG00103771	myalgias	0.02407383918762207
trial_1	placebo	100	KG00097815	alopecias	0.02398395538330078
trial_1	placebo	191	KG00104055	Biliverdin increased	0.02391524612903595
trial_1	placebo	101	KG00097901	Anorexia NOS	0.02335769683122635
trial_1	placebo	5	KG00099169	haematuria	0.02246861904859543
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.022341903299093246
trial_1	placebo	69	KG00100082	Palpitations NOS	0.022285183891654015
trial_1	placebo	18	KG00098307	Pain, Chest	0.02182917855679989
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.021762937307357788
trial_1	placebo	212	KG00100576	shivers	0.021484965458512306
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.021439403295516968
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.021433150395751
trial_1	placebo	441	KG00098262	cellulitis nos	0.02130904421210289
trial_1	placebo	102	KG00097916	anxieties	0.020644884556531906
trial_1	placebo	133	KG00101370	neuropathies sensory	0.020214155316352844
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.020186657086014748
trial_1	placebo	183	KG00100449	Adult Respiratory Distress Syndrome	0.020165909081697464
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.019905807450413704
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.01986512914299965
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.01966913975775242
trial_1	placebo	186	KG00101431	creatinine increased	0.018894067034125328
trial_1	placebo	288	KG00101223	hypophosphataemia	0.01886763423681259
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.01823745109140873
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.018084963783621788
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.01803511194884777
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.017928028479218483
trial_1	placebo	116	KG00098964	Pain in foot	0.017595386132597923
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.01736440137028694
trial_1	placebo	390	KG00100095	pancytopenias	0.017170680686831474
trial_1	placebo	262	KG00101199	agitation	0.017136337235569954
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.017125049605965614
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.017028259113430977
trial_1	placebo	494	KG00099838	Organ Failure, Multiple	0.016978798434138298
trial_1	placebo	163	KG00104050	bowel obstructions small	0.016884950920939445
trial_1	placebo	257	KG00100922	Erythema NOS	0.01646605134010315
trial_1	placebo	82	KG00097697	abdomen distended	0.016316361725330353
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.016104083508253098
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.016058076173067093
trial_2	cefoperazone	78	KG00099326	Hypertensive diseases	0.10153940320014954
trial_2	cefoperazone	177	KG00099299	hyperglycaemia	0.0965113639831543
trial_2	cefoperazone	123	KG00099351	hypokalaemia	0.09294574707746506
trial_2	cefoperazone	87	KG00098599	diarrhoea	0.08985918760299683
trial_2	cefoperazone	21	KG00098675	dyspnoea	0.07653345912694931
trial_2	cefoperazone	2	KG00100772	thrombocytopaenia	0.07399919629096985
trial_2	cefoperazone	17	KG00097991	Asthenia NOS	0.07088756561279297
trial_2	cefoperazone	173	KG00098172	Bronchopneumonia NOS	0.06642020493745804
trial_2	cefoperazone	14	KG00097852	Anemia NOS	0.06612794101238251
