trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.20377130806446075
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.18532080948352814
trial_1	placebo	123	KG00099351	hypokalaemia	0.1546396017074585
trial_1	placebo	177	KG00099299	hyperglycaemia	0.14415393769741058
trial_1	placebo	9	KG00098432	Confusion NOS	0.12488780915737152
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12147704511880875
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.11272026598453522
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.10857369005680084
trial_1	placebo	14	KG00097852	Anemia NOS	0.1057429313659668
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.10499906539916992
trial_1	placebo	46	KG00099121	Headache NOS	0.10388898104429245
trial_1	placebo	20	KG00098540	dehydration	0.0989561676979065
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.09567896276712418
trial_1	placebo	68	KG00099901	nauseas	0.09205804020166397
trial_1	placebo	21	KG00098675	dyspnoea	0.09057462960481644
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08985477685928345
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08385054022073746
trial_1	placebo	350	KG00106765	decreased platelet count	0.08339158445596695
trial_1	placebo	228	KG00114657	Weight below normal	0.07893373817205429
trial_1	placebo	29	KG00099354	hyponatraemia	0.07889214158058167
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07729121297597885
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07622885704040527
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.07579920440912247
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.07341428846120834
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07300819456577301
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0721963569521904
trial_1	placebo	27	KG00099303	hyperkalaemia	0.07119154930114746
trial_1	placebo	114	KG00098933	fevers	0.0700279027223587
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06915426254272461
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.06756384670734406
trial_1	placebo	77	KG00098450	Constipation NOS	0.06601502001285553
trial_1	placebo	179	KG00099342	hypocalcaemia	0.0642286017537117
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06249575316905975
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.06207926943898201
trial_1	placebo	147	KG00098000	atelectases	0.06178862228989601
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.06139020994305611
trial_1	placebo	5	KG00099169	haematuria	0.056278470903635025
trial_1	placebo	239	KG00100128	pareses	0.05564578250050545
trial_1	placebo	85	KG00098474	coughs	0.05496662110090256
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05479136109352112
trial_1	placebo	104	KG00097963	arthralgias	0.05476810038089752
trial_1	placebo	269	KG00100399	pyaemia	0.05454970523715019
trial_1	placebo	126	KG00100076	Pain NOS	0.054506924003362656
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05439845845103264
trial_1	placebo	72	KG00103771	myalgias	0.05386068671941757
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.05124726891517639
