trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.11589821428060532
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10582578927278519
trial_1	placebo	9	KG00098432	Confusion NOS	0.09427174925804138
trial_1	placebo	123	KG00099351	hypokalaemia	0.0733601301908493
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0637095496058464
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.06362412869930267
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.05973606929183006
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05800672620534897
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.05409940704703331
trial_1	placebo	46	KG00099121	Headache NOS	0.05370979383587837
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.050746142864227295
trial_1	placebo	269	KG00100399	pyaemia	0.0491030290722847
trial_1	placebo	68	KG00099901	nauseas	0.04890266805887222
trial_1	placebo	177	KG00099299	hyperglycaemia	0.046835239976644516
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0464245080947876
trial_1	placebo	147	KG00098000	atelectases	0.04613200202584267
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.0452946238219738
trial_1	placebo	21	KG00098675	dyspnoea	0.044665973633527756
trial_1	placebo	17	KG00097991	Asthenia NOS	0.04384883493185043
trial_1	placebo	14	KG00097852	Anemia NOS	0.04280155897140503
trial_1	placebo	77	KG00098450	Constipation NOS	0.04214974120259285
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04162346571683884
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.04107821732759476
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.04085350036621094
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.04075290635228157
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04056815057992935
trial_1	placebo	20	KG00098540	dehydration	0.03874371573328972
trial_1	placebo	29	KG00099354	hyponatraemia	0.03687572106719017
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03352562338113785
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03234715387225151
trial_1	placebo	350	KG00106765	decreased platelet count	0.031598735600709915
trial_1	placebo	114	KG00098933	fevers	0.03086927719414234
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.030222173780202866
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.028696563094854355
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.027572916820645332
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.027566280215978622
trial_1	placebo	27	KG00099303	hyperkalaemia	0.027522433549165726
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.02697562985122204
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02679932489991188
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.026392612606287003
trial_1	placebo	126	KG00100076	Pain NOS	0.02613195590674877
trial_1	placebo	179	KG00099342	hypocalcaemia	0.025815976783633232
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.025525780394673347
trial_1	placebo	96	KG00101679	Unattended death NOS	0.024958860129117966
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02468090131878853
trial_1	placebo	104	KG00097963	arthralgias	0.02445148304104805
trial_1	placebo	441	KG00098262	cellulitis nos	0.024234380573034286
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.02410772256553173
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.024092067033052444
trial_1	placebo	234	KG00098669	dysgeusias	0.023864207789301872
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.023864053189754486
