trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.13884639739990234
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0889667198061943
trial_1	placebo	9	KG00098432	Confusion NOS	0.08499021828174591
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07745860517024994
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07720575481653214
trial_1	placebo	68	KG00099901	nauseas	0.07501684874296188
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07369774580001831
trial_1	placebo	46	KG00099121	Headache NOS	0.07285521924495697
trial_1	placebo	20	KG00098540	dehydration	0.07029712200164795
trial_1	placebo	123	KG00099351	hypokalaemia	0.06672342866659164
trial_1	placebo	77	KG00098450	Constipation NOS	0.06366470456123352
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06197573244571686
trial_1	placebo	21	KG00098675	dyspnoea	0.05917781591415405
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05097341537475586
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05075908824801445
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05044090002775192
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05002964660525322
trial_1	placebo	126	KG00100076	Pain NOS	0.04772014915943146
trial_1	placebo	85	KG00098474	coughs	0.044365640729665756
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04399542883038521
trial_1	placebo	114	KG00098933	fevers	0.04216550290584564
trial_1	placebo	14	KG00097852	Anemia NOS	0.03994183987379074
trial_1	placebo	228	KG00114657	Weight below normal	0.03749334439635277
trial_1	placebo	5	KG00099169	haematuria	0.037078190594911575
trial_1	placebo	86	KG00098565	Depression, Mental	0.03655640035867691
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03252245485782623
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.032503336668014526
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03235877305269241
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.0322415754199028
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03165978938341141
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.02979438193142414
trial_1	placebo	180	KG00099363	Hypotension NOS	0.029730286449193954
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.02926657535135746
trial_1	placebo	104	KG00097963	arthralgias	0.029157187789678574
trial_1	placebo	102	KG00097916	anxieties	0.029041524976491928
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.028769079595804214
trial_1	placebo	211	KG00100341	Pruritus NOS	0.028647467494010925
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.028524350374937057
trial_1	placebo	239	KG00100128	pareses	0.02833651565015316
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.02757750079035759
trial_1	placebo	29	KG00099354	hyponatraemia	0.02742765098810196
trial_1	placebo	18	KG00098307	Pain, Chest	0.027100270614027977
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.026541048660874367
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.02616221457719803
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.025623418390750885
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.025546185672283173
trial_1	placebo	82	KG00097697	abdomen distended	0.024833759292960167
trial_1	placebo	350	KG00106765	decreased platelet count	0.024686388671398163
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.02361476980149746
trial_1	placebo	164	KG00108827	ileus colon	0.023152748122811317
trial_1	placebo	96	KG00101679	Unattended death NOS	0.023134281858801842
trial_1	placebo	27	KG00099303	hyperkalaemia	0.022487692534923553
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.022469166666269302
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.022286012768745422
trial_1	placebo	147	KG00098000	atelectases	0.022233210504055023
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.021997841075062752
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.021920183673501015
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.021915672346949577
trial_1	placebo	286	KG00101110	Retention, Urinary	0.0217127688229084
trial_1	placebo	300	KG00101064	xerostomia	0.021544648334383965
trial_1	placebo	116	KG00098964	Pain in foot	0.020522763952612877
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.020517835393548012
trial_1	placebo	72	KG00103771	myalgias	0.020443612709641457
trial_1	placebo	441	KG00098262	cellulitis nos	0.02021881751716137
trial_1	placebo	28	KG00099347	hypoglycaemia	0.020097043365240097
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.019919952377676964
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.019745798781514168
trial_1	placebo	69	KG00100082	Palpitations NOS	0.019511044025421143
trial_1	placebo	179	KG00099342	hypocalcaemia	0.019414136186242104
trial_1	placebo	234	KG00098669	dysgeusias	0.01924963854253292
trial_1	placebo	136	KG00101582	Dry;skin	0.019101155921816826
trial_1	placebo	186	KG00101431	creatinine increased	0.018866799771785736
trial_1	placebo	221	KG00101207	peripheral oedema	0.01876727305352688
trial_1	placebo	191	KG00104055	Biliverdin increased	0.018681982532143593
trial_1	placebo	269	KG00100399	pyaemia	0.018525658175349236
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.01849168911576271
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.018066294491291046
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.017884431406855583
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.01779838651418686
trial_1	placebo	456	KG00099420	Influenzae	0.017667008563876152
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.017574232071638107
trial_1	placebo	163	KG00104050	bowel obstructions small	0.017565449699759483
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.017432330176234245
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.017163656651973724
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.017154626548290253
trial_1	placebo	166	KG00099773	menopausal syndrome	0.016995949670672417
