trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.14234676957130432
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1223582997918129
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11478360742330551
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1077013909816742
trial_1	placebo	21	KG00098675	dyspnoea	0.10006457567214966
trial_1	placebo	123	KG00099351	hypokalaemia	0.09754524379968643
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08917959779500961
trial_1	placebo	20	KG00098540	dehydration	0.08752007782459259
trial_1	placebo	46	KG00099121	Headache NOS	0.08239995688199997
trial_1	placebo	68	KG00099901	nauseas	0.08204479515552521
trial_1	placebo	9	KG00098432	Confusion NOS	0.08134500682353973
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07931341230869293
trial_1	placebo	14	KG00097852	Anemia NOS	0.07729758322238922
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07723316550254822
trial_1	placebo	228	KG00114657	Weight below normal	0.07335462421178818
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0717676505446434
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07121797651052475
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.06930772960186005
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06697197258472443
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06578510999679565
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06571318954229355
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06431525945663452
trial_1	placebo	77	KG00098450	Constipation NOS	0.06287060678005219
trial_1	placebo	114	KG00098933	fevers	0.059258654713630676
trial_1	placebo	29	KG00099354	hyponatraemia	0.055507149547338486
trial_1	placebo	126	KG00100076	Pain NOS	0.054415855556726456
trial_1	placebo	350	KG00106765	decreased platelet count	0.053844153881073
trial_1	placebo	72	KG00103771	myalgias	0.048606134951114655
trial_1	placebo	5	KG00099169	haematuria	0.0481596477329731
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04730173945426941
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04648091271519661
trial_1	placebo	85	KG00098474	coughs	0.04628874734044075
trial_1	placebo	86	KG00098565	Depression, Mental	0.04590349271893501
trial_1	placebo	27	KG00099303	hyperkalaemia	0.04413380101323128
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04403158649802208
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04343540221452713
trial_1	placebo	104	KG00097963	arthralgias	0.04341312125325203
trial_1	placebo	179	KG00099342	hypocalcaemia	0.040676504373550415
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04053735360503197
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.0404796339571476
trial_1	placebo	239	KG00100128	pareses	0.040132787078619
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.039915524423122406
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.038804791867733
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.038576509803533554
trial_1	placebo	102	KG00097916	anxieties	0.03851813077926636
trial_1	placebo	147	KG00098000	atelectases	0.03790389373898506
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.03714969381690025
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03661200404167175
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03635706380009651
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.03618597239255905
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.0359056182205677
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03585324063897133
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03570050001144409
trial_1	placebo	18	KG00098307	Pain, Chest	0.034912217408418655
trial_1	placebo	269	KG00100399	pyaemia	0.03252913057804108
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03251337632536888
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03237830847501755
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.03222968801856041
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03204365819692612
trial_1	placebo	282	KG00099309	hypernatraemia	0.031874023377895355
trial_1	placebo	121	KG00099190	haemorrhage	0.030283985659480095
trial_1	placebo	82	KG00097697	abdomen distended	0.030232777819037437
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03020596131682396
trial_1	placebo	100	KG00097815	alopecias	0.030192848294973373
trial_1	placebo	191	KG00104055	Biliverdin increased	0.030033711344003677
trial_1	placebo	234	KG00098669	dysgeusias	0.02963114343583584
trial_1	placebo	69	KG00100082	Palpitations NOS	0.029318295419216156
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.029012322425842285
trial_1	placebo	116	KG00098964	Pain in foot	0.028536127880215645
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.02852141670882702
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.02848830819129944
trial_1	placebo	164	KG00108827	ileus colon	0.02744792401790619
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.027191976085305214
trial_1	placebo	186	KG00101431	creatinine increased	0.026823820546269417
trial_1	placebo	154	KG00099686	Lymphopenias	0.02669914998114109
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.026332462206482887
trial_1	placebo	441	KG00098262	cellulitis nos	0.02618800476193428
trial_1	placebo	212	KG00100576	shivers	0.025821566581726074
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.024653714150190353
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.024438397958874702
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.024438325315713882
trial_1	placebo	262	KG00101199	agitation	0.024231072515249252
trial_1	placebo	288	KG00101223	hypophosphataemia	0.023573070764541626
trial_1	placebo	132	KG00101045	Gain, Weight	0.02354000136256218
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.023305190727114677
trial_1	placebo	466	KG00101205	fall	0.02299555391073227
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.02299201488494873
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.022973982617259026
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.022193636745214462
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.02204635925590992
trial_1	placebo	211	KG00100341	Pruritus NOS	0.02198469266295433
trial_1	placebo	508	KG00108565	blood glucose increased	0.021889444440603256
trial_1	placebo	286	KG00101110	Retention, Urinary	0.021205663681030273
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.020381221547722816
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.020203882828354836
trial_1	placebo	257	KG00100922	Erythema NOS	0.01997598633170128
trial_1	placebo	454	KG00098286	Pain, Neck	0.01997505873441696
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.019643673673272133
trial_1	placebo	221	KG00101207	peripheral oedema	0.019260559231042862
trial_1	placebo	163	KG00104050	bowel obstructions small	0.01900647021830082
trial_2	chloroxine	87	KG00098599	diarrhoea	0.14234676957130432
trial_2	chloroxine	78	KG00099326	Hypertensive diseases	0.1223582997918129
trial_2	chloroxine	177	KG00099299	hyperglycaemia	0.11478360742330551
trial_2	chloroxine	17	KG00097991	Asthenia NOS	0.1077013909816742
trial_2	chloroxine	21	KG00098675	dyspnoea	0.10006457567214966
trial_2	chloroxine	123	KG00099351	hypokalaemia	0.09754524379968643
trial_2	chloroxine	173	KG00098172	Bronchopneumonia NOS	0.08917959779500961
trial_2	chloroxine	20	KG00098540	dehydration	0.08752007782459259
trial_2	chloroxine	46	KG00099121	Headache NOS	0.08239995688199997
trial_2	chloroxine	68	KG00099901	nauseas	0.08204479515552521
