trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1856599748134613
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1784428060054779
trial_1	placebo	177	KG00099299	hyperglycaemia	0.14048850536346436
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12548479437828064
trial_1	placebo	123	KG00099351	hypokalaemia	0.12273550033569336
trial_1	placebo	20	KG00098540	dehydration	0.12026403844356537
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11340495198965073
trial_1	placebo	9	KG00098432	Confusion NOS	0.113139308989048
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.10958386212587357
trial_1	placebo	21	KG00098675	dyspnoea	0.1028619259595871
trial_1	placebo	14	KG00097852	Anemia NOS	0.09796401858329773
trial_1	placebo	46	KG00099121	Headache NOS	0.09268900007009506
trial_1	placebo	77	KG00098450	Constipation NOS	0.08390354365110397
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08284758031368256
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08052630722522736
trial_1	placebo	68	KG00099901	nauseas	0.07922625541687012
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07856440544128418
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07784780859947205
trial_1	placebo	228	KG00114657	Weight below normal	0.07773090153932571
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07294949889183044
trial_1	placebo	180	KG00099363	Hypotension NOS	0.07288364320993423
trial_1	placebo	350	KG00106765	decreased platelet count	0.06764929741621017
trial_1	placebo	114	KG00098933	fevers	0.06614468991756439
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06604648381471634
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06589484214782715
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06522341817617416
trial_1	placebo	29	KG00099354	hyponatraemia	0.06517060101032257
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.06463311612606049
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05900285020470619
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05865722522139549
trial_1	placebo	126	KG00100076	Pain NOS	0.05707242339849472
trial_1	placebo	27	KG00099303	hyperkalaemia	0.056679483503103256
trial_1	placebo	104	KG00097963	arthralgias	0.05583564564585686
trial_1	placebo	72	KG00103771	myalgias	0.055811282247304916
trial_1	placebo	85	KG00098474	coughs	0.054316937923431396
trial_1	placebo	86	KG00098565	Depression, Mental	0.054304711520671844
trial_1	placebo	239	KG00100128	pareses	0.0532243587076664
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05168686434626579
trial_1	placebo	5	KG00099169	haematuria	0.05126823112368584
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.051254723221063614
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.0486379973590374
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04863594472408295
trial_1	placebo	147	KG00098000	atelectases	0.047089576721191406
trial_1	placebo	18	KG00098307	Pain, Chest	0.045806702226400375
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04577633738517761
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04503795504570007
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04451094567775726
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.043469928205013275
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.043058183044195175
trial_1	placebo	101	KG00097901	Anorexia NOS	0.042377494275569916
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.04224880784749985
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04134359583258629
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.04021743685007095
trial_1	placebo	69	KG00100082	Palpitations NOS	0.04005645215511322
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03888287395238876
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.03798489645123482
trial_1	placebo	102	KG00097916	anxieties	0.03795800730586052
trial_1	placebo	116	KG00098964	Pain in foot	0.03775836527347565
trial_1	placebo	234	KG00098669	dysgeusias	0.03738587349653244
trial_1	placebo	269	KG00100399	pyaemia	0.03728175535798073
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03628319501876831
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.036261726170778275
trial_1	placebo	82	KG00097697	abdomen distended	0.03620802238583565
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.036099743098020554
trial_1	placebo	100	KG00097815	alopecias	0.035652682185173035
trial_1	placebo	164	KG00108827	ileus colon	0.03560149297118187
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.0351116843521595
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.035042256116867065
trial_1	placebo	282	KG00099309	hypernatraemia	0.03464299812912941
trial_1	placebo	132	KG00101045	Gain, Weight	0.0344100259244442
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03422817215323448
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03381580859422684
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.03294261917471886
trial_1	placebo	288	KG00101223	hypophosphataemia	0.03208128362894058
trial_1	placebo	121	KG00099190	haemorrhage	0.031806912273168564
trial_1	placebo	221	KG00101207	peripheral oedema	0.031714677810668945
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.031355489045381546
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.03080521896481514
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.03068525344133377
trial_1	placebo	441	KG00098262	cellulitis nos	0.0300739835947752
trial_1	placebo	186	KG00101431	creatinine increased	0.029985036700963974
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.02957296371459961
trial_1	placebo	286	KG00101110	Retention, Urinary	0.029088420793414116
trial_1	placebo	191	KG00104055	Biliverdin increased	0.029062695801258087
trial_1	placebo	154	KG00099686	Lymphopenias	0.028323424980044365
trial_1	placebo	339	KG00100334	proteinurias	0.028299981728196144
trial_1	placebo	4	KG00098817	epistaxis	0.028271960094571114
trial_1	placebo	262	KG00101199	agitation	0.028224831447005272
trial_1	placebo	466	KG00101205	fall	0.027931256219744682
trial_1	placebo	508	KG00108565	blood glucose increased	0.02735954523086548
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.02701842039823532
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.0266286488622427
trial_1	placebo	166	KG00099773	menopausal syndrome	0.026620319113135338
trial_1	placebo	212	KG00100576	shivers	0.026497429236769676
trial_1	placebo	133	KG00101370	neuropathies sensory	0.026353619992733
trial_1	placebo	163	KG00104050	bowel obstructions small	0.025485321879386902
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.025111433118581772
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.025067968294024467
trial_1	placebo	400	KG00100925	Upper gastrointestinal haemorrhage	0.02483959123492241
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.024673156440258026
trial_2	chlorphenesin carbamate	87	KG00098599	diarrhoea	0.1856599748134613
trial_2	chlorphenesin carbamate	78	KG00099326	Hypertensive diseases	0.1784428060054779
trial_2	chlorphenesin carbamate	177	KG00099299	hyperglycaemia	0.14048850536346436
trial_2	chlorphenesin carbamate	17	KG00097991	Asthenia NOS	0.12548479437828064
trial_2	chlorphenesin carbamate	123	KG00099351	hypokalaemia	0.12273550033569336
trial_2	chlorphenesin carbamate	20	KG00098540	dehydration	0.12026403844356537
trial_2	chlorphenesin carbamate	173	KG00098172	Bronchopneumonia NOS	0.11340495198965073
trial_2	chlorphenesin carbamate	9	KG00098432	Confusion NOS	0.113139308989048
trial_2	chlorphenesin carbamate	37	KG00097696	Cramps, Abdominal	0.10958386212587357
trial_2	chlorphenesin carbamate	21	KG00098675	dyspnoea	0.1028619259595871
trial_2	chlorphenesin carbamate	14	KG00097852	Anemia NOS	0.09796401858329773
trial_2	chlorphenesin carbamate	46	KG00099121	Headache NOS	0.09268900007009506
