trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10082076489925385
trial_1	placebo	87	KG00098599	diarrhoea	0.0820465087890625
trial_1	placebo	9	KG00098432	Confusion NOS	0.08180132508277893
trial_1	placebo	46	KG00099121	Headache NOS	0.07519064098596573
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0676487535238266
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06595516949892044
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.053410984575748444
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0519094243645668
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04945100471377373
trial_1	placebo	68	KG00099901	nauseas	0.04892425239086151
trial_1	placebo	123	KG00099351	hypokalaemia	0.04885897785425186
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04787592962384224
trial_1	placebo	21	KG00098675	dyspnoea	0.04721706360578537
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0449337512254715
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04358411952853203
trial_1	placebo	20	KG00098540	dehydration	0.04351769760251045
trial_1	placebo	29	KG00099354	hyponatraemia	0.043408915400505066
trial_1	placebo	77	KG00098450	Constipation NOS	0.04147547483444214
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04131888970732689
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.040307626128196716
trial_1	placebo	228	KG00114657	Weight below normal	0.037252672016620636
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03696336969733238
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.035863246768713
trial_1	placebo	350	KG00106765	decreased platelet count	0.0348174087703228
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.034603241831064224
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03139880672097206
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.031266916543245316
trial_1	placebo	14	KG00097852	Anemia NOS	0.03056008741259575
trial_1	placebo	104	KG00097963	arthralgias	0.030511410906910896
trial_1	placebo	126	KG00100076	Pain NOS	0.03044174425303936
trial_1	placebo	114	KG00098933	fevers	0.028628241270780563
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.02856658399105072
trial_1	placebo	86	KG00098565	Depression, Mental	0.027676377445459366
trial_1	placebo	179	KG00099342	hypocalcaemia	0.0274176187813282
trial_1	placebo	96	KG00101679	Unattended death NOS	0.0270325168967247
trial_1	placebo	239	KG00100128	pareses	0.02682170830667019
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.026378365233540535
trial_1	placebo	85	KG00098474	coughs	0.026288431137800217
trial_1	placebo	101	KG00097901	Anorexia NOS	0.026245635002851486
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.026197444647550583
trial_1	placebo	102	KG00097916	anxieties	0.0252259261906147
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02512013167142868
trial_1	placebo	132	KG00101045	Gain, Weight	0.02468232996761799
trial_1	placebo	27	KG00099303	hyperkalaemia	0.024121755734086037
trial_1	placebo	166	KG00099773	menopausal syndrome	0.023541798815131187
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.023076292127370834
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.02241458185017109
trial_1	placebo	262	KG00101199	agitation	0.022322403267025948
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.02211477980017662
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.02145553007721901
trial_1	placebo	121	KG00099190	haemorrhage	0.020970016717910767
trial_1	placebo	147	KG00098000	atelectases	0.020655637606978416
trial_1	placebo	5	KG00099169	haematuria	0.019954537972807884
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.01989988051354885
trial_1	placebo	72	KG00103771	myalgias	0.019665494561195374
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.01956222765147686
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.019447049126029015
trial_1	placebo	269	KG00100399	pyaemia	0.019386794418096542
trial_1	placebo	82	KG00097697	abdomen distended	0.01933521404862404
trial_1	placebo	69	KG00100082	Palpitations NOS	0.01927666738629341
trial_1	placebo	282	KG00099309	hypernatraemia	0.019208401441574097
trial_1	placebo	116	KG00098964	Pain in foot	0.01920696347951889
trial_1	placebo	466	KG00101205	fall	0.019006287679076195
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.018755290657281876
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.018719783052802086
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.018132803961634636
trial_1	placebo	18	KG00098307	Pain, Chest	0.018093565478920937
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.017993606626987457
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.017822759225964546
trial_1	placebo	191	KG00104055	Biliverdin increased	0.01764214038848877
trial_1	placebo	242	KG00100855	tremors	0.017326826229691505
trial_1	placebo	154	KG00099686	Lymphopenias	0.017260359600186348
trial_1	placebo	66	KG00098642	drowsiness	0.016728539019823074
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.01665371283888817
