trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.12301459163427353
trial_1	placebo	123	KG00099351	hypokalaemia	0.1179114580154419
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11001372337341309
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10244003683328629
trial_1	placebo	20	KG00098540	dehydration	0.09347349405288696
trial_1	placebo	14	KG00097852	Anemia NOS	0.07603266090154648
trial_1	placebo	21	KG00098675	dyspnoea	0.07276754081249237
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06984107196331024
trial_1	placebo	9	KG00098432	Confusion NOS	0.06800870597362518
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06466970592737198
trial_1	placebo	68	KG00099901	nauseas	0.06456900388002396
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.06430494785308838
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06418542563915253
trial_1	placebo	46	KG00099121	Headache NOS	0.06322221457958221
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.058916524052619934
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.058789677917957306
trial_1	placebo	29	KG00099354	hyponatraemia	0.05743647366762161
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.05436998978257179
trial_1	placebo	49	KG00099902	nausea with vomiting	0.053984880447387695
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05304625257849693
trial_1	placebo	228	KG00114657	Weight below normal	0.049449771642684937
trial_1	placebo	126	KG00100076	Pain NOS	0.04879807308316231
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.047151293605566025
trial_1	placebo	114	KG00098933	fevers	0.046601321548223495
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.046114493161439896
trial_1	placebo	350	KG00106765	decreased platelet count	0.04578833281993866
trial_1	placebo	27	KG00099303	hyperkalaemia	0.04489215835928917
trial_1	placebo	147	KG00098000	atelectases	0.04430263862013817
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04067351669073105
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04031382501125336
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03902973234653473
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.03878676891326904
trial_1	placebo	77	KG00098450	Constipation NOS	0.03769295662641525
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03739871457219124
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03714804723858833
trial_1	placebo	5	KG00099169	haematuria	0.03689170256257057
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03686654567718506
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03684065490961075
trial_1	placebo	186	KG00101431	creatinine increased	0.03535803034901619
trial_1	placebo	269	KG00100399	pyaemia	0.03507673367857933
trial_1	placebo	121	KG00099190	haemorrhage	0.03470518812537193
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03464455157518387
trial_1	placebo	85	KG00098474	coughs	0.03427666425704956
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.034226566553115845
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.033518895506858826
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.032879672944545746
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.032761745154857635
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03264070302248001
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.032620951533317566
trial_1	placebo	86	KG00098565	Depression, Mental	0.032522086054086685
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03198527172207832
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.03151553124189377
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.030972808599472046
trial_1	placebo	101	KG00097901	Anorexia NOS	0.03085428662598133
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.030301950871944427
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.03026280738413334
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03022797405719757
trial_1	placebo	282	KG00099309	hypernatraemia	0.029820188879966736
trial_1	placebo	239	KG00100128	pareses	0.029321912676095963
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02860173210501671
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.028445348143577576
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.026981038972735405
trial_1	placebo	441	KG00098262	cellulitis nos	0.026863127946853638
trial_1	placebo	288	KG00101223	hypophosphataemia	0.026103556156158447
trial_1	placebo	104	KG00097963	arthralgias	0.025747744366526604
trial_1	placebo	18	KG00098307	Pain, Chest	0.025484776124358177
trial_1	placebo	164	KG00108827	ileus colon	0.024620547890663147
trial_1	placebo	154	KG00099686	Lymphopenias	0.02409099042415619
trial_1	placebo	82	KG00097697	abdomen distended	0.023715738207101822
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.023632680997252464
trial_1	placebo	211	KG00100341	Pruritus NOS	0.023099463433027267
trial_1	placebo	72	KG00103771	myalgias	0.0230721365660429
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.02301483415067196
trial_1	placebo	234	KG00098669	dysgeusias	0.022474749013781548
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.021830985322594643
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.021660830825567245
trial_1	placebo	212	KG00100576	shivers	0.021356752142310143
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02121802605688572
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.02095904015004635
trial_1	placebo	116	KG00098964	Pain in foot	0.02038264460861683
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.020081574097275734
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.01996634714305401
trial_1	placebo	286	KG00101110	Retention, Urinary	0.01970984786748886
trial_1	placebo	69	KG00100082	Palpitations NOS	0.019491292536258698
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.019188113510608673
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.01856963150203228
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.01856476068496704
trial_1	placebo	494	KG00099838	Organ Failure, Multiple	0.018438590690493584
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.018266526982188225
trial_1	placebo	136	KG00101582	Dry;skin	0.01786811649799347
trial_1	placebo	163	KG00104050	bowel obstructions small	0.01765567436814308
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.01761162281036377
trial_1	placebo	174	KG00098731	Embolism NOS	0.017546098679304123
trial_1	placebo	102	KG00097916	anxieties	0.017171340063214302
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.01712624542415142
trial_1	placebo	503	KG00102612	low haemoglobin	0.01694745384156704
trial_1	placebo	221	KG00101207	peripheral oedema	0.01661532185971737
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.01643501967191696
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.016366245225071907
trial_1	placebo	133	KG00101370	neuropathies sensory	0.016282126307487488
trial_2	cidofovir	87	KG00098599	diarrhoea	0.12301459163427353
trial_2	cidofovir	123	KG00099351	hypokalaemia	0.1179114580154419
trial_2	cidofovir	177	KG00099299	hyperglycaemia	0.11001372337341309
trial_2	cidofovir	78	KG00099326	Hypertensive diseases	0.10244003683328629
trial_2	cidofovir	20	KG00098540	dehydration	0.09347349405288696
trial_2	cidofovir	14	KG00097852	Anemia NOS	0.07603266090154648
trial_2	cidofovir	21	KG00098675	dyspnoea	0.07276754081249237
trial_2	cidofovir	64	KG00097734	Acrodermatitis, NOS	0.06984107196331024
trial_2	cidofovir	9	KG00098432	Confusion NOS	0.06800870597362518
trial_2	cidofovir	17	KG00097991	Asthenia NOS	0.06466970592737198
trial_2	cidofovir	68	KG00099901	nauseas	0.06456900388002396
trial_2	cidofovir	2	KG00100772	thrombocytopaenia	0.06430494785308838
trial_2	cidofovir	173	KG00098172	Bronchopneumonia NOS	0.06418542563915253
trial_2	cidofovir	46	KG00099121	Headache NOS	0.06322221457958221
trial_2	cidofovir	189	KG00101580	Alanine aminotransferase increase	0.058916524052619934
trial_2	cidofovir	37	KG00097696	Cramps, Abdominal	0.058789677917957306
trial_2	cidofovir	29	KG00099354	hyponatraemia	0.05743647366762161
trial_2	cidofovir	61	KG00099501	Chronic Kidney Failure	0.05436998978257179
trial_2	cidofovir	49	KG00099902	nausea with vomiting	0.053984880447387695
trial_2	cidofovir	200	KG00098539	Disorders, Deglutition	0.05304625257849693
trial_2	cidofovir	228	KG00114657	Weight below normal	0.049449771642684937
trial_2	cidofovir	126	KG00100076	Pain NOS	0.04879807308316231
trial_2	cidofovir	67	KG00098673	Dyspepsia, NOS	0.047151293605566025
trial_2	cidofovir	114	KG00098933	fevers	0.046601321548223495
trial_2	cidofovir	188	KG00101579	Aspartate aminotransferase increase	0.046114493161439896
trial_2	cidofovir	350	KG00106765	decreased platelet count	0.04578833281993866
trial_2	cidofovir	27	KG00099303	hyperkalaemia	0.04489215835928917
trial_2	cidofovir	147	KG00098000	atelectases	0.04430263862013817
trial_2	cidofovir	96	KG00101679	Unattended death NOS	0.04067351669073105
trial_2	cidofovir	179	KG00099342	hypocalcaemia	0.04031382501125336
trial_2	cidofovir	30	KG00099500	Acute Kidney Failure	0.03902973234653473
trial_2	cidofovir	142	KG00100923	Unspecified infectious and parasitic diseases	0.03878676891326904
trial_2	cidofovir	77	KG00098450	Constipation NOS	0.03769295662641525
trial_2	cidofovir	76	KG00100450	Respiratory insufficiency, NOS	0.03739871457219124
trial_2	cidofovir	180	KG00099363	Hypotension NOS	0.03714804723858833
trial_2	cidofovir	5	KG00099169	haematuria	0.03689170256257057
trial_2	cidofovir	28	KG00099347	hypoglycaemia	0.03686654567718506
trial_2	cidofovir	396	KG00100373	Embolism, Pulmonary	0.03684065490961075
trial_2	cidofovir	186	KG00101431	creatinine increased	0.03535803034901619
trial_2	cidofovir	269	KG00100399	pyaemia	0.03507673367857933
trial_2	cidofovir	121	KG00099190	haemorrhage	0.03470518812537193
trial_2	cidofovir	79	KG00100317	Insomnia, Primary	0.03464455157518387
trial_2	cidofovir	85	KG00098474	coughs	0.03427666425704956
trial_2	cidofovir	131	KG00100948	Urinary tract infection (& [NOS])	0.034226566553115845
trial_2	cidofovir	249	KG00104430	hypoalbuminaemia	0.033518895506858826
trial_2	cidofovir	38	KG00098066	Binocular vision disorders	0.032879672944545746
trial_2	cidofovir	276	KG00099127	Arrest, Cardiac	0.032761745154857635
trial_2	cidofovir	191	KG00104055	Biliverdin increased	0.03264070302248001
trial_2	cidofovir	151	KG00098274	Infarction, Cerebral	0.032620951533317566
