trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.205993190407753
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1867876648902893
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12855248153209686
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.12213213741779327
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11640065908432007
trial_1	placebo	123	KG00099351	hypokalaemia	0.11084412783384323
trial_1	placebo	9	KG00098432	Confusion NOS	0.1090874895453453
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.09970656037330627
trial_1	placebo	20	KG00098540	dehydration	0.09866209328174591
trial_1	placebo	46	KG00099121	Headache NOS	0.09516613930463791
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0927698165178299
trial_1	placebo	228	KG00114657	Weight below normal	0.0925748199224472
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09156853705644608
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08688721805810928
trial_1	placebo	68	KG00099901	nauseas	0.0835418626666069
trial_1	placebo	21	KG00098675	dyspnoea	0.08349636942148209
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07868669182062149
trial_1	placebo	14	KG00097852	Anemia NOS	0.07781565189361572
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0759192556142807
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07184706628322601
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0703783929347992
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06686292588710785
trial_1	placebo	350	KG00106765	decreased platelet count	0.06544607877731323
trial_1	placebo	86	KG00098565	Depression, Mental	0.06528569012880325
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.06442410498857498
trial_1	placebo	77	KG00098450	Constipation NOS	0.0642537921667099
trial_1	placebo	101	KG00097901	Anorexia NOS	0.06330505758523941
trial_1	placebo	114	KG00098933	fevers	0.06051577627658844
trial_1	placebo	72	KG00103771	myalgias	0.05906325578689575
trial_1	placebo	5	KG00099169	haematuria	0.05811534449458122
trial_1	placebo	85	KG00098474	coughs	0.0555601492524147
trial_1	placebo	126	KG00100076	Pain NOS	0.054286740720272064
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05281587317585945
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.0525023490190506
trial_1	placebo	29	KG00099354	hyponatraemia	0.05135470628738403
trial_1	placebo	239	KG00100128	pareses	0.05068732425570488
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04899812117218971
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04709916561841965
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04641959071159363
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04557576775550842
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04491553083062172
trial_1	placebo	234	KG00098669	dysgeusias	0.04370957612991333
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04368629679083824
