trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.20329846441745758
trial_1	placebo	68	KG00099901	nauseas	0.14641599357128143
trial_1	placebo	17	KG00097991	Asthenia NOS	0.14335918426513672
trial_1	placebo	177	KG00099299	hyperglycaemia	0.13901583850383759
trial_1	placebo	123	KG00099351	hypokalaemia	0.13191935420036316
trial_1	placebo	20	KG00098540	dehydration	0.11303029954433441
trial_1	placebo	9	KG00098432	Confusion NOS	0.10860750079154968
trial_1	placebo	100	KG00097815	alopecias	0.10642340034246445
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10153799504041672
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09648056328296661
trial_1	placebo	77	KG00098450	Constipation NOS	0.09233683347702026
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08730462938547134
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08254659175872803
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.08067265897989273
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.07686178386211395
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.0742662250995636
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.0741579532623291
trial_1	placebo	29	KG00099354	hyponatraemia	0.0726989135146141
trial_1	placebo	14	KG00097852	Anemia NOS	0.07099321484565735
trial_1	placebo	46	KG00099121	Headache NOS	0.06983800232410431
trial_1	placebo	101	KG00097901	Anorexia NOS	0.069748654961586
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06874925643205643
trial_1	placebo	133	KG00101370	neuropathies sensory	0.06802254915237427
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06800520420074463
trial_1	placebo	179	KG00099342	hypocalcaemia	0.06733059138059616
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06625808775424957
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.0655132308602333
trial_1	placebo	228	KG00114657	Weight below normal	0.06520307064056396
trial_1	placebo	350	KG00106765	decreased platelet count	0.0644720271229744
trial_1	placebo	72	KG00103771	myalgias	0.06247318908572197
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.062105149030685425
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06193714216351509
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.061482734978199005
trial_1	placebo	180	KG00099363	Hypotension NOS	0.061314526945352554
trial_1	placebo	114	KG00098933	fevers	0.060887157917022705
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0607268363237381
trial_1	placebo	21	KG00098675	dyspnoea	0.059812579303979874
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.059783320873975754
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.05819337069988251
trial_1	placebo	121	KG00099190	haemorrhage	0.058149635791778564
trial_1	placebo	234	KG00098669	dysgeusias	0.05581056326627731
trial_1	placebo	126	KG00100076	Pain NOS	0.05199171602725983
trial_1	placebo	154	KG00099686	Lymphopenias	0.048326004296541214
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04592939838767052
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.045772671699523926
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04392705857753754
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.043491944670677185
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.0421655997633934
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04068971425294876
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.038804229348897934
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03820998966693878
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03806418552994728
trial_1	placebo	155	KG00099960	Neutrophile	0.03800832852721214
trial_1	placebo	27	KG00099303	hyperkalaemia	0.035912156105041504
trial_1	placebo	85	KG00098474	coughs	0.03586818650364876
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03482551872730255
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03480052947998047
trial_1	placebo	86	KG00098565	Depression, Mental	0.03456617519259453
trial_1	placebo	147	KG00098000	atelectases	0.034368474036455154
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.033737290650606155
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.0324116088449955
trial_1	placebo	239	KG00100128	pareses	0.03127823397517204
trial_1	placebo	18	KG00098307	Pain, Chest	0.031225834041833878
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03101896494626999
trial_1	placebo	104	KG00097963	arthralgias	0.030876396223902702
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.03044865094125271
trial_1	placebo	5	KG00099169	haematuria	0.029997868463397026
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02961176633834839
trial_1	placebo	164	KG00108827	ileus colon	0.029416270554065704
trial_1	placebo	186	KG00101431	creatinine increased	0.029399847611784935
trial_1	placebo	132	KG00101045	Gain, Weight	0.029119355604052544
trial_1	placebo	282	KG00099309	hypernatraemia	0.0289959367364645
trial_1	placebo	347	KG00104223	Mucosal ulcers	0.02893269620835781
trial_1	placebo	191	KG00104055	Biliverdin increased	0.028662078082561493
trial_1	placebo	102	KG00097916	anxieties	0.028241897001862526
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.027661193162202835
trial_1	placebo	441	KG00098262	cellulitis nos	0.027436036616563797
trial_1	placebo	82	KG00097697	abdomen distended	0.026773443445563316
trial_1	placebo	4	KG00098817	epistaxis	0.026408154517412186
trial_1	placebo	257	KG00100922	Erythema NOS	0.02601015567779541
trial_1	placebo	503	KG00102612	low haemoglobin	0.025087203830480576
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.024830810725688934
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.024667561054229736
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.0246586836874485
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.024606427177786827
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.02422306314110756
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.024116873741149902
trial_1	placebo	181	KG00099943	Neuritis NOS	0.02357982099056244
trial_1	placebo	22	KG00098705	Edema (NOS)	0.02329455502331257
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.02312992699444294
trial_1	placebo	269	KG00100399	pyaemia	0.02281234972178936
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02280603162944317
trial_1	placebo	288	KG00101223	hypophosphataemia	0.022538427263498306
trial_1	placebo	221	KG00101207	peripheral oedema	0.022492293268442154
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.022417748346924782
trial_1	placebo	212	KG00100576	shivers	0.02237190306186676
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.021695472300052643
trial_1	placebo	136	KG00101582	Dry;skin	0.02150464430451393
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.021390162408351898
trial_1	placebo	135	KG00101549	bone pain	0.02124079316854477
trial_2	cisplatin	87	KG00098599	diarrhoea	0.20329846441745758
trial_2	cisplatin	68	KG00099901	nauseas	0.14641599357128143
trial_2	cisplatin	17	KG00097991	Asthenia NOS	0.14335918426513672
trial_2	cisplatin	177	KG00099299	hyperglycaemia	0.13901583850383759
trial_2	cisplatin	123	KG00099351	hypokalaemia	0.13191935420036316
trial_2	cisplatin	20	KG00098540	dehydration	0.11303029954433441
trial_2	cisplatin	9	KG00098432	Confusion NOS	0.10860750079154968
trial_2	cisplatin	100	KG00097815	alopecias	0.10642340034246445
trial_2	cisplatin	78	KG00099326	Hypertensive diseases	0.10153799504041672
trial_2	cisplatin	49	KG00099902	nausea with vomiting	0.09648056328296661
trial_2	cisplatin	77	KG00098450	Constipation NOS	0.09233683347702026
trial_2	cisplatin	189	KG00101580	Alanine aminotransferase increase	0.08730462938547134
trial_2	cisplatin	2	KG00100772	thrombocytopaenia	0.08254659175872803
trial_2	cisplatin	67	KG00098673	Dyspepsia, NOS	0.08067265897989273
trial_2	cisplatin	1	KG00099959	Neutropenia NOS	0.07686178386211395
trial_2	cisplatin	144	KG00099610	Leukopenia NOS	0.0742662250995636
trial_2	cisplatin	200	KG00098539	Disorders, Deglutition	0.0741579532623291
trial_2	cisplatin	29	KG00099354	hyponatraemia	0.0726989135146141
trial_2	cisplatin	14	KG00097852	Anemia NOS	0.07099321484565735
trial_2	cisplatin	46	KG00099121	Headache NOS	0.06983800232410431
trial_2	cisplatin	101	KG00097901	Anorexia NOS	0.069748654961586
trial_2	cisplatin	37	KG00097696	Cramps, Abdominal	0.06874925643205643
trial_2	cisplatin	133	KG00101370	neuropathies sensory	0.06802254915237427
trial_2	cisplatin	173	KG00098172	Bronchopneumonia NOS	0.06800520420074463
trial_2	cisplatin	179	KG00099342	hypocalcaemia	0.06733059138059616
trial_2	cisplatin	64	KG00097734	Acrodermatitis, NOS	0.06625808775424957
trial_2	cisplatin	194	KG00110727	Neutrophil Count Decreased	0.0655132308602333
trial_2	cisplatin	228	KG00114657	Weight below normal	0.06520307064056396
trial_2	cisplatin	350	KG00106765	decreased platelet count	0.0644720271229744
trial_2	cisplatin	72	KG00103771	myalgias	0.06247318908572197
trial_2	cisplatin	188	KG00101579	Aspartate aminotransferase increase	0.062105149030685425
trial_2	cisplatin	79	KG00100317	Insomnia, Primary	0.06193714216351509
trial_2	cisplatin	142	KG00100923	Unspecified infectious and parasitic diseases	0.061482734978199005
trial_2	cisplatin	180	KG00099363	Hypotension NOS	0.061314526945352554
trial_2	cisplatin	114	KG00098933	fevers	0.060887157917022705
trial_2	cisplatin	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0607268363237381
trial_2	cisplatin	21	KG00098675	dyspnoea	0.059812579303979874
trial_2	cisplatin	170	KG00108926	Neutropenia, Febrile	0.059783320873975754
trial_2	cisplatin	122	KG00099321	Hypersensitivity NOS	0.05819337069988251
trial_2	cisplatin	121	KG00099190	haemorrhage	0.058149635791778564
trial_2	cisplatin	234	KG00098669	dysgeusias	0.05581056326627731
trial_2	cisplatin	126	KG00100076	Pain NOS	0.05199171602725983
trial_2	cisplatin	154	KG00099686	Lymphopenias	0.048326004296541214
trial_2	cisplatin	28	KG00099347	hypoglycaemia	0.04592939838767052
trial_2	cisplatin	249	KG00104430	hypoalbuminaemia	0.045772671699523926
trial_2	cisplatin	243	KG00100947	Micturition frequency increased	0.04392705857753754
trial_2	cisplatin	35	KG00101507	hypomagnesaemia	0.043491944670677185
trial_2	cisplatin	130	KG00100683	Stomatitis NOS	0.0421655997633934
trial_2	cisplatin	151	KG00098274	Infarction, Cerebral	0.04068971425294876
trial_2	cisplatin	76	KG00100450	Respiratory insufficiency, NOS	0.038804229348897934
trial_2	cisplatin	261	KG00101559	raised alkaline phosphatase	0.03820998966693878
trial_2	cisplatin	61	KG00099501	Chronic Kidney Failure	0.03806418552994728
trial_2	cisplatin	155	KG00099960	Neutrophile	0.03800832852721214
trial_2	cisplatin	27	KG00099303	hyperkalaemia	0.035912156105041504
trial_2	cisplatin	85	KG00098474	coughs	0.03586818650364876
trial_2	cisplatin	96	KG00101679	Unattended death NOS	0.03482551872730255
trial_2	cisplatin	38	KG00098066	Binocular vision disorders	0.03480052947998047
trial_2	cisplatin	86	KG00098565	Depression, Mental	0.03456617519259453
trial_2	cisplatin	147	KG00098000	atelectases	0.034368474036455154
trial_2	cisplatin	36	KG00106434	Vision, Blurring Of	0.033737290650606155
trial_2	cisplatin	218	KG00100801	Tinnitus NOS	0.0324116088449955
trial_2	cisplatin	239	KG00100128	pareses	0.03127823397517204
trial_2	cisplatin	18	KG00098307	Pain, Chest	0.031225834041833878
trial_2	cisplatin	69	KG00100082	Palpitations NOS	0.03101896494626999
trial_2	cisplatin	104	KG00097963	arthralgias	0.030876396223902702
trial_2	cisplatin	361	KG00098004	Fibrillation, Atrial	0.03044865094125271
trial_2	cisplatin	5	KG00099169	haematuria	0.029997868463397026
trial_2	cisplatin	396	KG00100373	Embolism, Pulmonary	0.02961176633834839
trial_2	cisplatin	164	KG00108827	ileus colon	0.029416270554065704
trial_2	cisplatin	186	KG00101431	creatinine increased	0.029399847611784935
trial_2	cisplatin	132	KG00101045	Gain, Weight	0.029119355604052544
trial_2	cisplatin	282	KG00099309	hypernatraemia	0.0289959367364645
trial_2	cisplatin	347	KG00104223	Mucosal ulcers	0.02893269620835781
trial_2	cisplatin	191	KG00104055	Biliverdin increased	0.028662078082561493
trial_2	cisplatin	102	KG00097916	anxieties	0.028241897001862526
trial_2	cisplatin	355	KG00110857	lymphocyte count decreased	0.027661193162202835
trial_2	cisplatin	441	KG00098262	cellulitis nos	0.027436036616563797
trial_2	cisplatin	82	KG00097697	abdomen distended	0.026773443445563316
trial_2	cisplatin	4	KG00098817	epistaxis	0.026408154517412186
trial_2	cisplatin	257	KG00100922	Erythema NOS	0.02601015567779541
trial_2	cisplatin	503	KG00102612	low haemoglobin	0.025087203830480576
trial_2	cisplatin	195	KG00097814	Atopic Rhinitis	0.024830810725688934
trial_2	cisplatin	246	KG00103338	Aspartate Aminotransferase Measurement	0.024667561054229736
trial_2	cisplatin	89	KG00099301	Hyperhidrosis (disorder)	0.0246586836874485
trial_2	cisplatin	30	KG00099500	Acute Kidney Failure	0.024606427177786827
trial_2	cisplatin	204	KG00098849	Esophagitis, Peptic	0.02422306314110756
trial_2	cisplatin	75	KG00100195	Dolens, Phlegmasia Alba	0.024116873741149902
trial_2	cisplatin	181	KG00099943	Neuritis NOS	0.02357982099056244
trial_2	cisplatin	22	KG00098705	Edema (NOS)	0.02329455502331257
trial_2	cisplatin	213	KG00100600	Infectious Skin Diseases	0.02312992699444294
trial_2	cisplatin	269	KG00100399	pyaemia	0.02281234972178936
