trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1893981397151947
trial_1	placebo	123	KG00099351	hypokalaemia	0.10823602229356766
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10705717653036118
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0997806116938591
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09820521622896194
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.09542644768953323
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0951344445347786
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09404834359884262
trial_1	placebo	9	KG00098432	Confusion NOS	0.09277593344449997
trial_1	placebo	14	KG00097852	Anemia NOS	0.09176430851221085
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.09013821184635162
trial_1	placebo	21	KG00098675	dyspnoea	0.0896386206150055
trial_1	placebo	46	KG00099121	Headache NOS	0.08872908353805542
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08251967281103134
trial_1	placebo	20	KG00098540	dehydration	0.08065401017665863
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.07970993220806122
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07687205076217651
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0759686827659607
trial_1	placebo	228	KG00114657	Weight below normal	0.07546491920948029
trial_1	placebo	68	KG00099901	nauseas	0.07220987975597382
trial_1	placebo	114	KG00098933	fevers	0.06631743907928467
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06584440916776657
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.060569748282432556
trial_1	placebo	350	KG00106765	decreased platelet count	0.059480417519807816
trial_1	placebo	77	KG00098450	Constipation NOS	0.0591217540204525
trial_1	placebo	29	KG00099354	hyponatraemia	0.058660589158535004
trial_1	placebo	101	KG00097901	Anorexia NOS	0.05549861863255501
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.05531559884548187
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05128449574112892
