trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.10668350756168365
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.0971372202038765
trial_1	placebo	9	KG00098432	Confusion NOS	0.08095628023147583
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06460530310869217
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05626188963651657
trial_1	placebo	17	KG00097991	Asthenia NOS	0.056097377091646194
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.05562442168593407
trial_1	placebo	46	KG00099121	Headache NOS	0.054317399859428406
trial_1	placebo	123	KG00099351	hypokalaemia	0.04843352735042572
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04804350808262825
trial_1	placebo	21	KG00098675	dyspnoea	0.04613516852259636
trial_1	placebo	177	KG00099299	hyperglycaemia	0.04505990073084831
trial_1	placebo	20	KG00098540	dehydration	0.04401626065373421
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.039179109036922455
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.038805413991212845
trial_1	placebo	228	KG00114657	Weight below normal	0.0382949560880661
trial_1	placebo	77	KG00098450	Constipation NOS	0.03781910985708237
trial_1	placebo	126	KG00100076	Pain NOS	0.0362846776843071
trial_1	placebo	68	KG00099901	nauseas	0.03570406138896942
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.034456077963113785
trial_1	placebo	14	KG00097852	Anemia NOS	0.034389570355415344
trial_1	placebo	49	KG00099902	nausea with vomiting	0.033713508397340775
trial_1	placebo	114	KG00098933	fevers	0.03339064121246338
trial_1	placebo	29	KG00099354	hyponatraemia	0.03226098790764809
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03182591497898102
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.031662099063396454
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03133288025856018
trial_1	placebo	96	KG00101679	Unattended death NOS	0.030804598703980446
trial_1	placebo	85	KG00098474	coughs	0.029754696413874626
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02949448861181736
trial_1	placebo	180	KG00099363	Hypotension NOS	0.0269603468477726
trial_1	placebo	86	KG00098565	Depression, Mental	0.026869017630815506
trial_1	placebo	147	KG00098000	atelectases	0.026686737313866615
trial_1	placebo	269	KG00100399	pyaemia	0.026351027190685272
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.026089008897542953
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.025853509083390236
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.02578188106417656
trial_1	placebo	104	KG00097963	arthralgias	0.024318493902683258
trial_1	placebo	191	KG00104055	Biliverdin increased	0.02390185184776783
trial_1	placebo	350	KG00106765	decreased platelet count	0.023842068389058113
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.023714106529951096
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.023484516888856888
trial_1	placebo	239	KG00100128	pareses	0.022975802421569824
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.022804873064160347
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02250448614358902
trial_1	placebo	441	KG00098262	cellulitis nos	0.02189449779689312
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.021740199998021126
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02165275812149048
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02162386104464531
trial_1	placebo	18	KG00098307	Pain, Chest	0.02088981308043003
trial_1	placebo	27	KG00099303	hyperkalaemia	0.02049904130399227
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.020263543352484703
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02007586881518364
trial_1	placebo	121	KG00099190	haemorrhage	0.02007121592760086
trial_1	placebo	101	KG00097901	Anorexia NOS	0.019389493390917778
trial_1	placebo	136	KG00101582	Dry;skin	0.019307080656290054
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.01896892674267292
trial_1	placebo	211	KG00100341	Pruritus NOS	0.018528828397393227
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.018191300332546234
trial_1	placebo	102	KG00097916	anxieties	0.01815621368587017
trial_1	placebo	116	KG00098964	Pain in foot	0.01809583231806755
trial_1	placebo	179	KG00099342	hypocalcaemia	0.017922505736351013
trial_1	placebo	5	KG00099169	haematuria	0.017844902351498604
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.01761418953537941
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.017423413693904877
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.017109164968132973
trial_1	placebo	72	KG00103771	myalgias	0.01706865429878235
trial_1	placebo	132	KG00101045	Gain, Weight	0.016839876770973206
trial_1	placebo	234	KG00098669	dysgeusias	0.016432585194706917
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.016267461702227592
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.015833111479878426
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.015430846251547337
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.015367397107183933
trial_1	placebo	282	KG00099309	hypernatraemia	0.014931085519492626
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.014871010556817055
trial_1	placebo	262	KG00101199	agitation	0.014755645766854286
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.014753628522157669
trial_1	placebo	118	KG00099011	Gastritis NOS	0.014629637822508812
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.014625582844018936
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.014296414330601692
trial_1	placebo	466	KG00101205	fall	0.0141063891351223
trial_1	placebo	154	KG00099686	Lymphopenias	0.014016279019415379
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.013971086591482162
trial_1	placebo	11	KG00097993	Asthma NOS	0.01379986759275198
trial_1	placebo	286	KG00101110	Retention, Urinary	0.013786161318421364
trial_1	placebo	69	KG00100082	Palpitations NOS	0.013713693246245384
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.013597075827419758
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.013343855738639832
trial_1	placebo	186	KG00101431	creatinine increased	0.01328059658408165
trial_1	placebo	82	KG00097697	abdomen distended	0.013236510567367077
trial_1	placebo	508	KG00108565	blood glucose increased	0.013176736421883106
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.013145707547664642
trial_1	placebo	221	KG00101207	peripheral oedema	0.013019252568483353
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.012957627885043621
trial_1	placebo	242	KG00100855	tremors	0.01286231353878975
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.012849877588450909
trial_1	placebo	339	KG00100334	proteinurias	0.012694827280938625
trial_1	placebo	164	KG00108827	ileus colon	0.012478306889533997
trial_1	placebo	456	KG00099420	Influenzae	0.012322860769927502
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.012034607119858265
trial_2	clofazimine	87	KG00098599	diarrhoea	0.10668350756168365
trial_2	clofazimine	78	KG00099326	Hypertensive diseases	0.0971372202038765
trial_2	clofazimine	9	KG00098432	Confusion NOS	0.08095628023147583
trial_2	clofazimine	64	KG00097734	Acrodermatitis, NOS	0.06460530310869217
trial_2	clofazimine	189	KG00101580	Alanine aminotransferase increase	0.05626188963651657
trial_2	clofazimine	17	KG00097991	Asthenia NOS	0.056097377091646194
trial_2	clofazimine	173	KG00098172	Bronchopneumonia NOS	0.05562442168593407
trial_2	clofazimine	46	KG00099121	Headache NOS	0.054317399859428406
trial_2	clofazimine	123	KG00099351	hypokalaemia	0.04843352735042572
trial_2	clofazimine	188	KG00101579	Aspartate aminotransferase increase	0.04804350808262825
trial_2	clofazimine	21	KG00098675	dyspnoea	0.04613516852259636
trial_2	clofazimine	177	KG00099299	hyperglycaemia	0.04505990073084831
trial_2	clofazimine	20	KG00098540	dehydration	0.04401626065373421
trial_2	clofazimine	37	KG00097696	Cramps, Abdominal	0.039179109036922455
trial_2	clofazimine	151	KG00098274	Infarction, Cerebral	0.038805413991212845
trial_2	clofazimine	228	KG00114657	Weight below normal	0.0382949560880661
trial_2	clofazimine	77	KG00098450	Constipation NOS	0.03781910985708237
trial_2	clofazimine	126	KG00100076	Pain NOS	0.0362846776843071
trial_2	clofazimine	68	KG00099901	nauseas	0.03570406138896942
trial_2	clofazimine	67	KG00098673	Dyspepsia, NOS	0.034456077963113785
trial_2	clofazimine	14	KG00097852	Anemia NOS	0.034389570355415344
trial_2	clofazimine	49	KG00099902	nausea with vomiting	0.033713508397340775
trial_2	clofazimine	114	KG00098933	fevers	0.03339064121246338
trial_2	clofazimine	29	KG00099354	hyponatraemia	0.03226098790764809
trial_2	clofazimine	200	KG00098539	Disorders, Deglutition	0.03182591497898102
trial_2	clofazimine	79	KG00100317	Insomnia, Primary	0.031662099063396454
trial_2	clofazimine	61	KG00099501	Chronic Kidney Failure	0.03133288025856018
trial_2	clofazimine	96	KG00101679	Unattended death NOS	0.030804598703980446
trial_2	clofazimine	85	KG00098474	coughs	0.029754696413874626
trial_2	clofazimine	396	KG00100373	Embolism, Pulmonary	0.02949448861181736
trial_2	clofazimine	180	KG00099363	Hypotension NOS	0.0269603468477726
trial_2	clofazimine	86	KG00098565	Depression, Mental	0.026869017630815506
trial_2	clofazimine	147	KG00098000	atelectases	0.026686737313866615
trial_2	clofazimine	269	KG00100399	pyaemia	0.026351027190685272
trial_2	clofazimine	30	KG00099500	Acute Kidney Failure	0.026089008897542953
trial_2	clofazimine	76	KG00100450	Respiratory insufficiency, NOS	0.025853509083390236
trial_2	clofazimine	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.02578188106417656
