trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.07846646010875702
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07809999585151672
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07501347362995148
trial_1	placebo	21	KG00098675	dyspnoea	0.071845144033432
trial_1	placebo	46	KG00099121	Headache NOS	0.06652633100748062
trial_1	placebo	123	KG00099351	hypokalaemia	0.06447691470384598
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.06343705952167511
trial_1	placebo	17	KG00097991	Asthenia NOS	0.054930903017520905
trial_1	placebo	9	KG00098432	Confusion NOS	0.0535077303647995
trial_1	placebo	14	KG00097852	Anemia NOS	0.05244675278663635
trial_1	placebo	68	KG00099901	nauseas	0.05199948325753212
trial_1	placebo	126	KG00100076	Pain NOS	0.05072925239801407
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.04719313979148865
trial_1	placebo	20	KG00098540	dehydration	0.04674721136689186
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04631134867668152
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.045686595141887665
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04440674930810928
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04135637357831001
trial_1	placebo	77	KG00098450	Constipation NOS	0.03964150696992874
trial_1	placebo	114	KG00098933	fevers	0.03904319182038307
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03865867108106613
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.0380718857049942
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03592668101191521
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03519711270928383
trial_1	placebo	147	KG00098000	atelectases	0.03367573022842407
trial_1	placebo	121	KG00099190	haemorrhage	0.03314129635691643
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.032903145998716354
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03243590518832207
trial_1	placebo	228	KG00114657	Weight below normal	0.029860544949769974
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.02956748940050602
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02936421148478985
trial_1	placebo	180	KG00099363	Hypotension NOS	0.029187675565481186
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.028876803815364838
trial_1	placebo	86	KG00098565	Depression, Mental	0.028690621256828308
trial_1	placebo	29	KG00099354	hyponatraemia	0.028628822416067123
trial_1	placebo	28	KG00099347	hypoglycaemia	0.028018245473504066
trial_1	placebo	350	KG00106765	decreased platelet count	0.027231888845562935
trial_1	placebo	85	KG00098474	coughs	0.027067117393016815
trial_1	placebo	72	KG00103771	myalgias	0.025547193363308907
trial_1	placebo	101	KG00097901	Anorexia NOS	0.025441208854317665
trial_1	placebo	5	KG00099169	haematuria	0.02543441765010357
trial_1	placebo	104	KG00097963	arthralgias	0.0252714604139328
trial_1	placebo	179	KG00099342	hypocalcaemia	0.024610599502921104
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.024478795006871223
trial_1	placebo	441	KG00098262	cellulitis nos	0.023895263671875
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.023881247267127037
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.023735757917165756
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.02358977496623993
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.023342430591583252
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.022920746356248856
trial_1	placebo	269	KG00100399	pyaemia	0.02273436263203621
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.022517390549182892
trial_1	placebo	239	KG00100128	pareses	0.022393731400370598
trial_1	placebo	18	KG00098307	Pain, Chest	0.02214878797531128
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.021623725071549416
trial_1	placebo	211	KG00100341	Pruritus NOS	0.02143426053225994
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02135596238076687
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.0205254964530468
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02035599946975708
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.019934875890612602
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.019783059135079384
trial_1	placebo	234	KG00098669	dysgeusias	0.01954650692641735
trial_1	placebo	116	KG00098964	Pain in foot	0.019390828907489777
trial_1	placebo	27	KG00099303	hyperkalaemia	0.01938517764210701
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.019308388233184814
trial_1	placebo	466	KG00101205	fall	0.019256534054875374
trial_1	placebo	69	KG00100082	Palpitations NOS	0.019070951268076897
trial_1	placebo	282	KG00099309	hypernatraemia	0.018567238003015518
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.01811893843114376
trial_1	placebo	133	KG00101370	neuropathies sensory	0.01796376146376133
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.01781017705798149
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.01763712614774704
trial_1	placebo	100	KG00097815	alopecias	0.01730963960289955
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.01722712442278862
trial_1	placebo	262	KG00101199	agitation	0.016626529395580292
trial_1	placebo	154	KG00099686	Lymphopenias	0.01640487089753151
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.016391489654779434
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.016096575185656548
trial_1	placebo	4	KG00098817	epistaxis	0.015747683122754097
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.015574535354971886
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.015319662168622017
trial_1	placebo	82	KG00097697	abdomen distended	0.015266030095517635
trial_1	placebo	102	KG00097916	anxieties	0.015178268775343895
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.014693648554384708
trial_1	placebo	11	KG00097993	Asthma NOS	0.01457571517676115
trial_1	placebo	212	KG00100576	shivers	0.01457278337329626
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.01409058179706335
trial_1	placebo	503	KG00102612	low haemoglobin	0.014045754447579384
trial_1	placebo	22	KG00098705	Edema (NOS)	0.013992372900247574
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.013910441659390926
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.013733552768826485
