trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07683015614748001
trial_1	placebo	177	KG00099299	hyperglycaemia	0.05925458297133446
trial_1	placebo	87	KG00098599	diarrhoea	0.04771985858678818
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.04723208025097847
trial_1	placebo	20	KG00098540	dehydration	0.04608457162976265
trial_1	placebo	123	KG00099351	hypokalaemia	0.042707934975624084
trial_1	placebo	17	KG00097991	Asthenia NOS	0.04230154678225517
trial_1	placebo	77	KG00098450	Constipation NOS	0.03985583409667015
trial_1	placebo	21	KG00098675	dyspnoea	0.03973241150379181
trial_1	placebo	9	KG00098432	Confusion NOS	0.03828403353691101
trial_1	placebo	46	KG00099121	Headache NOS	0.03238217160105705
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03201872855424881
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.029814140871167183
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.029745331034064293
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.028714990243315697
trial_1	placebo	14	KG00097852	Anemia NOS	0.027467837557196617
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.02672882005572319
trial_1	placebo	29	KG00099354	hyponatraemia	0.02644522674381733
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02640932984650135
trial_1	placebo	85	KG00098474	coughs	0.02466725930571556
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.024640673771500587
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02433767355978489
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.02432321198284626
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.024169618263840675
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.023675115779042244
trial_1	placebo	86	KG00098565	Depression, Mental	0.02367001585662365
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.023156845942139626
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.02308299019932747
trial_1	placebo	126	KG00100076	Pain NOS	0.023020688444375992
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.022704612463712692
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.022586863487958908
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.022489389404654503
trial_1	placebo	49	KG00099902	nausea with vomiting	0.022431718185544014
trial_1	placebo	68	KG00099901	nauseas	0.02172519452869892
trial_1	placebo	114	KG00098933	fevers	0.02162814885377884
trial_1	placebo	147	KG00098000	atelectases	0.020456688478589058
trial_1	placebo	104	KG00097963	arthralgias	0.020405374467372894
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.01991300843656063
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.019279660657048225
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.018927061930298805
trial_1	placebo	5	KG00099169	haematuria	0.018239401280879974
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.01804669201374054
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.01782509870827198
trial_1	placebo	350	KG00106765	decreased platelet count	0.01779576949775219
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.01749405264854431
trial_1	placebo	239	KG00100128	pareses	0.01728551834821701
trial_1	placebo	269	KG00100399	pyaemia	0.016866613179445267
trial_1	placebo	27	KG00099303	hyperkalaemia	0.016661562025547028
trial_1	placebo	179	KG00099342	hypocalcaemia	0.016604525968432426
trial_1	placebo	121	KG00099190	haemorrhage	0.016550740227103233
trial_1	placebo	18	KG00098307	Pain, Chest	0.016125326976180077
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.015827063471078873
trial_1	placebo	228	KG00114657	Weight below normal	0.01574685424566269
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.01565331406891346
trial_1	placebo	441	KG00098262	cellulitis nos	0.015651434659957886
trial_1	placebo	132	KG00101045	Gain, Weight	0.015587663277983665
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.015445016324520111
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.015381285920739174
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.014804264530539513
trial_1	placebo	163	KG00104050	bowel obstructions small	0.01477785874158144
trial_1	placebo	286	KG00101110	Retention, Urinary	0.014741518534719944
trial_1	placebo	69	KG00100082	Palpitations NOS	0.014729976654052734
trial_1	placebo	164	KG00108827	ileus colon	0.014632966369390488
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.014614330604672432
trial_1	placebo	102	KG00097916	anxieties	0.014613760635256767
trial_1	placebo	262	KG00101199	agitation	0.014115962199866772
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.013992825523018837
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.013415897265076637
trial_1	placebo	116	KG00098964	Pain in foot	0.013238845393061638
trial_1	placebo	466	KG00101205	fall	0.01320791058242321
