trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	177	KG00099299	hyperglycaemia	0.17966541647911072
trial_1	placebo	123	KG00099351	hypokalaemia	0.14065955579280853
trial_1	placebo	87	KG00098599	diarrhoea	0.13699832558631897
trial_1	placebo	14	KG00097852	Anemia NOS	0.13322287797927856
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.12853512167930603
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.1259949803352356
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12430011481046677
trial_1	placebo	17	KG00097991	Asthenia NOS	0.10154973715543747
trial_1	placebo	20	KG00098540	dehydration	0.09888315945863724
trial_1	placebo	21	KG00098675	dyspnoea	0.09712300449609756
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08975953608751297
trial_1	placebo	68	KG00099901	nauseas	0.08687488734722137
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08405685424804688
trial_1	placebo	114	KG00098933	fevers	0.07648976147174835
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07467781752347946
trial_1	placebo	350	KG00106765	decreased platelet count	0.0712171345949173
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.06803596019744873
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.06603771448135376
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06519091129302979
trial_1	placebo	9	KG00098432	Confusion NOS	0.06496381759643555
trial_1	placebo	29	KG00099354	hyponatraemia	0.06327474117279053
trial_1	placebo	46	KG00099121	Headache NOS	0.06265660375356674
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.06085268780589104
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06083957850933075
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.059041913598775864
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05656322091817856
trial_1	placebo	77	KG00098450	Constipation NOS	0.05641382932662964
trial_1	placebo	85	KG00098474	coughs	0.056053273379802704
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05599426105618477
trial_1	placebo	228	KG00114657	Weight below normal	0.055817775428295135
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05452931672334671
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.05314099043607712
trial_1	placebo	179	KG00099342	hypocalcaemia	0.05247945338487625
trial_1	placebo	147	KG00098000	atelectases	0.052007440477609634
trial_1	placebo	180	KG00099363	Hypotension NOS	0.05152514576911926
trial_1	placebo	27	KG00099303	hyperkalaemia	0.051133960485458374
trial_1	placebo	269	KG00100399	pyaemia	0.04995843395590782
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0492442362010479
trial_1	placebo	126	KG00100076	Pain NOS	0.049027204513549805
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04888675734400749
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.048486605286598206
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.047019969671964645
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.04661836847662926
trial_1	placebo	5	KG00099169	haematuria	0.0456872396171093
trial_1	placebo	96	KG00101679	Unattended death NOS	0.045031122863292694
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.044812265783548355
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.043616876006126404
trial_1	placebo	72	KG00103771	myalgias	0.04214884713292122
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04009567201137543
trial_1	placebo	101	KG00097901	Anorexia NOS	0.039557479321956635
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03949975594878197
trial_1	placebo	86	KG00098565	Depression, Mental	0.039141640067100525
trial_1	placebo	104	KG00097963	arthralgias	0.037815168499946594
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03779029846191406
trial_1	placebo	186	KG00101431	creatinine increased	0.03753500059247017
trial_1	placebo	239	KG00100128	pareses	0.036378614604473114
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.03630800545215607
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03621264174580574
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.03569456562399864
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.03543753921985626
trial_1	placebo	154	KG00099686	Lymphopenias	0.03477080538868904
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.032983362674713135
trial_1	placebo	282	KG00099309	hypernatraemia	0.03269082307815552
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.032599952071905136
trial_1	placebo	288	KG00101223	hypophosphataemia	0.03208043798804283
trial_1	placebo	441	KG00098262	cellulitis nos	0.032061778008937836
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.031121456995606422
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.030705342069268227
trial_1	placebo	234	KG00098669	dysgeusias	0.030019018799066544
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.029749028384685516
trial_1	placebo	164	KG00108827	ileus colon	0.029705405235290527
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.02954525500535965
trial_1	placebo	69	KG00100082	Palpitations NOS	0.028684310615062714
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.028040381148457527
