trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.09988165646791458
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09857049584388733
trial_1	placebo	9	KG00098432	Confusion NOS	0.09585078805685043
trial_1	placebo	17	KG00097991	Asthenia NOS	0.09520304203033447
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08458397537469864
trial_1	placebo	46	KG00099121	Headache NOS	0.0772697702050209
trial_1	placebo	123	KG00099351	hypokalaemia	0.07643814384937286
trial_1	placebo	21	KG00098675	dyspnoea	0.07431920617818832
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07157722860574722
trial_1	placebo	126	KG00100076	Pain NOS	0.057586733251810074
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05751532316207886
trial_1	placebo	14	KG00097852	Anemia NOS	0.05621238052845001
trial_1	placebo	77	KG00098450	Constipation NOS	0.05335599556565285
trial_1	placebo	68	KG00099901	nauseas	0.05310961604118347
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.051954254508018494
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05187806859612465
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.051757749170064926
trial_1	placebo	20	KG00098540	dehydration	0.05114218592643738
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.05095059424638748
trial_1	placebo	104	KG00097963	arthralgias	0.04395714029669762
trial_1	placebo	114	KG00098933	fevers	0.04284348338842392
trial_1	placebo	121	KG00099190	haemorrhage	0.042102620005607605
trial_1	placebo	166	KG00099773	menopausal syndrome	0.04152505472302437
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04083886742591858
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.040292274206876755
trial_1	placebo	228	KG00114657	Weight below normal	0.04003977030515671
trial_1	placebo	29	KG00099354	hyponatraemia	0.04001210257411003
trial_1	placebo	85	KG00098474	coughs	0.03998127207159996
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03992209583520889
trial_1	placebo	350	KG00106765	decreased platelet count	0.03977089747786522
trial_1	placebo	86	KG00098565	Depression, Mental	0.03950907662510872
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03846409544348717
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03717527911067009
trial_1	placebo	96	KG00101679	Unattended death NOS	0.036555416882038116
trial_1	placebo	28	KG00099347	hypoglycaemia	0.035019587725400925
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03479446843266487
trial_1	placebo	72	KG00103771	myalgias	0.03414124622941017
trial_1	placebo	180	KG00099363	Hypotension NOS	0.033322207629680634
trial_1	placebo	239	KG00100128	pareses	0.03246206045150757
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03246178850531578
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03165633976459503
trial_1	placebo	179	KG00099342	hypocalcaemia	0.031223438680171967
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.029837148264050484
trial_1	placebo	18	KG00098307	Pain, Chest	0.029703503474593163
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.029256077483296394
trial_1	placebo	132	KG00101045	Gain, Weight	0.02910998836159706
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.02880142815411091
trial_1	placebo	133	KG00101370	neuropathies sensory	0.028324106708168983
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.027384869754314423
trial_1	placebo	5	KG00099169	haematuria	0.027102621272206306
trial_1	placebo	147	KG00098000	atelectases	0.027017246931791306
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0267835333943367
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.026700470596551895
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.026663541793823242
