trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.21637003123760223
trial_1	placebo	114	KG00098933	fevers	0.16263949871063232
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.15215830504894257
trial_1	placebo	77	KG00098450	Constipation NOS	0.14792683720588684
trial_1	placebo	68	KG00099901	nauseas	0.1418570578098297
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.13600727915763855
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.1359991580247879
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.13566172122955322
trial_1	placebo	123	KG00099351	hypokalaemia	0.13426537811756134
trial_1	placebo	46	KG00099121	Headache NOS	0.1330556422472
trial_1	placebo	49	KG00099902	nausea with vomiting	0.1327897608280182
trial_1	placebo	228	KG00114657	Weight below normal	0.12837623059749603
trial_1	placebo	9	KG00098432	Confusion NOS	0.11888821423053741
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.11816872656345367
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11673673242330551
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.11549335718154907
trial_1	placebo	21	KG00098675	dyspnoea	0.1154501736164093
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.11409900337457657
trial_1	placebo	126	KG00100076	Pain NOS	0.10815613716840744
trial_1	placebo	20	KG00098540	dehydration	0.1070096418261528
trial_1	placebo	14	KG00097852	Anemia NOS	0.10514837503433228
trial_1	placebo	101	KG00097901	Anorexia NOS	0.09905445575714111
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09807507693767548
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.09289970993995667
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.08426400274038315
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08254486322402954
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.07993653416633606
trial_1	placebo	85	KG00098474	coughs	0.07905104756355286
trial_1	placebo	350	KG00106765	decreased platelet count	0.07474105060100555
trial_1	placebo	239	KG00100128	pareses	0.07450307160615921
trial_1	placebo	466	KG00101205	fall	0.07230248302221298
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.07140694558620453
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.0709724873304367
trial_1	placebo	86	KG00098565	Depression, Mental	0.06802933663129807
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.06738270074129105
trial_1	placebo	104	KG00097963	arthralgias	0.06636440008878708
trial_1	placebo	116	KG00098964	Pain in foot	0.06622619181871414
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.06577982008457184
trial_1	placebo	18	KG00098307	Pain, Chest	0.06519599258899689
