trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	9	KG00098432	Confusion NOS	0.29386189579963684
trial_1	placebo	87	KG00098599	diarrhoea	0.29353463649749756
trial_1	placebo	68	KG00099901	nauseas	0.2591244578361511
trial_1	placebo	77	KG00098450	Constipation NOS	0.2484656274318695
trial_1	placebo	101	KG00097901	Anorexia NOS	0.22715911269187927
trial_1	placebo	17	KG00097991	Asthenia NOS	0.20748449862003326
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.16726285219192505
trial_1	placebo	49	KG00099902	nausea with vomiting	0.1630183905363083
trial_1	placebo	300	KG00101064	xerostomia	0.14269323647022247
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12830765545368195
trial_1	placebo	228	KG00114657	Weight below normal	0.12069286406040192
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.10690358281135559
trial_1	placebo	46	KG00099121	Headache NOS	0.09447092562913895
trial_1	placebo	20	KG00098540	dehydration	0.08914810419082642
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.0832308679819107
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08269944041967392
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.08251610398292542
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0813920721411705
trial_1	placebo	66	KG00098642	drowsiness	0.08043330162763596
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0801859050989151
trial_1	placebo	102	KG00097916	anxieties	0.07562118023633957
trial_1	placebo	123	KG00099351	hypokalaemia	0.07260391861200333
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07137571275234222
trial_1	placebo	21	KG00098675	dyspnoea	0.07109246402978897
trial_1	placebo	86	KG00098565	Depression, Mental	0.06811698526144028
trial_1	placebo	132	KG00101045	Gain, Weight	0.0657377690076828
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0638587698340416
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.062384430319070816
trial_1	placebo	239	KG00100128	pareses	0.058160919696092606
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05418846011161804
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05396074429154396
trial_1	placebo	114	KG00098933	fevers	0.051534783095121384
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04950139671564102
trial_1	placebo	104	KG00097963	arthralgias	0.049055472016334534
trial_1	placebo	242	KG00100855	tremors	0.04777729883790016
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.04721551761031151
