trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.06439091265201569
trial_1	placebo	177	KG00099299	hyperglycaemia	0.060162633657455444
trial_1	placebo	87	KG00098599	diarrhoea	0.05323686823248863
trial_1	placebo	9	KG00098432	Confusion NOS	0.04498833790421486
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.04393118619918823
trial_1	placebo	46	KG00099121	Headache NOS	0.04299572855234146
trial_1	placebo	21	KG00098675	dyspnoea	0.03984232246875763
trial_1	placebo	17	KG00097991	Asthenia NOS	0.03834165260195732
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03761766850948334
trial_1	placebo	123	KG00099351	hypokalaemia	0.03626730665564537
trial_1	placebo	14	KG00097852	Anemia NOS	0.03612179309129715
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03247201442718506
trial_1	placebo	77	KG00098450	Constipation NOS	0.03237414360046387
trial_1	placebo	20	KG00098540	dehydration	0.03190097585320473
trial_1	placebo	180	KG00099363	Hypotension NOS	0.030105696991086006
trial_1	placebo	68	KG00099901	nauseas	0.02835657261312008
trial_1	placebo	49	KG00099902	nausea with vomiting	0.027744127437472343
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.027704596519470215
trial_1	placebo	126	KG00100076	Pain NOS	0.026770053431391716
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.026678230613470078
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.02590693160891533
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.024571385234594345
trial_1	placebo	114	KG00098933	fevers	0.024502113461494446
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.024424534291028976
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.024112382903695107
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.023702526465058327
trial_1	placebo	29	KG00099354	hyponatraemia	0.022926144301891327
trial_1	placebo	147	KG00098000	atelectases	0.022226111963391304
trial_1	placebo	96	KG00101679	Unattended death NOS	0.022075209766626358
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02116001397371292
trial_1	placebo	350	KG00106765	decreased platelet count	0.020969267934560776
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.020909734070301056
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.020569102838635445
trial_1	placebo	5	KG00099169	haematuria	0.019956137984991074
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0191564429551363
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0190639179199934
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.018958525732159615
trial_1	placebo	27	KG00099303	hyperkalaemia	0.018757998943328857
trial_1	placebo	228	KG00114657	Weight below normal	0.01859208755195141
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.01859201304614544
trial_1	placebo	85	KG00098474	coughs	0.018295181915163994
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.018270550295710564
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.018189527094364166
trial_1	placebo	269	KG00100399	pyaemia	0.01794775202870369
trial_1	placebo	86	KG00098565	Depression, Mental	0.017770858481526375
trial_1	placebo	179	KG00099342	hypocalcaemia	0.01753644272685051
trial_1	placebo	239	KG00100128	pareses	0.016625313088297844
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.016598960384726524
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.016440989449620247
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.01636398956179619
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.01631927862763405
trial_1	placebo	104	KG00097963	arthralgias	0.016222478821873665
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.016114648431539536
trial_1	placebo	441	KG00098262	cellulitis nos	0.015938032418489456
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.015719061717391014
trial_1	placebo	69	KG00100082	Palpitations NOS	0.01554675679653883
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.01537317130714655
trial_1	placebo	72	KG00103771	myalgias	0.015007605776190758
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.01443408988416195
trial_1	placebo	18	KG00098307	Pain, Chest	0.01398227084428072
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.013903941959142685
trial_1	placebo	121	KG00099190	haemorrhage	0.013833204284310341
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.013822240754961967
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.013747523538768291
trial_1	placebo	116	KG00098964	Pain in foot	0.013600099831819534
trial_1	placebo	282	KG00099309	hypernatraemia	0.013412654399871826
trial_1	placebo	82	KG00097697	abdomen distended	0.0133733619004488
trial_1	placebo	102	KG00097916	anxieties	0.01324167475104332
trial_1	placebo	234	KG00098669	dysgeusias	0.012990503571927547
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.012905757874250412
trial_1	placebo	164	KG00108827	ileus colon	0.012761777266860008
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.012119250372052193
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.012117287144064903
trial_1	placebo	466	KG00101205	fall	0.011911963112652302
trial_1	placebo	101	KG00097901	Anorexia NOS	0.011902089230716228
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.011730213649570942
trial_1	placebo	221	KG00101207	peripheral oedema	0.011604022234678268
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.011528459377586842
trial_1	placebo	212	KG00100576	shivers	0.011321688070893288
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.011273251846432686
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.01124580204486847
trial_1	placebo	163	KG00104050	bowel obstructions small	0.011154970154166222
trial_1	placebo	211	KG00100341	Pruritus NOS	0.01113571971654892
trial_1	placebo	286	KG00101110	Retention, Urinary	0.011075131595134735
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.010763578116893768
trial_1	placebo	11	KG00097993	Asthma NOS	0.010627017356455326
trial_1	placebo	262	KG00101199	agitation	0.01061808131635189
trial_1	placebo	186	KG00101431	creatinine increased	0.010549318976700306
trial_1	placebo	166	KG00099773	menopausal syndrome	0.010472564958035946
trial_1	placebo	191	KG00104055	Biliverdin increased	0.010125625878572464
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.010118010453879833
trial_1	placebo	154	KG00099686	Lymphopenias	0.010082521475851536
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.0100809745490551
trial_1	placebo	494	KG00099838	Organ Failure, Multiple	0.009987439960241318
trial_1	placebo	202	KG00098630	Disturbance of Skin Sensation	0.009892410598695278
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.009795570746064186
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.009632701985538006
trial_1	placebo	454	KG00098286	Pain, Neck	0.009602430276572704
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.009595407173037529
trial_1	placebo	508	KG00108565	blood glucose increased	0.009532366879284382
trial_2	dexpanthenol	78	KG00099326	Hypertensive diseases	0.06439091265201569
trial_2	dexpanthenol	177	KG00099299	hyperglycaemia	0.060162633657455444
trial_2	dexpanthenol	87	KG00098599	diarrhoea	0.05323686823248863
trial_2	dexpanthenol	9	KG00098432	Confusion NOS	0.04498833790421486
trial_2	dexpanthenol	173	KG00098172	Bronchopneumonia NOS	0.04393118619918823
trial_2	dexpanthenol	46	KG00099121	Headache NOS	0.04299572855234146
trial_2	dexpanthenol	21	KG00098675	dyspnoea	0.03984232246875763
trial_2	dexpanthenol	17	KG00097991	Asthenia NOS	0.03834165260195732
trial_2	dexpanthenol	37	KG00097696	Cramps, Abdominal	0.03761766850948334
trial_2	dexpanthenol	123	KG00099351	hypokalaemia	0.03626730665564537
trial_2	dexpanthenol	14	KG00097852	Anemia NOS	0.03612179309129715
trial_2	dexpanthenol	2	KG00100772	thrombocytopaenia	0.03247201442718506
trial_2	dexpanthenol	77	KG00098450	Constipation NOS	0.03237414360046387
trial_2	dexpanthenol	20	KG00098540	dehydration	0.03190097585320473
trial_2	dexpanthenol	180	KG00099363	Hypotension NOS	0.030105696991086006
trial_2	dexpanthenol	68	KG00099901	nauseas	0.02835657261312008
trial_2	dexpanthenol	49	KG00099902	nausea with vomiting	0.027744127437472343
trial_2	dexpanthenol	61	KG00099501	Chronic Kidney Failure	0.027704596519470215
trial_2	dexpanthenol	126	KG00100076	Pain NOS	0.026770053431391716
trial_2	dexpanthenol	151	KG00098274	Infarction, Cerebral	0.026678230613470078
trial_2	dexpanthenol	200	KG00098539	Disorders, Deglutition	0.02590693160891533
trial_2	dexpanthenol	79	KG00100317	Insomnia, Primary	0.024571385234594345
trial_2	dexpanthenol	114	KG00098933	fevers	0.024502113461494446
trial_2	dexpanthenol	64	KG00097734	Acrodermatitis, NOS	0.024424534291028976
trial_2	dexpanthenol	67	KG00098673	Dyspepsia, NOS	0.024112382903695107
trial_2	dexpanthenol	76	KG00100450	Respiratory insufficiency, NOS	0.023702526465058327
trial_2	dexpanthenol	29	KG00099354	hyponatraemia	0.022926144301891327
trial_2	dexpanthenol	147	KG00098000	atelectases	0.022226111963391304
trial_2	dexpanthenol	96	KG00101679	Unattended death NOS	0.022075209766626358
trial_2	dexpanthenol	396	KG00100373	Embolism, Pulmonary	0.02116001397371292
trial_2	dexpanthenol	350	KG00106765	decreased platelet count	0.020969267934560776
trial_2	dexpanthenol	189	KG00101580	Alanine aminotransferase increase	0.020909734070301056
trial_2	dexpanthenol	30	KG00099500	Acute Kidney Failure	0.020569102838635445
trial_2	dexpanthenol	5	KG00099169	haematuria	0.019956137984991074
trial_2	dexpanthenol	28	KG00099347	hypoglycaemia	0.0191564429551363
trial_2	dexpanthenol	188	KG00101579	Aspartate aminotransferase increase	0.0190639179199934
trial_2	dexpanthenol	131	KG00100948	Urinary tract infection (& [NOS])	0.018958525732159615
trial_2	dexpanthenol	27	KG00099303	hyperkalaemia	0.018757998943328857
trial_2	dexpanthenol	228	KG00114657	Weight below normal	0.01859208755195141
trial_2	dexpanthenol	75	KG00100195	Dolens, Phlegmasia Alba	0.01859201304614544
trial_2	dexpanthenol	85	KG00098474	coughs	0.018295181915163994
trial_2	dexpanthenol	276	KG00099127	Arrest, Cardiac	0.018270550295710564
trial_2	dexpanthenol	122	KG00099321	Hypersensitivity NOS	0.018189527094364166
trial_2	dexpanthenol	269	KG00100399	pyaemia	0.01794775202870369
trial_2	dexpanthenol	86	KG00098565	Depression, Mental	0.017770858481526375
trial_2	dexpanthenol	179	KG00099342	hypocalcaemia	0.01753644272685051
trial_2	dexpanthenol	239	KG00100128	pareses	0.016625313088297844
trial_2	dexpanthenol	142	KG00100923	Unspecified infectious and parasitic diseases	0.016598960384726524
trial_2	dexpanthenol	243	KG00100947	Micturition frequency increased	0.016440989449620247
trial_2	dexpanthenol	1	KG00099959	Neutropenia NOS	0.01636398956179619
trial_2	dexpanthenol	38	KG00098066	Binocular vision disorders	0.01631927862763405
trial_2	dexpanthenol	104	KG00097963	arthralgias	0.016222478821873665
trial_2	dexpanthenol	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.016114648431539536
trial_2	dexpanthenol	441	KG00098262	cellulitis nos	0.015938032418489456
trial_2	dexpanthenol	144	KG00099610	Leukopenia NOS	0.015719061717391014
trial_2	dexpanthenol	69	KG00100082	Palpitations NOS	0.01554675679653883
trial_2	dexpanthenol	253	KG00100232	Pleural effusion NOS (disorder)	0.01537317130714655
trial_2	dexpanthenol	72	KG00103771	myalgias	0.015007605776190758
trial_2	dexpanthenol	31	KG00099872	Infarction, Myocardial	0.01443408988416195
trial_2	dexpanthenol	18	KG00098307	Pain, Chest	0.01398227084428072
trial_2	dexpanthenol	361	KG00098004	Fibrillation, Atrial	0.013903941959142685
trial_2	dexpanthenol	121	KG00099190	haemorrhage	0.013833204284310341
trial_2	dexpanthenol	249	KG00104430	hypoalbuminaemia	0.013822240754961967
trial_2	dexpanthenol	194	KG00110727	Neutrophil Count Decreased	0.013747523538768291
trial_2	dexpanthenol	116	KG00098964	Pain in foot	0.013600099831819534
trial_2	dexpanthenol	282	KG00099309	hypernatraemia	0.013412654399871826
trial_2	dexpanthenol	82	KG00097697	abdomen distended	0.0133733619004488
trial_2	dexpanthenol	102	KG00097916	anxieties	0.01324167475104332
trial_2	dexpanthenol	234	KG00098669	dysgeusias	0.012990503571927547
trial_2	dexpanthenol	92	KG00100926	Infections, Upper Respiratory	0.012905757874250412
trial_2	dexpanthenol	164	KG00108827	ileus colon	0.012761777266860008
trial_2	dexpanthenol	139	KG00098855	Sinusitis, Ethmoid	0.012119250372052193
trial_2	dexpanthenol	268	KG00099557	Heart Failure, Left-Sided	0.012117287144064903
trial_2	dexpanthenol	466	KG00101205	fall	0.011911963112652302
trial_2	dexpanthenol	101	KG00097901	Anorexia NOS	0.011902089230716228
trial_2	dexpanthenol	261	KG00101559	raised alkaline phosphatase	0.011730213649570942
trial_2	dexpanthenol	221	KG00101207	peripheral oedema	0.011604022234678268
trial_2	dexpanthenol	130	KG00100683	Stomatitis NOS	0.011528459377586842
trial_2	dexpanthenol	212	KG00100576	shivers	0.011321688070893288
trial_2	dexpanthenol	36	KG00106434	Vision, Blurring Of	0.011273251846432686
trial_2	dexpanthenol	35	KG00101507	hypomagnesaemia	0.01124580204486847
trial_2	dexpanthenol	163	KG00104050	bowel obstructions small	0.011154970154166222
trial_2	dexpanthenol	211	KG00100341	Pruritus NOS	0.01113571971654892
trial_2	dexpanthenol	286	KG00101110	Retention, Urinary	0.011075131595134735
trial_2	dexpanthenol	355	KG00110857	lymphocyte count decreased	0.010763578116893768
trial_2	dexpanthenol	11	KG00097993	Asthma NOS	0.010627017356455326
trial_2	dexpanthenol	262	KG00101199	agitation	0.01061808131635189
trial_2	dexpanthenol	186	KG00101431	creatinine increased	0.010549318976700306
trial_2	dexpanthenol	166	KG00099773	menopausal syndrome	0.010472564958035946
trial_2	dexpanthenol	191	KG00104055	Biliverdin increased	0.010125625878572464
trial_2	dexpanthenol	170	KG00108926	Neutropenia, Febrile	0.010118010453879833
trial_2	dexpanthenol	154	KG00099686	Lymphopenias	0.010082521475851536
trial_2	dexpanthenol	15	KG00097882	Angina pectoris NOS	0.0100809745490551
trial_2	dexpanthenol	494	KG00099838	Organ Failure, Multiple	0.009987439960241318
trial_2	dexpanthenol	202	KG00098630	Disturbance of Skin Sensation	0.009892410598695278
trial_2	dexpanthenol	204	KG00098849	Esophagitis, Peptic	0.009795570746064186
trial_2	dexpanthenol	199	KG00098371	Rhinitis (chronic) NOS	0.009632701985538006
trial_2	dexpanthenol	454	KG00098286	Pain, Neck	0.009602430276572704
trial_2	dexpanthenol	254	KG00100774	Thrombosis NOS	0.009595407173037529
trial_2	dexpanthenol	508	KG00108565	blood glucose increased	0.009532366879284382
