trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1193530485033989
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09821326285600662
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07169301807880402
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07112634181976318
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07005515694618225
trial_1	placebo	123	KG00099351	hypokalaemia	0.06478700041770935
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06451752781867981
trial_1	placebo	21	KG00098675	dyspnoea	0.0643400028347969
trial_1	placebo	46	KG00099121	Headache NOS	0.06313680112361908
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06127315014600754
trial_1	placebo	9	KG00098432	Confusion NOS	0.06127001345157623
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0602705255150795
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0555877648293972
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05506199225783348
trial_1	placebo	20	KG00098540	dehydration	0.052764974534511566
trial_1	placebo	228	KG00114657	Weight below normal	0.04996673762798309
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04534574970602989
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04447760432958603
trial_1	placebo	77	KG00098450	Constipation NOS	0.04394520819187164
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04334573447704315
trial_1	placebo	49	KG00099902	nausea with vomiting	0.042654432356357574
trial_1	placebo	14	KG00097852	Anemia NOS	0.04180269315838814
trial_1	placebo	114	KG00098933	fevers	0.041642870754003525
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.041142258793115616
trial_1	placebo	68	KG00099901	nauseas	0.040314316749572754
trial_1	placebo	85	KG00098474	coughs	0.040088992565870285
trial_1	placebo	350	KG00106765	decreased platelet count	0.039196498692035675
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03804126754403114
trial_1	placebo	126	KG00100076	Pain NOS	0.036448195576667786
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03629967197775841
trial_1	placebo	86	KG00098565	Depression, Mental	0.03548434004187584
trial_1	placebo	29	KG00099354	hyponatraemia	0.032620541751384735
trial_1	placebo	104	KG00097963	arthralgias	0.03257658705115318
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.031074678525328636
trial_1	placebo	72	KG00103771	myalgias	0.030938928946852684
trial_1	placebo	147	KG00098000	atelectases	0.02991238422691822
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.029576856642961502
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.029430661350488663
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.029058020561933517
trial_1	placebo	101	KG00097901	Anorexia NOS	0.02868586592376232
trial_1	placebo	239	KG00100128	pareses	0.028545264154672623
trial_1	placebo	5	KG00099169	haematuria	0.028447464108467102
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.028184551745653152
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.028025751933455467
