trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.16864758729934692
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1213424876332283
trial_1	placebo	87	KG00098599	diarrhoea	0.12131862342357635
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10967685282230377
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.10657019168138504
trial_1	placebo	9	KG00098432	Confusion NOS	0.10580591857433319
trial_1	placebo	68	KG00099901	nauseas	0.10359028726816177
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09612218290567398
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09346349537372589
trial_1	placebo	46	KG00099121	Headache NOS	0.0911283940076828
trial_1	placebo	21	KG00098675	dyspnoea	0.08734139800071716
trial_1	placebo	20	KG00098540	dehydration	0.08071734011173248
trial_1	placebo	77	KG00098450	Constipation NOS	0.07988275587558746
trial_1	placebo	123	KG00099351	hypokalaemia	0.0775660052895546
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07658912241458893
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07042600959539413
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06751488894224167
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06446438282728195
trial_1	placebo	86	KG00098565	Depression, Mental	0.06344174593687057
trial_1	placebo	14	KG00097852	Anemia NOS	0.060901012271642685
trial_1	placebo	350	KG00106765	decreased platelet count	0.05863875523209572
trial_1	placebo	114	KG00098933	fevers	0.05776268243789673
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.056865330785512924
trial_1	placebo	228	KG00114657	Weight below normal	0.05616441369056702
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.054863091558218
trial_1	placebo	126	KG00100076	Pain NOS	0.05455104261636734
trial_1	placebo	104	KG00097963	arthralgias	0.054476313292980194
trial_1	placebo	239	KG00100128	pareses	0.052959829568862915
trial_1	placebo	132	KG00101045	Gain, Weight	0.052819494158029556
trial_1	placebo	29	KG00099354	hyponatraemia	0.052139535546302795
