trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08228910714387894
trial_1	placebo	87	KG00098599	diarrhoea	0.07136838138103485
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06806033104658127
trial_1	placebo	123	KG00099351	hypokalaemia	0.05689587816596031
trial_1	placebo	20	KG00098540	dehydration	0.054509617388248444
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.05176213011145592
trial_1	placebo	9	KG00098432	Confusion NOS	0.0441117100417614
trial_1	placebo	21	KG00098675	dyspnoea	0.04327882453799248
trial_1	placebo	46	KG00099121	Headache NOS	0.04299117624759674
trial_1	placebo	17	KG00097991	Asthenia NOS	0.04033483564853668
trial_1	placebo	29	KG00099354	hyponatraemia	0.036417387425899506
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.03528232127428055
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.035023391246795654
trial_1	placebo	14	KG00097852	Anemia NOS	0.03492317721247673
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03339329734444618
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03309163823723793
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03295476734638214
trial_1	placebo	180	KG00099363	Hypotension NOS	0.0323801264166832
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.030431605875492096
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03009985201060772
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.029864050447940826
trial_1	placebo	96	KG00101679	Unattended death NOS	0.029771529138088226
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.02958858199417591
trial_1	placebo	85	KG00098474	coughs	0.028063086792826653
trial_1	placebo	126	KG00100076	Pain NOS	0.02796521596610546
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.02787494659423828
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.025875771418213844
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.025137484073638916
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.023735808208584785
trial_1	placebo	147	KG00098000	atelectases	0.023590045049786568
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.02301100641489029
trial_1	placebo	77	KG00098450	Constipation NOS	0.022828953340649605
trial_1	placebo	121	KG00099190	haemorrhage	0.022429214790463448
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.02238595113158226
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02236333116889
trial_1	placebo	86	KG00098565	Depression, Mental	0.022108225151896477
trial_1	placebo	27	KG00099303	hyperkalaemia	0.02208579145371914
trial_1	placebo	350	KG00106765	decreased platelet count	0.02150096371769905
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02147592231631279
trial_1	placebo	104	KG00097963	arthralgias	0.021458687260746956
trial_1	placebo	114	KG00098933	fevers	0.021153831854462624
trial_1	placebo	269	KG00100399	pyaemia	0.0209434162825346
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.020827598869800568
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02037077583372593
trial_1	placebo	239	KG00100128	pareses	0.020163988694548607
trial_1	placebo	228	KG00114657	Weight below normal	0.02010703645646572
trial_1	placebo	179	KG00099342	hypocalcaemia	0.019905829802155495
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.019250255078077316
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.01880202442407608
trial_1	placebo	49	KG00099902	nausea with vomiting	0.018788324669003487
trial_1	placebo	441	KG00098262	cellulitis nos	0.018368275836110115
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.018351834267377853
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.018007004633545876
trial_1	placebo	5	KG00099169	haematuria	0.0178892333060503
trial_1	placebo	18	KG00098307	Pain, Chest	0.017719177529215813
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.01762544736266136
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.01741054467856884
trial_1	placebo	132	KG00101045	Gain, Weight	0.01662653684616089
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.016553301364183426
trial_1	placebo	116	KG00098964	Pain in foot	0.015383820980787277
trial_1	placebo	268	KG00099557	Heart Failure, Left-Sided	0.015307648107409477
trial_1	placebo	282	KG00099309	hypernatraemia	0.015041181817650795
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.014904802665114403
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.014704691246151924
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.014558465220034122
trial_1	placebo	221	KG00101207	peripheral oedema	0.014209776185452938
