trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.16854748129844666
trial_1	placebo	9	KG00098432	Confusion NOS	0.1158270463347435
trial_1	placebo	123	KG00099351	hypokalaemia	0.11376887559890747
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11234050244092941
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.10999222099781036
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.09108571708202362
trial_1	placebo	77	KG00098450	Constipation NOS	0.08661797642707825
trial_1	placebo	21	KG00098675	dyspnoea	0.08254283666610718
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08120138943195343
trial_1	placebo	68	KG00099901	nauseas	0.07811368256807327
trial_1	placebo	20	KG00098540	dehydration	0.07396623492240906
trial_1	placebo	46	KG00099121	Headache NOS	0.07351204752922058
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.07087332755327225
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06997207552194595
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06848755478858948
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06696408241987228
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.0621095709502697
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.056884221732616425
trial_1	placebo	350	KG00106765	decreased platelet count	0.05547403544187546
trial_1	placebo	228	KG00114657	Weight below normal	0.05483143776655197
trial_1	placebo	29	KG00099354	hyponatraemia	0.05427708849310875
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05353662744164467
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05103505402803421
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.050237011164426804
trial_1	placebo	85	KG00098474	coughs	0.04811185598373413
trial_1	placebo	114	KG00098933	fevers	0.047816090285778046
trial_1	placebo	126	KG00100076	Pain NOS	0.047060444951057434
trial_1	placebo	14	KG00097852	Anemia NOS	0.04567502439022064
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04496019706130028
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04395277798175812
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04331115633249283
trial_1	placebo	104	KG00097963	arthralgias	0.042101044207811356
trial_1	placebo	72	KG00103771	myalgias	0.041484374552965164
trial_1	placebo	180	KG00099363	Hypotension NOS	0.041289087384939194
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.04100918024778366
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.039591409265995026
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03905694559216499
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03872191533446312
trial_1	placebo	239	KG00100128	pareses	0.03870075196027756
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03864332661032677
trial_1	placebo	18	KG00098307	Pain, Chest	0.03774011507630348
trial_1	placebo	121	KG00099190	haemorrhage	0.03704017773270607
trial_1	placebo	86	KG00098565	Depression, Mental	0.03545133024454117
trial_1	placebo	5	KG00099169	haematuria	0.034580595791339874
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.03446708992123604
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03332485631108284
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.033316951245069504
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.03244536370038986
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.031945597380399704
trial_1	placebo	300	KG00101064	xerostomia	0.030773630365729332
trial_1	placebo	69	KG00100082	Palpitations NOS	0.030728887766599655
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02939116768538952
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.029246453195810318
trial_1	placebo	27	KG00099303	hyperkalaemia	0.028874224051833153
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.028794841840863228
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02822762541472912
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.02812802791595459
trial_1	placebo	286	KG00101110	Retention, Urinary	0.027746642008423805
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02745453454554081
trial_1	placebo	147	KG00098000	atelectases	0.02727273851633072
trial_1	placebo	186	KG00101431	creatinine increased	0.027160843834280968
trial_1	placebo	102	KG00097916	anxieties	0.02657071314752102
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02651517279446125
trial_1	placebo	132	KG00101045	Gain, Weight	0.0265109334141016
trial_1	placebo	269	KG00100399	pyaemia	0.026293106377124786
trial_1	placebo	164	KG00108827	ileus colon	0.02619372308254242
trial_1	placebo	82	KG00097697	abdomen distended	0.025908490642905235
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.025378646329045296
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.02528383769094944
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.02477218769490719
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.02415517158806324
trial_1	placebo	133	KG00101370	neuropathies sensory	0.02370828203856945
trial_1	placebo	234	KG00098669	dysgeusias	0.023698322474956512
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02363440953195095
trial_1	placebo	242	KG00100855	tremors	0.02361195720732212
trial_1	placebo	136	KG00101582	Dry;skin	0.023565202951431274
