trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.11579330265522003
trial_1	placebo	87	KG00098599	diarrhoea	0.09435408562421799
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08778434991836548
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07329986989498138
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07245835661888123
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06432289630174637
trial_1	placebo	9	KG00098432	Confusion NOS	0.06189531832933426
trial_1	placebo	20	KG00098540	dehydration	0.06058051437139511
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05768141523003578
trial_1	placebo	123	KG00099351	hypokalaemia	0.05511663481593132
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05486191436648369
trial_1	placebo	86	KG00098565	Depression, Mental	0.05303999036550522
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.052600614726543427
trial_1	placebo	228	KG00114657	Weight below normal	0.050058331340551376
trial_1	placebo	21	KG00098675	dyspnoea	0.04860204830765724
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.047262582927942276
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.04686479642987251
trial_1	placebo	46	KG00099121	Headache NOS	0.046708013862371445
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.044288963079452515
trial_1	placebo	132	KG00101045	Gain, Weight	0.04260004311800003
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04151379317045212
trial_1	placebo	77	KG00098450	Constipation NOS	0.04125664010643959
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.04111959785223007
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03979770094156265
trial_1	placebo	126	KG00100076	Pain NOS	0.03904132544994354
trial_1	placebo	72	KG00103771	myalgias	0.037117283791303635
trial_1	placebo	14	KG00097852	Anemia NOS	0.03634608909487724
trial_1	placebo	350	KG00106765	decreased platelet count	0.035529255867004395
trial_1	placebo	166	KG00099773	menopausal syndrome	0.035512421280145645
