trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	123	KG00099351	hypokalaemia	0.10414664447307587
trial_1	placebo	87	KG00098599	diarrhoea	0.09437426179647446
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07933554798364639
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07851042598485947
trial_1	placebo	9	KG00098432	Confusion NOS	0.07632450759410858
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.07520203292369843
trial_1	placebo	21	KG00098675	dyspnoea	0.07012524455785751
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.06634557992219925
trial_1	placebo	14	KG00097852	Anemia NOS	0.06523168087005615
trial_1	placebo	20	KG00098540	dehydration	0.0621720626950264
trial_1	placebo	46	KG00099121	Headache NOS	0.06088173761963844
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05620606243610382
trial_1	placebo	17	KG00097991	Asthenia NOS	0.05544302612543106
trial_1	placebo	29	KG00099354	hyponatraemia	0.05537167564034462
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05323335900902748
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.05000235512852669
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04953037574887276
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.048696085810661316
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04185352846980095
trial_1	placebo	269	KG00100399	pyaemia	0.04157962277531624
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.040751863270998
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.04035431891679764
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03997532278299332
trial_1	placebo	126	KG00100076	Pain NOS	0.039736565202474594
trial_1	placebo	85	KG00098474	coughs	0.03815441578626633
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03803006932139397
trial_1	placebo	147	KG00098000	atelectases	0.03779282048344612
trial_1	placebo	114	KG00098933	fevers	0.03550819307565689
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03531452640891075
trial_1	placebo	228	KG00114657	Weight below normal	0.034646473824977875
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.034181930124759674
trial_1	placebo	104	KG00097963	arthralgias	0.03400424122810364
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03390321135520935
trial_1	placebo	350	KG00106765	decreased platelet count	0.0331290103495121
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.0328628234565258
trial_1	placebo	68	KG00099901	nauseas	0.03260166943073273
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.03193238750100136
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03168965503573418
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03161131590604782
trial_1	placebo	28	KG00099347	hypoglycaemia	0.031249627470970154
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.030370401218533516
trial_1	placebo	191	KG00104055	Biliverdin increased	0.029750455170869827
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.029467562213540077
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.029133372008800507
trial_1	placebo	441	KG00098262	cellulitis nos	0.02828928269445896
trial_1	placebo	121	KG00099190	haemorrhage	0.027477014809846878
trial_1	placebo	179	KG00099342	hypocalcaemia	0.027084175497293472
trial_1	placebo	211	KG00100341	Pruritus NOS	0.026914063841104507
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.026439886540174484
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02631620690226555
trial_1	placebo	77	KG00098450	Constipation NOS	0.026196738705039024
trial_1	placebo	136	KG00101582	Dry;skin	0.025993425399065018
