trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.3240926265716553
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.23168005049228668
trial_1	placebo	123	KG00099351	hypokalaemia	0.1993897557258606
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.1855762004852295
trial_1	placebo	68	KG00099901	nauseas	0.17628538608551025
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.16880612075328827
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.16739796102046967
trial_1	placebo	17	KG00097991	Asthenia NOS	0.16315722465515137
trial_1	placebo	20	KG00098540	dehydration	0.1596645563840866
trial_1	placebo	49	KG00099902	nausea with vomiting	0.15047793090343475
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.14226609468460083
trial_1	placebo	9	KG00098432	Confusion NOS	0.13583068549633026
trial_1	placebo	46	KG00099121	Headache NOS	0.13525885343551636
trial_1	placebo	21	KG00098675	dyspnoea	0.1338130235671997
trial_1	placebo	228	KG00114657	Weight below normal	0.1326322853565216
trial_1	placebo	101	KG00097901	Anorexia NOS	0.129668191075325
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.1288597285747528
trial_1	placebo	77	KG00098450	Constipation NOS	0.12856876850128174
trial_1	placebo	177	KG00099299	hyperglycaemia	0.1254771649837494
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.10558042675256729
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.1014024168252945
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.0937429815530777
trial_1	placebo	350	KG00106765	decreased platelet count	0.09154678136110306
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.08849930018186569
trial_1	placebo	29	KG00099354	hyponatraemia	0.08668390661478043
trial_1	placebo	14	KG00097852	Anemia NOS	0.0850832387804985
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.08333522081375122
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07834958285093307
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.07660575211048126
trial_1	placebo	239	KG00100128	pareses	0.07571713626384735
trial_1	placebo	126	KG00100076	Pain NOS	0.07399621605873108
trial_1	placebo	104	KG00097963	arthralgias	0.0737694576382637
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.07307487726211548
trial_1	placebo	191	KG00104055	Biliverdin increased	0.07214357703924179
trial_1	placebo	82	KG00097697	abdomen distended	0.06810945272445679
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.06755347549915314
trial_1	placebo	5	KG00099169	haematuria	0.06573447585105896
trial_1	placebo	72	KG00103771	myalgias	0.06421561539173126
trial_1	placebo	179	KG00099342	hypocalcaemia	0.0635141059756279
trial_1	placebo	114	KG00098933	fevers	0.06235094368457794
trial_1	placebo	85	KG00098474	coughs	0.06090636923909187
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.06069299578666687
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.06052536144852638
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.05792924016714096
trial_1	placebo	18	KG00098307	Pain, Chest	0.05743193253874779
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.05735430866479874
trial_1	placebo	27	KG00099303	hyperkalaemia	0.0567350909113884
trial_1	placebo	116	KG00098964	Pain in foot	0.0562259703874588
trial_1	placebo	136	KG00101582	Dry;skin	0.055802639573812485
trial_1	placebo	147	KG00098000	atelectases	0.055719044059515
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05548034608364105
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05359813943505287
trial_1	placebo	257	KG00100922	Erythema NOS	0.05328020080924034
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.05315361171960831
trial_1	placebo	234	KG00098669	dysgeusias	0.05304626375436783
