trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.18452036380767822
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.14259040355682373
trial_1	placebo	123	KG00099351	hypokalaemia	0.11463569104671478
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10345876216888428
trial_1	placebo	9	KG00098432	Confusion NOS	0.1023164689540863
trial_1	placebo	20	KG00098540	dehydration	0.0949416309595108
trial_1	placebo	17	KG00097991	Asthenia NOS	0.09005383402109146
trial_1	placebo	46	KG00099121	Headache NOS	0.08512414246797562
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.08314555138349533
trial_1	placebo	21	KG00098675	dyspnoea	0.07294587045907974
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07009183615446091
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06975013017654419
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06755669414997101
trial_1	placebo	29	KG00099354	hyponatraemia	0.06398986279964447
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06370063126087189
trial_1	placebo	14	KG00097852	Anemia NOS	0.06341152638196945
trial_1	placebo	180	KG00099363	Hypotension NOS	0.06160392984747887
trial_1	placebo	350	KG00106765	decreased platelet count	0.061591003090143204
trial_1	placebo	68	KG00099901	nauseas	0.06148942559957504
trial_1	placebo	121	KG00099190	haemorrhage	0.06087290868163109
trial_1	placebo	228	KG00114657	Weight below normal	0.06037990376353264
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.057577311992645264
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.055106911808252335
trial_1	placebo	126	KG00100076	Pain NOS	0.054560586810112
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.05390738695859909
trial_1	placebo	77	KG00098450	Constipation NOS	0.05375891551375389
trial_1	placebo	179	KG00099342	hypocalcaemia	0.051391955465078354
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04957449436187744
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0472431555390358
trial_1	placebo	100	KG00097815	alopecias	0.04677739366889
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04664332792162895
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04577110707759857
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.04527954384684563
trial_1	placebo	133	KG00101370	neuropathies sensory	0.04524334892630577
trial_1	placebo	114	KG00098933	fevers	0.04457107186317444
trial_1	placebo	96	KG00101679	Unattended death NOS	0.0444958470761776
trial_1	placebo	72	KG00103771	myalgias	0.044275108724832535
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04418276622891426
trial_1	placebo	27	KG00099303	hyperkalaemia	0.04396842420101166
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04340284317731857
trial_1	placebo	85	KG00098474	coughs	0.04335081949830055
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.040958598256111145
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04025033488869667
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03993546962738037
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03985431790351868
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03887627273797989
trial_1	placebo	234	KG00098669	dysgeusias	0.03771436586976051
trial_1	placebo	104	KG00097963	arthralgias	0.03598010540008545
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03562716767191887
trial_1	placebo	147	KG00098000	atelectases	0.034835584461688995
trial_1	placebo	239	KG00100128	pareses	0.03386683017015457
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.033128008246421814
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.03288988023996353
trial_1	placebo	86	KG00098565	Depression, Mental	0.0319119468331337
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.03180030360817909
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.03081839717924595
trial_1	placebo	154	KG00099686	Lymphopenias	0.030755842104554176
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.03036927431821823
trial_1	placebo	18	KG00098307	Pain, Chest	0.030119650065898895
trial_1	placebo	288	KG00101223	hypophosphataemia	0.03008906915783882
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.029048148542642593
trial_1	placebo	155	KG00099960	Neutrophile	0.02867968939244747
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.028668705374002457
trial_1	placebo	269	KG00100399	pyaemia	0.028338996693491936
trial_1	placebo	164	KG00108827	ileus colon	0.027677170932292938
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.027482954785227776
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.027335699647665024
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.027075011283159256
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.026979800313711166
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.026832809671759605
trial_1	placebo	282	KG00099309	hypernatraemia	0.02680405229330063
trial_1	placebo	191	KG00104055	Biliverdin increased	0.026742789894342422
trial_1	placebo	5	KG00099169	haematuria	0.026630736887454987
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02640100196003914
trial_1	placebo	136	KG00101582	Dry;skin	0.02611379697918892
trial_1	placebo	186	KG00101431	creatinine increased	0.025655683130025864
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.025057045742869377
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.02497950755059719
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02398155815899372
trial_1	placebo	82	KG00097697	abdomen distended	0.023924613371491432
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.023783190175890923
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.023613929748535156
trial_1	placebo	22	KG00098705	Edema (NOS)	0.022999046370387077
trial_1	placebo	248	KG00103361	measurement of creatinine	0.022812630981206894
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.022624170407652855
trial_1	placebo	286	KG00101110	Retention, Urinary	0.022384578362107277
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.021907422691583633
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02155267260968685
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.021197937428951263
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.021020928397774696
trial_1	placebo	441	KG00098262	cellulitis nos	0.020949507132172585
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.02085673250257969
trial_1	placebo	174	KG00098731	Embolism NOS	0.02075367048382759
trial_1	placebo	212	KG00100576	shivers	0.020376158878207207
trial_1	placebo	347	KG00104223	Mucosal ulcers	0.020016027614474297
trial_1	placebo	255	KG00099909	Necrotic debris, NOS	0.01992204785346985
trial_1	placebo	257	KG00100922	Erythema NOS	0.019706986844539642
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.019698359072208405
trial_1	placebo	102	KG00097916	anxieties	0.019392235204577446
trial_1	placebo	69	KG00100082	Palpitations NOS	0.019105954095721245
trial_2	etacrynic acid	87	KG00098599	diarrhoea	0.18452036380767822
trial_2	etacrynic acid	78	KG00099326	Hypertensive diseases	0.14259040355682373
trial_2	etacrynic acid	123	KG00099351	hypokalaemia	0.11463569104671478
trial_2	etacrynic acid	177	KG00099299	hyperglycaemia	0.10345876216888428
trial_2	etacrynic acid	9	KG00098432	Confusion NOS	0.1023164689540863
trial_2	etacrynic acid	20	KG00098540	dehydration	0.0949416309595108
trial_2	etacrynic acid	17	KG00097991	Asthenia NOS	0.09005383402109146
trial_2	etacrynic acid	46	KG00099121	Headache NOS	0.08512414246797562
trial_2	etacrynic acid	67	KG00098673	Dyspepsia, NOS	0.08314555138349533
trial_2	etacrynic acid	21	KG00098675	dyspnoea	0.07294587045907974
trial_2	etacrynic acid	37	KG00097696	Cramps, Abdominal	0.07009183615446091
trial_2	etacrynic acid	173	KG00098172	Bronchopneumonia NOS	0.06975013017654419
trial_2	etacrynic acid	64	KG00097734	Acrodermatitis, NOS	0.06755669414997101
trial_2	etacrynic acid	29	KG00099354	hyponatraemia	0.06398986279964447
trial_2	etacrynic acid	200	KG00098539	Disorders, Deglutition	0.06370063126087189
trial_2	etacrynic acid	14	KG00097852	Anemia NOS	0.06341152638196945
trial_2	etacrynic acid	180	KG00099363	Hypotension NOS	0.06160392984747887
trial_2	etacrynic acid	350	KG00106765	decreased platelet count	0.061591003090143204
trial_2	etacrynic acid	68	KG00099901	nauseas	0.06148942559957504
trial_2	etacrynic acid	121	KG00099190	haemorrhage	0.06087290868163109
trial_2	etacrynic acid	228	KG00114657	Weight below normal	0.06037990376353264
trial_2	etacrynic acid	189	KG00101580	Alanine aminotransferase increase	0.057577311992645264
trial_2	etacrynic acid	2	KG00100772	thrombocytopaenia	0.055106911808252335
trial_2	etacrynic acid	126	KG00100076	Pain NOS	0.054560586810112
trial_2	etacrynic acid	142	KG00100923	Unspecified infectious and parasitic diseases	0.05390738695859909
trial_2	etacrynic acid	77	KG00098450	Constipation NOS	0.05375891551375389
trial_2	etacrynic acid	179	KG00099342	hypocalcaemia	0.051391955465078354
trial_2	etacrynic acid	49	KG00099902	nausea with vomiting	0.04957449436187744
trial_2	etacrynic acid	188	KG00101579	Aspartate aminotransferase increase	0.0472431555390358
trial_2	etacrynic acid	100	KG00097815	alopecias	0.04677739366889
trial_2	etacrynic acid	79	KG00100317	Insomnia, Primary	0.04664332792162895
trial_2	etacrynic acid	151	KG00098274	Infarction, Cerebral	0.04577110707759857
trial_2	etacrynic acid	249	KG00104430	hypoalbuminaemia	0.04527954384684563
trial_2	etacrynic acid	133	KG00101370	neuropathies sensory	0.04524334892630577
trial_2	etacrynic acid	114	KG00098933	fevers	0.04457107186317444
trial_2	etacrynic acid	96	KG00101679	Unattended death NOS	0.0444958470761776
trial_2	etacrynic acid	72	KG00103771	myalgias	0.044275108724832535
trial_2	etacrynic acid	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04418276622891426
trial_2	etacrynic acid	27	KG00099303	hyperkalaemia	0.04396842420101166
trial_2	etacrynic acid	243	KG00100947	Micturition frequency increased	0.04340284317731857
trial_2	etacrynic acid	85	KG00098474	coughs	0.04335081949830055
trial_2	etacrynic acid	194	KG00110727	Neutrophil Count Decreased	0.040958598256111145
trial_2	etacrynic acid	101	KG00097901	Anorexia NOS	0.04025033488869667
trial_2	etacrynic acid	61	KG00099501	Chronic Kidney Failure	0.03993546962738037
trial_2	etacrynic acid	122	KG00099321	Hypersensitivity NOS	0.03985431790351868
trial_2	etacrynic acid	76	KG00100450	Respiratory insufficiency, NOS	0.03887627273797989
trial_2	etacrynic acid	234	KG00098669	dysgeusias	0.03771436586976051
trial_2	etacrynic acid	104	KG00097963	arthralgias	0.03598010540008545
trial_2	etacrynic acid	28	KG00099347	hypoglycaemia	0.03562716767191887
trial_2	etacrynic acid	147	KG00098000	atelectases	0.034835584461688995
trial_2	etacrynic acid	239	KG00100128	pareses	0.03386683017015457
trial_2	etacrynic acid	361	KG00098004	Fibrillation, Atrial	0.033128008246421814
trial_2	etacrynic acid	170	KG00108926	Neutropenia, Febrile	0.03288988023996353
trial_2	etacrynic acid	86	KG00098565	Depression, Mental	0.0319119468331337
trial_2	etacrynic acid	35	KG00101507	hypomagnesaemia	0.03180030360817909
trial_2	etacrynic acid	31	KG00099872	Infarction, Myocardial	0.03081839717924595
trial_2	etacrynic acid	154	KG00099686	Lymphopenias	0.030755842104554176
trial_2	etacrynic acid	246	KG00103338	Aspartate Aminotransferase Measurement	0.03036927431821823
trial_2	etacrynic acid	18	KG00098307	Pain, Chest	0.030119650065898895
trial_2	etacrynic acid	288	KG00101223	hypophosphataemia	0.03008906915783882
trial_2	etacrynic acid	144	KG00099610	Leukopenia NOS	0.029048148542642593
trial_2	etacrynic acid	155	KG00099960	Neutrophile	0.02867968939244747
trial_2	etacrynic acid	1	KG00099959	Neutropenia NOS	0.028668705374002457
trial_2	etacrynic acid	269	KG00100399	pyaemia	0.028338996693491936
trial_2	etacrynic acid	164	KG00108827	ileus colon	0.027677170932292938
trial_2	etacrynic acid	276	KG00099127	Arrest, Cardiac	0.027482954785227776
trial_2	etacrynic acid	38	KG00098066	Binocular vision disorders	0.027335699647665024
trial_2	etacrynic acid	30	KG00099500	Acute Kidney Failure	0.027075011283159256
trial_2	etacrynic acid	261	KG00101559	raised alkaline phosphatase	0.026979800313711166
trial_2	etacrynic acid	355	KG00110857	lymphocyte count decreased	0.026832809671759605
trial_2	etacrynic acid	282	KG00099309	hypernatraemia	0.02680405229330063
trial_2	etacrynic acid	191	KG00104055	Biliverdin increased	0.026742789894342422
trial_2	etacrynic acid	5	KG00099169	haematuria	0.026630736887454987
trial_2	etacrynic acid	130	KG00100683	Stomatitis NOS	0.02640100196003914
trial_2	etacrynic acid	136	KG00101582	Dry;skin	0.02611379697918892
trial_2	etacrynic acid	186	KG00101431	creatinine increased	0.025655683130025864
trial_2	etacrynic acid	253	KG00100232	Pleural effusion NOS (disorder)	0.025057045742869377
trial_2	etacrynic acid	254	KG00100774	Thrombosis NOS	0.02497950755059719
trial_2	etacrynic acid	131	KG00100948	Urinary tract infection (& [NOS])	0.02398155815899372
trial_2	etacrynic acid	82	KG00097697	abdomen distended	0.023924613371491432
trial_2	etacrynic acid	396	KG00100373	Embolism, Pulmonary	0.023783190175890923
trial_2	etacrynic acid	15	KG00097882	Angina pectoris NOS	0.023613929748535156
trial_2	etacrynic acid	22	KG00098705	Edema (NOS)	0.022999046370387077
trial_2	etacrynic acid	248	KG00103361	measurement of creatinine	0.022812630981206894
trial_2	etacrynic acid	139	KG00098855	Sinusitis, Ethmoid	0.022624170407652855
trial_2	etacrynic acid	286	KG00101110	Retention, Urinary	0.022384578362107277
trial_2	etacrynic acid	356	KG00112623	Infectious Lung Disorders	0.021907422691583633
trial_2	etacrynic acid	36	KG00106434	Vision, Blurring Of	0.02155267260968685
trial_2	etacrynic acid	213	KG00100600	Infectious Skin Diseases	0.021197937428951263
trial_2	etacrynic acid	75	KG00100195	Dolens, Phlegmasia Alba	0.021020928397774696
trial_2	etacrynic acid	441	KG00098262	cellulitis nos	0.020949507132172585
trial_2	etacrynic acid	33	KG00100094	Pancreatitis NOS	0.02085673250257969
trial_2	etacrynic acid	174	KG00098731	Embolism NOS	0.02075367048382759
trial_2	etacrynic acid	212	KG00100576	shivers	0.020376158878207207
trial_2	etacrynic acid	347	KG00104223	Mucosal ulcers	0.020016027614474297
trial_2	etacrynic acid	255	KG00099909	Necrotic debris, NOS	0.01992204785346985
trial_2	etacrynic acid	257	KG00100922	Erythema NOS	0.019706986844539642
trial_2	etacrynic acid	204	KG00098849	Esophagitis, Peptic	0.019698359072208405
trial_2	etacrynic acid	102	KG00097916	anxieties	0.019392235204577446
trial_2	etacrynic acid	69	KG00100082	Palpitations NOS	0.019105954095721245
