trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.17473143339157104
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.11988980323076248
trial_1	placebo	9	KG00098432	Confusion NOS	0.09711313992738724
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08894764631986618
trial_1	placebo	123	KG00099351	hypokalaemia	0.08677627146244049
trial_1	placebo	21	KG00098675	dyspnoea	0.0814586728811264
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07556506991386414
trial_1	placebo	17	KG00097991	Asthenia NOS	0.0749967023730278
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07134938985109329
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07114819437265396
trial_1	placebo	77	KG00098450	Constipation NOS	0.06702721863985062
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06500960141420364
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06270408630371094
trial_1	placebo	46	KG00099121	Headache NOS	0.0598631426692009
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.058607179671525955
trial_1	placebo	68	KG00099901	nauseas	0.05679113790392876
trial_1	placebo	20	KG00098540	dehydration	0.05666220933198929
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0525808148086071
trial_1	placebo	126	KG00100076	Pain NOS	0.052324458956718445
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04626808688044548
trial_1	placebo	228	KG00114657	Weight below normal	0.04573231190443039
trial_1	placebo	104	KG00097963	arthralgias	0.043434351682662964
trial_1	placebo	101	KG00097901	Anorexia NOS	0.042348138988018036
trial_1	placebo	14	KG00097852	Anemia NOS	0.041164349764585495
trial_1	placebo	5	KG00099169	haematuria	0.040106650441884995
trial_1	placebo	114	KG00098933	fevers	0.03979051485657692
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03921298682689667
trial_1	placebo	350	KG00106765	decreased platelet count	0.038872405886650085
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03798365592956543
trial_1	placebo	29	KG00099354	hyponatraemia	0.037674982100725174
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03751387074589729
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.036904338747262955
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.036891695111989975
trial_1	placebo	85	KG00098474	coughs	0.03611074388027191
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03537287935614586
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03529984503984451
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03452087566256523
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03280722722411156
trial_1	placebo	239	KG00100128	pareses	0.031911078840494156
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.031720418483018875
trial_1	placebo	147	KG00098000	atelectases	0.03162611275911331
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03008722886443138
trial_1	placebo	86	KG00098565	Depression, Mental	0.02990785241127014
trial_1	placebo	211	KG00100341	Pruritus NOS	0.029765484854578972
trial_1	placebo	18	KG00098307	Pain, Chest	0.029284007847309113
trial_1	placebo	121	KG00099190	haemorrhage	0.028947828337550163
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.028857752680778503
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02810533531010151
trial_1	placebo	179	KG00099342	hypocalcaemia	0.027108216658234596
trial_1	placebo	82	KG00097697	abdomen distended	0.027070043608546257
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02658429741859436
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02635267749428749
trial_1	placebo	28	KG00099347	hypoglycaemia	0.02534666657447815
trial_1	placebo	72	KG00103771	myalgias	0.024930346757173538
trial_1	placebo	69	KG00100082	Palpitations NOS	0.024902723729610443
trial_1	placebo	116	KG00098964	Pain in foot	0.024830682203173637
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.024434998631477356
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.024350998923182487
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.02417990006506443
trial_1	placebo	257	KG00100922	Erythema NOS	0.02413102798163891
trial_1	placebo	186	KG00101431	creatinine increased	0.024051696062088013
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.023050108924508095
trial_1	placebo	102	KG00097916	anxieties	0.022807540372014046
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.022788871079683304
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.022749120369553566
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.02233000658452511
trial_1	placebo	441	KG00098262	cellulitis nos	0.02202668972313404
trial_1	placebo	269	KG00100399	pyaemia	0.021873528137803078
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.021531369537115097
trial_1	placebo	136	KG00101582	Dry;skin	0.021492430940270424
trial_1	placebo	339	KG00100334	proteinurias	0.02141856774687767
trial_1	placebo	234	KG00098669	dysgeusias	0.021311013028025627
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.021122578531503677
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.021113215014338493
trial_1	placebo	27	KG00099303	hyperkalaemia	0.02105068787932396
trial_1	placebo	4	KG00098817	epistaxis	0.020865334197878838
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02025476284325123
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.020038023591041565
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.01979326643049717
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.019769616425037384
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.01969858445227146
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.019621290266513824
trial_1	placebo	466	KG00101205	fall	0.019602105021476746
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.01946515589952469
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.01930069364607334
