trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.2052265852689743
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.16841085255146027
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.16621768474578857
trial_1	placebo	9	KG00098432	Confusion NOS	0.1261824667453766
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.12258726358413696
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.11114201694726944
trial_1	placebo	21	KG00098675	dyspnoea	0.09985510259866714
trial_1	placebo	123	KG00099351	hypokalaemia	0.09649627655744553
trial_1	placebo	20	KG00098540	dehydration	0.094838447868824
trial_1	placebo	17	KG00097991	Asthenia NOS	0.09386551380157471
trial_1	placebo	46	KG00099121	Headache NOS	0.08727943897247314
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.08706321567296982
trial_1	placebo	49	KG00099902	nausea with vomiting	0.07049675285816193
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07036176323890686
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06570760160684586
trial_1	placebo	68	KG00099901	nauseas	0.0647091493010521
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06428411602973938
trial_1	placebo	86	KG00098565	Depression, Mental	0.06374817341566086
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06271647661924362
trial_1	placebo	126	KG00100076	Pain NOS	0.06137523427605629
trial_1	placebo	228	KG00114657	Weight below normal	0.061364058405160904
trial_1	placebo	104	KG00097963	arthralgias	0.059670258313417435
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.05841875448822975
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05803642421960831
trial_1	placebo	85	KG00098474	coughs	0.05735927075147629
trial_1	placebo	211	KG00100341	Pruritus NOS	0.05575064197182655
trial_1	placebo	114	KG00098933	fevers	0.05129626393318176
trial_1	placebo	77	KG00098450	Constipation NOS	0.05122721940279007
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.050610702484846115
trial_1	placebo	14	KG00097852	Anemia NOS	0.05039173737168312
trial_1	placebo	29	KG00099354	hyponatraemia	0.049391575157642365
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.049157969653606415
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04875674471259117
trial_1	placebo	116	KG00098964	Pain in foot	0.048417139798402786
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04763643816113472
trial_1	placebo	191	KG00104055	Biliverdin increased	0.046301692724227905
trial_1	placebo	239	KG00100128	pareses	0.043620575219392776
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04245404526591301
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.04210576415061951
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04089174419641495
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.040565237402915955
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.040104061365127563
trial_1	placebo	350	KG00106765	decreased platelet count	0.03946349024772644
trial_1	placebo	136	KG00101582	Dry;skin	0.03900656849145889
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.038162972778081894
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03788869082927704
trial_1	placebo	441	KG00098262	cellulitis nos	0.03740924596786499
trial_1	placebo	96	KG00101679	Unattended death NOS	0.036619555205106735
trial_1	placebo	11	KG00097993	Asthma NOS	0.03579949587583542
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03551826253533363
trial_1	placebo	18	KG00098307	Pain, Chest	0.035502441227436066
trial_1	placebo	5	KG00099169	haematuria	0.03390490263700485
trial_1	placebo	147	KG00098000	atelectases	0.03355516120791435
trial_1	placebo	454	KG00098286	Pain, Neck	0.03342168778181076
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03321033716201782
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.032328441739082336
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0323115810751915
trial_1	placebo	456	KG00099420	Influenzae	0.032074686139822006
trial_1	placebo	466	KG00101205	fall	0.031997743993997574
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.031183185055851936
trial_1	placebo	72	KG00103771	myalgias	0.030989453196525574
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.030514659360051155
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.030360855162143707
trial_1	placebo	82	KG00097697	abdomen distended	0.030353430658578873
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.02934538945555687
trial_1	placebo	186	KG00101431	creatinine increased	0.028508327901363373
