trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.4230813682079315
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.3476293683052063
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.34480521082878113
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.30219927430152893
trial_1	placebo	123	KG00099351	hypokalaemia	0.2870577275753021
trial_1	placebo	177	KG00099299	hyperglycaemia	0.28623825311660767
trial_1	placebo	17	KG00097991	Asthenia NOS	0.27224332094192505
trial_1	placebo	20	KG00098540	dehydration	0.2510712146759033
trial_1	placebo	228	KG00114657	Weight below normal	0.24251185357570648
trial_1	placebo	21	KG00098675	dyspnoea	0.22438165545463562
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.2238922417163849
trial_1	placebo	14	KG00097852	Anemia NOS	0.20183943212032318
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.19615697860717773
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.17261254787445068
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.16964098811149597
trial_1	placebo	9	KG00098432	Confusion NOS	0.1618768572807312
trial_1	placebo	85	KG00098474	coughs	0.1596217155456543
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.15759660303592682
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.15682564675807953
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.15110470354557037
trial_1	placebo	114	KG00098933	fevers	0.14769482612609863
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.14110782742500305
trial_1	placebo	49	KG00099902	nausea with vomiting	0.12692734599113464
trial_1	placebo	46	KG00099121	Headache NOS	0.12397056072950363
trial_1	placebo	136	KG00101582	Dry;skin	0.1213739737868309
trial_1	placebo	5	KG00099169	haematuria	0.1211508959531784
trial_1	placebo	29	KG00099354	hyponatraemia	0.12108469009399414
trial_1	placebo	86	KG00098565	Depression, Mental	0.11917465925216675
trial_1	placebo	68	KG00099901	nauseas	0.11437543481588364
trial_1	placebo	4	KG00098817	epistaxis	0.11366914212703705
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.11207299679517746
trial_1	placebo	104	KG00097963	arthralgias	0.11185920238494873
trial_1	placebo	288	KG00101223	hypophosphataemia	0.11072561144828796
trial_1	placebo	186	KG00101431	creatinine increased	0.10967604070901871
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.10946396738290787
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.1088193878531456
trial_1	placebo	28	KG00099347	hypoglycaemia	0.1084827333688736
trial_1	placebo	147	KG00098000	atelectases	0.1075175404548645
trial_1	placebo	126	KG00100076	Pain NOS	0.10397661477327347
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.10358448326587677
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.10295887291431427
trial_1	placebo	101	KG00097901	Anorexia NOS	0.10170086473226547
trial_1	placebo	211	KG00100341	Pruritus NOS	0.09922822564840317
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.09898295998573303
trial_1	placebo	350	KG00106765	decreased platelet count	0.09503224492073059
trial_1	placebo	77	KG00098450	Constipation NOS	0.09195531159639359
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.08966648578643799
trial_1	placebo	27	KG00099303	hyperkalaemia	0.08653827756643295
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.086066335439682
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.08571234345436096
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.08562294393777847
trial_1	placebo	234	KG00098669	dysgeusias	0.08459167927503586
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.0837123692035675
trial_1	placebo	239	KG00100128	pareses	0.08282692730426788
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.08259709179401398
trial_1	placebo	179	KG00099342	hypocalcaemia	0.08182555437088013
trial_1	placebo	269	KG00100399	pyaemia	0.0816953182220459
trial_1	placebo	339	KG00100334	proteinurias	0.08043240010738373
trial_1	placebo	96	KG00101679	Unattended death NOS	0.07970863580703735
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.07945255190134048
trial_1	placebo	191	KG00104055	Biliverdin increased	0.07753737270832062
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.07748033106327057
trial_1	placebo	221	KG00101207	peripheral oedema	0.07481968402862549
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.07458443939685822
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.07319832593202591
trial_1	placebo	180	KG00099363	Hypotension NOS	0.07288340479135513
trial_1	placebo	18	KG00098307	Pain, Chest	0.07180184870958328
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0712461918592453
trial_1	placebo	212	KG00100576	shivers	0.06973433494567871
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.06971704214811325
trial_1	placebo	72	KG00103771	myalgias	0.06956687569618225
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.06822642683982849
trial_1	placebo	99	KG00097728	acne; vulgaris	0.06753574311733246
trial_1	placebo	178	KG00099307	Type IV Hyperlipoproteinemia	0.06650902330875397
