trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.14585427939891815
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.12514592707157135
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11976490914821625
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11558058857917786
trial_1	placebo	9	KG00098432	Confusion NOS	0.10336810350418091
trial_1	placebo	123	KG00099351	hypokalaemia	0.09312095493078232
trial_1	placebo	68	KG00099901	nauseas	0.08901508152484894
trial_1	placebo	20	KG00098540	dehydration	0.08799097687005997
trial_1	placebo	46	KG00099121	Headache NOS	0.08586541563272476
trial_1	placebo	21	KG00098675	dyspnoea	0.07880362123250961
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0729604959487915
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07263336330652237
trial_1	placebo	77	KG00098450	Constipation NOS	0.0700257420539856
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06954603642225266
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06691846251487732
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.0637575164437294
trial_1	placebo	14	KG00097852	Anemia NOS	0.06230456754565239
trial_1	placebo	228	KG00114657	Weight below normal	0.058438193053007126
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.05618993565440178
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05320313572883606
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.051670681685209274
trial_1	placebo	180	KG00099363	Hypotension NOS	0.05143501237034798
trial_1	placebo	126	KG00100076	Pain NOS	0.05033373460173607
trial_1	placebo	350	KG00106765	decreased platelet count	0.05004148185253143
trial_1	placebo	29	KG00099354	hyponatraemia	0.049925096333026886
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.046860139816999435
trial_1	placebo	85	KG00098474	coughs	0.04595831409096718
trial_1	placebo	114	KG00098933	fevers	0.045541368424892426
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.045239683240652084
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04497816786170006
trial_1	placebo	104	KG00097963	arthralgias	0.04373281076550484
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04365814849734306
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04323384165763855
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04272426664829254
trial_1	placebo	28	KG00099347	hypoglycaemia	0.040311239659786224
trial_1	placebo	239	KG00100128	pareses	0.04010676592588425
trial_1	placebo	86	KG00098565	Depression, Mental	0.04008790850639343
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.040068984031677246
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03985702991485596
trial_1	placebo	27	KG00099303	hyperkalaemia	0.038449034094810486
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03802216798067093
trial_1	placebo	5	KG00099169	haematuria	0.037540119141340256
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.036958687007427216
trial_1	placebo	147	KG00098000	atelectases	0.03650380298495293
trial_1	placebo	96	KG00101679	Unattended death NOS	0.035408638417720795
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.034530360251665115
trial_1	placebo	72	KG00103771	myalgias	0.03448598086833954
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03371572867035866
trial_1	placebo	164	KG00108827	ileus colon	0.033066634088754654
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03242412209510803
trial_1	placebo	18	KG00098307	Pain, Chest	0.03199930861592293
trial_1	placebo	102	KG00097916	anxieties	0.031677599996328354
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.03000798635184765
trial_1	placebo	121	KG00099190	haemorrhage	0.029831627383828163
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.029551437124609947
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02938735857605934
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.029317868873476982
trial_1	placebo	282	KG00099309	hypernatraemia	0.029116176068782806
trial_1	placebo	69	KG00100082	Palpitations NOS	0.028925009071826935
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.028258666396141052
trial_1	placebo	82	KG00097697	abdomen distended	0.02777155116200447
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02763606235384941
trial_1	placebo	269	KG00100399	pyaemia	0.027356820181012154
trial_1	placebo	116	KG00098964	Pain in foot	0.027328280732035637
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02717975713312626
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.026933154091238976
trial_1	placebo	166	KG00099773	menopausal syndrome	0.026186497882008553
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.025877220556139946
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.025833839550614357
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.02567618153989315
trial_1	placebo	262	KG00101199	agitation	0.025548730045557022
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.024934323504567146
trial_1	placebo	286	KG00101110	Retention, Urinary	0.0244886614382267
trial_1	placebo	211	KG00100341	Pruritus NOS	0.024306973442435265
trial_1	placebo	234	KG00098669	dysgeusias	0.023940972983837128
trial_1	placebo	186	KG00101431	creatinine increased	0.02271871082484722
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.022706642746925354
trial_1	placebo	288	KG00101223	hypophosphataemia	0.022626901045441628
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.022273918613791466
trial_1	placebo	191	KG00104055	Biliverdin increased	0.022245263680815697
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.022189214825630188
trial_1	placebo	441	KG00098262	cellulitis nos	0.02198985032737255
trial_1	placebo	132	KG00101045	Gain, Weight	0.021970713511109352
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.021790724247694016
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.021646419540047646
trial_1	placebo	154	KG00099686	Lymphopenias	0.0214008167386055
trial_1	placebo	163	KG00104050	bowel obstructions small	0.021021679043769836
trial_1	placebo	508	KG00108565	blood glucose increased	0.021007956936955452
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.020804401487112045
trial_1	placebo	22	KG00098705	Edema (NOS)	0.02052742801606655
trial_1	placebo	133	KG00101370	neuropathies sensory	0.02035589888691902
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.020288201048970222
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02018374763429165
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.020183291286230087
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.020146995782852173
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.019892564043402672
trial_1	placebo	466	KG00101205	fall	0.019835714250802994
trial_1	placebo	100	KG00097815	alopecias	0.019822824746370316
trial_1	placebo	153	KG00099579	lethargy	0.0192091166973114
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.01908254623413086
trial_2	fenspiride	87	KG00098599	diarrhoea	0.14585427939891815
trial_2	fenspiride	78	KG00099326	Hypertensive diseases	0.12514592707157135
trial_2	fenspiride	177	KG00099299	hyperglycaemia	0.11976490914821625
trial_2	fenspiride	17	KG00097991	Asthenia NOS	0.11558058857917786
trial_2	fenspiride	9	KG00098432	Confusion NOS	0.10336810350418091
trial_2	fenspiride	123	KG00099351	hypokalaemia	0.09312095493078232
trial_2	fenspiride	68	KG00099901	nauseas	0.08901508152484894
trial_2	fenspiride	20	KG00098540	dehydration	0.08799097687005997
trial_2	fenspiride	46	KG00099121	Headache NOS	0.08586541563272476
trial_2	fenspiride	21	KG00098675	dyspnoea	0.07880362123250961
trial_2	fenspiride	173	KG00098172	Bronchopneumonia NOS	0.0729604959487915
trial_2	fenspiride	79	KG00100317	Insomnia, Primary	0.07263336330652237
trial_2	fenspiride	77	KG00098450	Constipation NOS	0.0700257420539856
trial_2	fenspiride	49	KG00099902	nausea with vomiting	0.06954603642225266
trial_2	fenspiride	37	KG00097696	Cramps, Abdominal	0.06691846251487732
trial_2	fenspiride	200	KG00098539	Disorders, Deglutition	0.0637575164437294
trial_2	fenspiride	14	KG00097852	Anemia NOS	0.06230456754565239
trial_2	fenspiride	228	KG00114657	Weight below normal	0.058438193053007126
trial_2	fenspiride	64	KG00097734	Acrodermatitis, NOS	0.05618993565440178
trial_2	fenspiride	67	KG00098673	Dyspepsia, NOS	0.05320313572883606
trial_2	fenspiride	189	KG00101580	Alanine aminotransferase increase	0.051670681685209274
trial_2	fenspiride	180	KG00099363	Hypotension NOS	0.05143501237034798
trial_2	fenspiride	126	KG00100076	Pain NOS	0.05033373460173607
trial_2	fenspiride	350	KG00106765	decreased platelet count	0.05004148185253143
trial_2	fenspiride	29	KG00099354	hyponatraemia	0.049925096333026886
trial_2	fenspiride	243	KG00100947	Micturition frequency increased	0.046860139816999435
trial_2	fenspiride	85	KG00098474	coughs	0.04595831409096718
trial_2	fenspiride	114	KG00098933	fevers	0.045541368424892426
trial_2	fenspiride	76	KG00100450	Respiratory insufficiency, NOS	0.045239683240652084
trial_2	fenspiride	2	KG00100772	thrombocytopaenia	0.04497816786170006
trial_2	fenspiride	104	KG00097963	arthralgias	0.04373281076550484
trial_2	fenspiride	188	KG00101579	Aspartate aminotransferase increase	0.04365814849734306
trial_2	fenspiride	61	KG00099501	Chronic Kidney Failure	0.04323384165763855
trial_2	fenspiride	101	KG00097901	Anorexia NOS	0.04272426664829254
trial_2	fenspiride	28	KG00099347	hypoglycaemia	0.040311239659786224
trial_2	fenspiride	239	KG00100128	pareses	0.04010676592588425
trial_2	fenspiride	86	KG00098565	Depression, Mental	0.04008790850639343
trial_2	fenspiride	151	KG00098274	Infarction, Cerebral	0.040068984031677246
trial_2	fenspiride	179	KG00099342	hypocalcaemia	0.03985702991485596
trial_2	fenspiride	27	KG00099303	hyperkalaemia	0.038449034094810486
trial_2	fenspiride	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03802216798067093
trial_2	fenspiride	5	KG00099169	haematuria	0.037540119141340256
trial_2	fenspiride	122	KG00099321	Hypersensitivity NOS	0.036958687007427216
trial_2	fenspiride	147	KG00098000	atelectases	0.03650380298495293
trial_2	fenspiride	96	KG00101679	Unattended death NOS	0.035408638417720795
trial_2	fenspiride	276	KG00099127	Arrest, Cardiac	0.034530360251665115
trial_2	fenspiride	72	KG00103771	myalgias	0.03448598086833954
trial_2	fenspiride	396	KG00100373	Embolism, Pulmonary	0.03371572867035866
trial_2	fenspiride	164	KG00108827	ileus colon	0.033066634088754654
trial_2	fenspiride	30	KG00099500	Acute Kidney Failure	0.03242412209510803
trial_2	fenspiride	18	KG00098307	Pain, Chest	0.03199930861592293
trial_2	fenspiride	102	KG00097916	anxieties	0.031677599996328354
trial_2	fenspiride	142	KG00100923	Unspecified infectious and parasitic diseases	0.03000798635184765
trial_2	fenspiride	121	KG00099190	haemorrhage	0.029831627383828163
trial_2	fenspiride	131	KG00100948	Urinary tract infection (& [NOS])	0.029551437124609947
trial_2	fenspiride	38	KG00098066	Binocular vision disorders	0.02938735857605934
trial_2	fenspiride	139	KG00098855	Sinusitis, Ethmoid	0.029317868873476982
trial_2	fenspiride	282	KG00099309	hypernatraemia	0.029116176068782806
trial_2	fenspiride	69	KG00100082	Palpitations NOS	0.028925009071826935
trial_2	fenspiride	249	KG00104430	hypoalbuminaemia	0.028258666396141052
trial_2	fenspiride	82	KG00097697	abdomen distended	0.02777155116200447
trial_2	fenspiride	194	KG00110727	Neutrophil Count Decreased	0.02763606235384941
trial_2	fenspiride	269	KG00100399	pyaemia	0.027356820181012154
trial_2	fenspiride	116	KG00098964	Pain in foot	0.027328280732035637
trial_2	fenspiride	261	KG00101559	raised alkaline phosphatase	0.02717975713312626
trial_2	fenspiride	35	KG00101507	hypomagnesaemia	0.026933154091238976
trial_2	fenspiride	166	KG00099773	menopausal syndrome	0.026186497882008553
trial_2	fenspiride	75	KG00100195	Dolens, Phlegmasia Alba	0.025877220556139946
trial_2	fenspiride	144	KG00099610	Leukopenia NOS	0.025833839550614357
trial_2	fenspiride	253	KG00100232	Pleural effusion NOS (disorder)	0.02567618153989315
trial_2	fenspiride	262	KG00101199	agitation	0.025548730045557022
trial_2	fenspiride	355	KG00110857	lymphocyte count decreased	0.024934323504567146
trial_2	fenspiride	286	KG00101110	Retention, Urinary	0.0244886614382267
trial_2	fenspiride	211	KG00100341	Pruritus NOS	0.024306973442435265
trial_2	fenspiride	234	KG00098669	dysgeusias	0.023940972983837128
trial_2	fenspiride	186	KG00101431	creatinine increased	0.02271871082484722
trial_2	fenspiride	130	KG00100683	Stomatitis NOS	0.022706642746925354
trial_2	fenspiride	288	KG00101223	hypophosphataemia	0.022626901045441628
trial_2	fenspiride	254	KG00100774	Thrombosis NOS	0.022273918613791466
trial_2	fenspiride	191	KG00104055	Biliverdin increased	0.022245263680815697
trial_2	fenspiride	92	KG00100926	Infections, Upper Respiratory	0.022189214825630188
trial_2	fenspiride	441	KG00098262	cellulitis nos	0.02198985032737255
trial_2	fenspiride	132	KG00101045	Gain, Weight	0.021970713511109352
trial_2	fenspiride	361	KG00098004	Fibrillation, Atrial	0.021790724247694016
trial_2	fenspiride	33	KG00100094	Pancreatitis NOS	0.021646419540047646
trial_2	fenspiride	154	KG00099686	Lymphopenias	0.0214008167386055
trial_2	fenspiride	163	KG00104050	bowel obstructions small	0.021021679043769836
trial_2	fenspiride	508	KG00108565	blood glucose increased	0.021007956936955452
trial_2	fenspiride	1	KG00099959	Neutropenia NOS	0.020804401487112045
trial_2	fenspiride	22	KG00098705	Edema (NOS)	0.02052742801606655
trial_2	fenspiride	133	KG00101370	neuropathies sensory	0.02035589888691902
trial_2	fenspiride	15	KG00097882	Angina pectoris NOS	0.020288201048970222
trial_2	fenspiride	36	KG00106434	Vision, Blurring Of	0.02018374763429165
trial_2	fenspiride	256	KG00100738	Tachycardia, Sinus	0.020183291286230087
trial_2	fenspiride	31	KG00099872	Infarction, Myocardial	0.020146995782852173
trial_2	fenspiride	204	KG00098849	Esophagitis, Peptic	0.019892564043402672
trial_2	fenspiride	466	KG00101205	fall	0.019835714250802994
trial_2	fenspiride	100	KG00097815	alopecias	0.019822824746370316
trial_2	fenspiride	153	KG00099579	lethargy	0.0192091166973114
trial_2	fenspiride	394	KG00100243	Pneumonia, Aspiration	0.01908254623413086
