trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	77	KG00098450	Constipation NOS	0.28335556387901306
trial_1	placebo	87	KG00098599	diarrhoea	0.23289883136749268
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.20937225222587585
trial_1	placebo	9	KG00098432	Confusion NOS	0.17569930851459503
trial_1	placebo	300	KG00101064	xerostomia	0.1648108959197998
trial_1	placebo	20	KG00098540	dehydration	0.15327756106853485
trial_1	placebo	68	KG00099901	nauseas	0.13539525866508484
trial_1	placebo	17	KG00097991	Asthenia NOS	0.13331474363803864
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.12097631394863129
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.11755672097206116
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.1115885078907013
trial_1	placebo	49	KG00099902	nausea with vomiting	0.11054335534572601
trial_1	placebo	123	KG00099351	hypokalaemia	0.1017967090010643
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.09949695318937302
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.093971848487854
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0934227705001831
trial_1	placebo	286	KG00101110	Retention, Urinary	0.08716443181037903
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08715737611055374
trial_1	placebo	21	KG00098675	dyspnoea	0.07978537678718567
trial_1	placebo	46	KG00099121	Headache NOS	0.07888242602348328
trial_1	placebo	86	KG00098565	Depression, Mental	0.0777684673666954
trial_1	placebo	101	KG00097901	Anorexia NOS	0.07468300312757492
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.07148244231939316
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.07092522084712982
trial_1	placebo	239	KG00100128	pareses	0.06648098677396774
trial_1	placebo	235	KG00098682	Dysuria NOS	0.06632617861032486
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.06567629426717758
trial_1	placebo	85	KG00098474	coughs	0.06464267522096634
trial_1	placebo	18	KG00098307	Pain, Chest	0.06417436897754669
