trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.15748722851276398
trial_1	placebo	177	KG00099299	hyperglycaemia	0.09247785061597824
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08999466150999069
trial_1	placebo	87	KG00098599	diarrhoea	0.08913986384868622
trial_1	placebo	9	KG00098432	Confusion NOS	0.08469606935977936
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07624132931232452
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.06964173167943954
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06682714819908142
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06410782039165497
trial_1	placebo	86	KG00098565	Depression, Mental	0.06323088705539703
trial_1	placebo	21	KG00098675	dyspnoea	0.06297518312931061
trial_1	placebo	166	KG00099773	menopausal syndrome	0.06109713390469551
trial_1	placebo	123	KG00099351	hypokalaemia	0.05936255306005478
trial_1	placebo	126	KG00100076	Pain NOS	0.054781220853328705
trial_1	placebo	20	KG00098540	dehydration	0.053626593202352524
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.052710749208927155
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.0514681413769722
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.051293179392814636
trial_1	placebo	46	KG00099121	Headache NOS	0.05099409818649292
trial_1	placebo	104	KG00097963	arthralgias	0.04859321564435959
trial_1	placebo	132	KG00101045	Gain, Weight	0.04664753004908562
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.045904695987701416
trial_1	placebo	77	KG00098450	Constipation NOS	0.04580976441502571
trial_1	placebo	14	KG00097852	Anemia NOS	0.044590264558792114
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04284244775772095
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04281986132264137
trial_1	placebo	85	KG00098474	coughs	0.04195234924554825
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03885965794324875
trial_1	placebo	228	KG00114657	Weight below normal	0.037605252116918564
trial_1	placebo	5	KG00099169	haematuria	0.03732043504714966
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.03720305114984512
trial_1	placebo	239	KG00100128	pareses	0.03706974908709526
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03695228695869446
trial_1	placebo	18	KG00098307	Pain, Chest	0.03668631240725517
trial_1	placebo	203	KG00098661	dysarthrias	0.03544493019580841
trial_1	placebo	114	KG00098933	fevers	0.03505348414182663
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03448604792356491
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.03394417092204094
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.03390156105160713
trial_1	placebo	350	KG00106765	decreased platelet count	0.033562395721673965
trial_1	placebo	286	KG00101110	Retention, Urinary	0.033308323472738266
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.03270086273550987
trial_1	placebo	29	KG00099354	hyponatraemia	0.03268164396286011
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.03258274495601654
trial_1	placebo	466	KG00101205	fall	0.0324070043861866
trial_1	placebo	121	KG00099190	haemorrhage	0.032287631183862686
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03223495930433273
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03207110986113548
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03194630518555641
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.03192047029733658
trial_1	placebo	116	KG00098964	Pain in foot	0.031668923795223236
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.0314115546643734
trial_1	placebo	68	KG00099901	nauseas	0.031331710517406464
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03098330646753311
trial_1	placebo	147	KG00098000	atelectases	0.030685635283589363
trial_1	placebo	27	KG00099303	hyperkalaemia	0.030664004385471344
trial_1	placebo	441	KG00098262	cellulitis nos	0.030342208221554756
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02960747294127941
trial_1	placebo	11	KG00097993	Asthma NOS	0.029566092416644096
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.029260510578751564
trial_1	placebo	118	KG00099011	Gastritis NOS	0.02879534661769867
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.028101826086640358
trial_1	placebo	72	KG00103771	myalgias	0.027555564418435097
trial_1	placebo	456	KG00099420	Influenzae	0.027548281475901604
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.027477188035845757
