trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.16897201538085938
trial_1	placebo	123	KG00099351	hypokalaemia	0.13068273663520813
trial_1	placebo	68	KG00099901	nauseas	0.12327951937913895
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10276027023792267
trial_1	placebo	20	KG00098540	dehydration	0.09327656030654907
trial_1	placebo	49	KG00099902	nausea with vomiting	0.09200546890497208
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.08699854463338852
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.08050354570150375
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.0801120474934578
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07615117728710175
trial_1	placebo	46	KG00099121	Headache NOS	0.07133476436138153
trial_1	placebo	9	KG00098432	Confusion NOS	0.07088898122310638
trial_1	placebo	14	KG00097852	Anemia NOS	0.06891840696334839
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06681794673204422
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06621161103248596
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0651727244257927
trial_1	placebo	77	KG00098450	Constipation NOS	0.059688400477170944
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05949234962463379
trial_1	placebo	21	KG00098675	dyspnoea	0.0572250559926033
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0566096305847168
trial_1	placebo	29	KG00099354	hyponatraemia	0.05593887344002724
trial_1	placebo	228	KG00114657	Weight below normal	0.05557349696755409
trial_1	placebo	350	KG00106765	decreased platelet count	0.05446460098028183
trial_1	placebo	126	KG00100076	Pain NOS	0.05395195633172989
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.053565338253974915
trial_1	placebo	114	KG00098933	fevers	0.05254315584897995
trial_1	placebo	121	KG00099190	haemorrhage	0.05254219099879265
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.051131393760442734
trial_1	placebo	147	KG00098000	atelectases	0.04782918840646744
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.047730498015880585
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04719119146466255
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04635048285126686
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.04425673186779022
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04357142001390457
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04304100200533867
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04299669712781906
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04165565222501755
trial_1	placebo	96	KG00101679	Unattended death NOS	0.04145505279302597
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04087238386273384
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04056357592344284
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03943442925810814
trial_1	placebo	282	KG00099309	hypernatraemia	0.03905465453863144
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03894570842385292
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.03864132612943649
trial_1	placebo	100	KG00097815	alopecias	0.0377986840903759
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.035570938140153885
trial_1	placebo	18	KG00098307	Pain, Chest	0.035432200878858566
trial_1	placebo	28	KG00099347	hypoglycaemia	0.0349491722881794
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.033989496529102325
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.033854249864816666
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.03367907926440239
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03204342722892761
trial_1	placebo	257	KG00100922	Erythema NOS	0.03204040974378586
trial_1	placebo	5	KG00099169	haematuria	0.03198093920946121
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03191465884447098
trial_1	placebo	72	KG00103771	myalgias	0.03144711256027222
trial_1	placebo	82	KG00097697	abdomen distended	0.030589507892727852
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.03058161400258541
trial_1	placebo	164	KG00108827	ileus colon	0.030557550489902496
trial_1	placebo	154	KG00099686	Lymphopenias	0.029773300513625145
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02957725338637829
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.029045291244983673
trial_1	placebo	503	KG00102612	low haemoglobin	0.029001563787460327
trial_1	placebo	269	KG00100399	pyaemia	0.02812654711306095
trial_1	placebo	186	KG00101431	creatinine increased	0.02792068012058735
trial_1	placebo	104	KG00097963	arthralgias	0.027735594660043716
trial_1	placebo	85	KG00098474	coughs	0.02748454362154007
trial_1	placebo	133	KG00101370	neuropathies sensory	0.027428122237324715
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.027394523844122887
trial_1	placebo	441	KG00098262	cellulitis nos	0.027347521856427193
trial_1	placebo	211	KG00100341	Pruritus NOS	0.026994820684194565
trial_1	placebo	155	KG00099960	Neutrophile	0.026467924937605858
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.02642357349395752
trial_1	placebo	212	KG00100576	shivers	0.026121897622942924
trial_1	placebo	239	KG00100128	pareses	0.02551944926381111
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.025518257170915604
trial_1	placebo	86	KG00098565	Depression, Mental	0.025474995374679565
trial_1	placebo	234	KG00098669	dysgeusias	0.02546733058989048
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.024127181619405746
trial_1	placebo	347	KG00104223	Mucosal ulcers	0.023366499692201614
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.023350030183792114
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.023050056770443916
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.022684406489133835
trial_1	placebo	254	KG00100774	Thrombosis NOS	0.022547941654920578
trial_1	placebo	455	KG00099290	hyperbilirubinemias	0.022543754428625107
trial_1	placebo	136	KG00101582	Dry;skin	0.02224384993314743
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.021097837015986443
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02096785604953766
trial_1	placebo	288	KG00101223	hypophosphataemia	0.020863238722085953
trial_1	placebo	116	KG00098964	Pain in foot	0.02050173096358776
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.02048906683921814
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.020301569253206253
trial_1	placebo	170	KG00108926	Neutropenia, Febrile	0.020002596080303192
trial_1	placebo	286	KG00101110	Retention, Urinary	0.019946826621890068
trial_1	placebo	89	KG00099301	Hyperhidrosis (disorder)	0.018576184287667274
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.018113551661372185
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.017982613295316696
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.017966940999031067
trial_1	placebo	135	KG00101549	bone pain	0.017913762480020523
trial_1	placebo	4	KG00098817	epistaxis	0.017830749973654747
trial_2	floxuridine	87	KG00098599	diarrhoea	0.16897201538085938
trial_2	floxuridine	123	KG00099351	hypokalaemia	0.13068273663520813
trial_2	floxuridine	68	KG00099901	nauseas	0.12327951937913895
trial_2	floxuridine	177	KG00099299	hyperglycaemia	0.10276027023792267
trial_2	floxuridine	20	KG00098540	dehydration	0.09327656030654907
trial_2	floxuridine	49	KG00099902	nausea with vomiting	0.09200546890497208
trial_2	floxuridine	78	KG00099326	Hypertensive diseases	0.08699854463338852
trial_2	floxuridine	2	KG00100772	thrombocytopaenia	0.08050354570150375
trial_2	floxuridine	189	KG00101580	Alanine aminotransferase increase	0.0801120474934578
trial_2	floxuridine	17	KG00097991	Asthenia NOS	0.07615117728710175
trial_2	floxuridine	46	KG00099121	Headache NOS	0.07133476436138153
trial_2	floxuridine	9	KG00098432	Confusion NOS	0.07088898122310638
trial_2	floxuridine	14	KG00097852	Anemia NOS	0.06891840696334839
trial_2	floxuridine	64	KG00097734	Acrodermatitis, NOS	0.06681794673204422
trial_2	floxuridine	67	KG00098673	Dyspepsia, NOS	0.06621161103248596
trial_2	floxuridine	37	KG00097696	Cramps, Abdominal	0.0651727244257927
trial_2	floxuridine	77	KG00098450	Constipation NOS	0.059688400477170944
trial_2	floxuridine	200	KG00098539	Disorders, Deglutition	0.05949234962463379
trial_2	floxuridine	21	KG00098675	dyspnoea	0.0572250559926033
trial_2	floxuridine	188	KG00101579	Aspartate aminotransferase increase	0.0566096305847168
trial_2	floxuridine	29	KG00099354	hyponatraemia	0.05593887344002724
trial_2	floxuridine	228	KG00114657	Weight below normal	0.05557349696755409
trial_2	floxuridine	350	KG00106765	decreased platelet count	0.05446460098028183
trial_2	floxuridine	126	KG00100076	Pain NOS	0.05395195633172989
trial_2	floxuridine	142	KG00100923	Unspecified infectious and parasitic diseases	0.053565338253974915
trial_2	floxuridine	114	KG00098933	fevers	0.05254315584897995
trial_2	floxuridine	121	KG00099190	haemorrhage	0.05254219099879265
trial_2	floxuridine	173	KG00098172	Bronchopneumonia NOS	0.051131393760442734
trial_2	floxuridine	147	KG00098000	atelectases	0.04782918840646744
trial_2	floxuridine	61	KG00099501	Chronic Kidney Failure	0.047730498015880585
trial_2	floxuridine	194	KG00110727	Neutrophil Count Decreased	0.04719119146466255
trial_2	floxuridine	179	KG00099342	hypocalcaemia	0.04635048285126686
trial_2	floxuridine	144	KG00099610	Leukopenia NOS	0.04425673186779022
trial_2	floxuridine	180	KG00099363	Hypotension NOS	0.04357142001390457
trial_2	floxuridine	122	KG00099321	Hypersensitivity NOS	0.04304100200533867
trial_2	floxuridine	76	KG00100450	Respiratory insufficiency, NOS	0.04299669712781906
trial_2	floxuridine	101	KG00097901	Anorexia NOS	0.04165565222501755
trial_2	floxuridine	96	KG00101679	Unattended death NOS	0.04145505279302597
trial_2	floxuridine	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04087238386273384
trial_2	floxuridine	191	KG00104055	Biliverdin increased	0.04056357592344284
trial_2	floxuridine	27	KG00099303	hyperkalaemia	0.03943442925810814
trial_2	floxuridine	282	KG00099309	hypernatraemia	0.03905465453863144
trial_2	floxuridine	79	KG00100317	Insomnia, Primary	0.03894570842385292
trial_2	floxuridine	1	KG00099959	Neutropenia NOS	0.03864132612943649
trial_2	floxuridine	100	KG00097815	alopecias	0.0377986840903759
trial_2	floxuridine	151	KG00098274	Infarction, Cerebral	0.035570938140153885
trial_2	floxuridine	18	KG00098307	Pain, Chest	0.035432200878858566
trial_2	floxuridine	28	KG00099347	hypoglycaemia	0.0349491722881794
trial_2	floxuridine	243	KG00100947	Micturition frequency increased	0.033989496529102325
trial_2	floxuridine	396	KG00100373	Embolism, Pulmonary	0.033854249864816666
trial_2	floxuridine	249	KG00104430	hypoalbuminaemia	0.03367907926440239
trial_2	floxuridine	276	KG00099127	Arrest, Cardiac	0.03204342722892761
trial_2	floxuridine	257	KG00100922	Erythema NOS	0.03204040974378586
trial_2	floxuridine	5	KG00099169	haematuria	0.03198093920946121
