trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.18638376891613007
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.14567634463310242
trial_1	placebo	17	KG00097991	Asthenia NOS	0.13916772603988647
trial_1	placebo	9	KG00098432	Confusion NOS	0.11596561223268509
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10974308848381042
trial_1	placebo	123	KG00099351	hypokalaemia	0.09874860942363739
trial_1	placebo	68	KG00099901	nauseas	0.0950690507888794
trial_1	placebo	20	KG00098540	dehydration	0.09458672255277634
trial_1	placebo	77	KG00098450	Constipation NOS	0.09440246224403381
trial_1	placebo	21	KG00098675	dyspnoea	0.09360790252685547
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.08875136077404022
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08756515383720398
trial_1	placebo	46	KG00099121	Headache NOS	0.08343882113695145
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07712757587432861
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07594316452741623
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07519568502902985
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07300703227519989
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07239897549152374
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06977836787700653
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0671161636710167
trial_1	placebo	14	KG00097852	Anemia NOS	0.059598539024591446
trial_1	placebo	228	KG00114657	Weight below normal	0.057079482823610306
trial_1	placebo	126	KG00100076	Pain NOS	0.05518266186118126
trial_1	placebo	101	KG00097901	Anorexia NOS	0.052454832941293716
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05238720029592514
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05200790986418724
trial_1	placebo	29	KG00099354	hyponatraemia	0.05189569666981697
trial_1	placebo	350	KG00106765	decreased platelet count	0.05069970712065697
trial_1	placebo	114	KG00098933	fevers	0.05064106732606888
trial_1	placebo	239	KG00100128	pareses	0.04992170259356499
trial_1	placebo	85	KG00098474	coughs	0.04835302755236626
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04743954539299011
trial_1	placebo	5	KG00099169	haematuria	0.04687511548399925
trial_1	placebo	104	KG00097963	arthralgias	0.046252623200416565
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04546239227056503
trial_1	placebo	86	KG00098565	Depression, Mental	0.045258160680532455
trial_1	placebo	28	KG00099347	hypoglycaemia	0.044613733887672424
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04268699139356613
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.04148712754249573
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.04141552001237869
trial_1	placebo	179	KG00099342	hypocalcaemia	0.040287747979164124
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.03845682740211487
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03816795349121094
trial_1	placebo	102	KG00097916	anxieties	0.03725041449069977
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03654680401086807
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.03638901188969612
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.035909656435251236
trial_1	placebo	82	KG00097697	abdomen distended	0.03573959693312645
trial_1	placebo	234	KG00098669	dysgeusias	0.034176431596279144
trial_1	placebo	132	KG00101045	Gain, Weight	0.034005243331193924
