trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.13568493723869324
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.07583232969045639
trial_1	placebo	123	KG00099351	hypokalaemia	0.06810695677995682
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06465800106525421
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05807091295719147
trial_1	placebo	177	KG00099299	hyperglycaemia	0.0575893335044384
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.056467343121767044
trial_1	placebo	46	KG00099121	Headache NOS	0.053941890597343445
trial_1	placebo	21	KG00098675	dyspnoea	0.05183246731758118
trial_1	placebo	17	KG00097991	Asthenia NOS	0.05163801461458206
trial_1	placebo	49	KG00099902	nausea with vomiting	0.04993191361427307
trial_1	placebo	68	KG00099901	nauseas	0.04992760717868805
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.048544276505708694
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04848200082778931
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.046806253492832184
trial_1	placebo	20	KG00098540	dehydration	0.045342981815338135
trial_1	placebo	14	KG00097852	Anemia NOS	0.043045323342084885
trial_1	placebo	9	KG00098432	Confusion NOS	0.04265735670924187
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.0383288599550724
trial_1	placebo	228	KG00114657	Weight below normal	0.03703002631664276
trial_1	placebo	114	KG00098933	fevers	0.036408763378858566
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03638821840286255
trial_1	placebo	350	KG00106765	decreased platelet count	0.034982964396476746
trial_1	placebo	29	KG00099354	hyponatraemia	0.034432053565979004
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.03408989682793617
trial_1	placebo	85	KG00098474	coughs	0.03150003403425217
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03116348572075367
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.030745845288038254
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.030355559661984444
trial_1	placebo	147	KG00098000	atelectases	0.029847484081983566
trial_1	placebo	77	KG00098450	Constipation NOS	0.029234718531370163
trial_1	placebo	126	KG00100076	Pain NOS	0.028727807104587555
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.02871980331838131
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02838987112045288
trial_1	placebo	269	KG00100399	pyaemia	0.028318312019109726
trial_1	placebo	101	KG00097901	Anorexia NOS	0.027060702443122864
trial_1	placebo	96	KG00101679	Unattended death NOS	0.0266264658421278
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.026553526520729065
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02648875117301941
trial_1	placebo	179	KG00099342	hypocalcaemia	0.026307208463549614
trial_1	placebo	104	KG00097963	arthralgias	0.024264788255095482
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.024216195568442345
trial_1	placebo	5	KG00099169	haematuria	0.023881636559963226
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.02362564578652382
trial_1	placebo	28	KG00099347	hypoglycaemia	0.023439768701791763
trial_1	placebo	191	KG00104055	Biliverdin increased	0.023035557940602303
trial_1	placebo	27	KG00099303	hyperkalaemia	0.022890537977218628
trial_1	placebo	86	KG00098565	Depression, Mental	0.022478265687823296
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.022379346191883087
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.022312117740511894
trial_1	placebo	72	KG00103771	myalgias	0.02214222028851509
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.02196330577135086
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.021718187257647514
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.021595599129796028
trial_1	placebo	180	KG00099363	Hypotension NOS	0.020145153626799583
trial_1	placebo	234	KG00098669	dysgeusias	0.020032167434692383
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.019904471933841705
trial_1	placebo	441	KG00098262	cellulitis nos	0.01971055008471012
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.019556881859898567
trial_1	placebo	82	KG00097697	abdomen distended	0.01938001997768879
trial_1	placebo	239	KG00100128	pareses	0.019257299602031708
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.019056126475334167
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.018871722742915154
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.01870494708418846
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.018158435821533203
trial_1	placebo	154	KG00099686	Lymphopenias	0.018112272024154663
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.017957890406250954
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.017927709966897964
trial_1	placebo	121	KG00099190	haemorrhage	0.01782887987792492
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.017298465594649315
trial_1	placebo	282	KG00099309	hypernatraemia	0.01716008596122265
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.01695941388607025
trial_1	placebo	69	KG00100082	Palpitations NOS	0.016889091581106186
trial_1	placebo	186	KG00101431	creatinine increased	0.01653149351477623
trial_1	placebo	18	KG00098307	Pain, Chest	0.016086367890238762
trial_1	placebo	257	KG00100922	Erythema NOS	0.015743499621748924
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.015688680112361908
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.015591110102832317
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.015405924059450626
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.01497418899089098
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.014960141852498055
trial_1	placebo	4	KG00098817	epistaxis	0.014918328262865543
trial_1	placebo	136	KG00101582	Dry;skin	0.014537020586431026
trial_1	placebo	211	KG00100341	Pruritus NOS	0.014499790035188198
