trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.08327595889568329
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.05075322836637497
trial_1	placebo	177	KG00099299	hyperglycaemia	0.04681595414876938
trial_1	placebo	9	KG00098432	Confusion NOS	0.046189527958631516
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.04426310583949089
trial_1	placebo	20	KG00098540	dehydration	0.043898724019527435
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.040715258568525314
trial_1	placebo	123	KG00099351	hypokalaemia	0.03823690488934517
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.03804783895611763
trial_1	placebo	17	KG00097991	Asthenia NOS	0.03647654131054878
trial_1	placebo	46	KG00099121	Headache NOS	0.0333247184753418
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.03248507156968117
trial_1	placebo	28	KG00099347	hypoglycaemia	0.03180621564388275
trial_1	placebo	228	KG00114657	Weight below normal	0.03145711496472359
trial_1	placebo	21	KG00098675	dyspnoea	0.030568532645702362
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.030463051050901413
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03008408285677433
trial_1	placebo	132	KG00101045	Gain, Weight	0.028586791828274727
trial_1	placebo	77	KG00098450	Constipation NOS	0.02746283821761608
trial_1	placebo	29	KG00099354	hyponatraemia	0.025343317538499832
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.024906765669584274
trial_1	placebo	126	KG00100076	Pain NOS	0.023469820618629456
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.02325262315571308
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.02254185825586319
trial_1	placebo	14	KG00097852	Anemia NOS	0.02209596149623394
trial_1	placebo	86	KG00098565	Depression, Mental	0.022081919014453888
trial_1	placebo	85	KG00098474	coughs	0.02168269082903862
trial_1	placebo	49	KG00099902	nausea with vomiting	0.021379578858613968
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02128814160823822
trial_1	placebo	121	KG00099190	haemorrhage	0.020594066008925438
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02055649273097515
trial_1	placebo	104	KG00097963	arthralgias	0.019610995426774025
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.018609339371323586
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.01826539821922779
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.01796889305114746
trial_1	placebo	350	KG00106765	decreased platelet count	0.017492257058620453
trial_1	placebo	114	KG00098933	fevers	0.017346395179629326
trial_1	placebo	68	KG00099901	nauseas	0.016937820240855217
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.016865482553839684
trial_1	placebo	18	KG00098307	Pain, Chest	0.01685144565999508
trial_1	placebo	147	KG00098000	atelectases	0.016205357387661934
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.016123104840517044
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.0159546360373497
trial_1	placebo	5	KG00099169	haematuria	0.015891723334789276
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.015612898394465446
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.015514115802943707
trial_1	placebo	82	KG00097697	abdomen distended	0.015413547866046429
trial_1	placebo	239	KG00100128	pareses	0.015242415480315685
trial_1	placebo	101	KG00097901	Anorexia NOS	0.01524230744689703
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.015026085078716278
trial_1	placebo	27	KG00099303	hyperkalaemia	0.014644294045865536
