trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.049435485154390335
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.03678876534104347
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.034631989896297455
trial_1	placebo	46	KG00099121	Headache NOS	0.03385021165013313
trial_1	placebo	177	KG00099299	hyperglycaemia	0.02941785380244255
trial_1	placebo	9	KG00098432	Confusion NOS	0.027750495821237564
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.026435911655426025
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.025804992765188217
trial_1	placebo	21	KG00098675	dyspnoea	0.024924881756305695
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.023061972111463547
trial_1	placebo	123	KG00099351	hypokalaemia	0.02200501225888729
trial_1	placebo	17	KG00097991	Asthenia NOS	0.02177499420940876
trial_1	placebo	20	KG00098540	dehydration	0.02165289781987667
trial_1	placebo	126	KG00100076	Pain NOS	0.020551588386297226
trial_1	placebo	114	KG00098933	fevers	0.020159432664513588
trial_1	placebo	49	KG00099902	nausea with vomiting	0.020136797800660133
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.019824931398034096
trial_1	placebo	68	KG00099901	nauseas	0.019114898517727852
trial_1	placebo	96	KG00101679	Unattended death NOS	0.018842387944459915
trial_1	placebo	14	KG00097852	Anemia NOS	0.017742805182933807
trial_1	placebo	77	KG00098450	Constipation NOS	0.017229652032256126
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.016941417008638382
trial_1	placebo	147	KG00098000	atelectases	0.016182133927941322
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.015818651765584946
trial_1	placebo	180	KG00099363	Hypotension NOS	0.0156797356903553
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.015222236514091492
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.015106303617358208
trial_1	placebo	85	KG00098474	coughs	0.015050445683300495
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.014738810248672962
trial_1	placebo	28	KG00099347	hypoglycaemia	0.014529029838740826
trial_1	placebo	228	KG00114657	Weight below normal	0.01451759971678257
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.014328252524137497
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.014093437232077122
trial_1	placebo	121	KG00099190	haemorrhage	0.013987740501761436
trial_1	placebo	86	KG00098565	Depression, Mental	0.01387727353721857
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.013019809499382973
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.01289877388626337
