trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.16055354475975037
trial_1	placebo	87	KG00098599	diarrhoea	0.14271944761276245
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.13095450401306152
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11273859441280365
trial_1	placebo	123	KG00099351	hypokalaemia	0.10694560408592224
trial_1	placebo	9	KG00098432	Confusion NOS	0.08963412046432495
trial_1	placebo	17	KG00097991	Asthenia NOS	0.08933376520872116
trial_1	placebo	20	KG00098540	dehydration	0.08486780524253845
trial_1	placebo	21	KG00098675	dyspnoea	0.08120507001876831
trial_1	placebo	46	KG00099121	Headache NOS	0.07999687641859055
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.07825353741645813
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07583387941122055
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07378360629081726
trial_1	placebo	68	KG00099901	nauseas	0.07134430855512619
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06952565908432007
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.06810831278562546
trial_1	placebo	14	KG00097852	Anemia NOS	0.06701340526342392
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.06498672068119049
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0636216402053833
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.06323159486055374
trial_1	placebo	114	KG00098933	fevers	0.06290272623300552
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.060048457235097885
trial_1	placebo	350	KG00106765	decreased platelet count	0.05811402574181557
trial_1	placebo	77	KG00098450	Constipation NOS	0.057679809629917145
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05580316111445427
trial_1	placebo	29	KG00099354	hyponatraemia	0.05526819825172424
trial_1	placebo	228	KG00114657	Weight below normal	0.05513758212327957
trial_1	placebo	126	KG00100076	Pain NOS	0.05415100231766701
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.053005725145339966
trial_1	placebo	239	KG00100128	pareses	0.05040762946009636
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.050254110246896744
trial_1	placebo	5	KG00099169	haematuria	0.04992181807756424
trial_1	placebo	147	KG00098000	atelectases	0.04957015812397003
trial_1	placebo	27	KG00099303	hyperkalaemia	0.0492437407374382
trial_1	placebo	86	KG00098565	Depression, Mental	0.048914335668087006
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04857570677995682
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.04735714942216873
trial_1	placebo	104	KG00097963	arthralgias	0.047076765447854996
