trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10299021005630493
trial_1	placebo	87	KG00098599	diarrhoea	0.09474769979715347
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.094113290309906
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0924130529165268
trial_1	placebo	123	KG00099351	hypokalaemia	0.06626848876476288
trial_1	placebo	20	KG00098540	dehydration	0.06569094210863113
trial_1	placebo	17	KG00097991	Asthenia NOS	0.060672227293252945
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.05263100937008858
trial_1	placebo	9	KG00098432	Confusion NOS	0.05258405953645706
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.05251551792025566
trial_1	placebo	21	KG00098675	dyspnoea	0.04907222464680672
trial_1	placebo	77	KG00098450	Constipation NOS	0.04891657829284668
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.04872886463999748
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.048045311123132706
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.047998975962400436
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.047218188643455505
trial_1	placebo	86	KG00098565	Depression, Mental	0.04378300905227661
trial_1	placebo	46	KG00099121	Headache NOS	0.04247806593775749
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04245462641119957
trial_1	placebo	14	KG00097852	Anemia NOS	0.0414736233651638
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04083855450153351
trial_1	placebo	68	KG00099901	nauseas	0.03992488607764244
trial_1	placebo	126	KG00100076	Pain NOS	0.037962406873703
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.037838276475667953
trial_1	placebo	49	KG00099902	nausea with vomiting	0.03674231097102165
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.035694532096385956
trial_1	placebo	239	KG00100128	pareses	0.03533386066555977
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.03454969450831413
trial_1	placebo	114	KG00098933	fevers	0.03450382128357887
trial_1	placebo	228	KG00114657	Weight below normal	0.03423061594367027
trial_1	placebo	350	KG00106765	decreased platelet count	0.033868711441755295
trial_1	placebo	180	KG00099363	Hypotension NOS	0.032560449093580246
trial_1	placebo	132	KG00101045	Gain, Weight	0.032466378062963486
trial_1	placebo	29	KG00099354	hyponatraemia	0.032392967492341995
trial_1	placebo	72	KG00103771	myalgias	0.03232865035533905
trial_1	placebo	5	KG00099169	haematuria	0.03223281353712082
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.031027762219309807
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.03058851882815361
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.030216535553336143
trial_1	placebo	179	KG00099342	hypocalcaemia	0.029618194326758385
trial_1	placebo	147	KG00098000	atelectases	0.02927491068840027
trial_1	placebo	69	KG00100082	Palpitations NOS	0.029196804389357567
trial_1	placebo	85	KG00098474	coughs	0.029127933084964752
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.029107874259352684
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.028915494680404663
trial_1	placebo	96	KG00101679	Unattended death NOS	0.028886305168271065
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.028615275397896767
trial_1	placebo	27	KG00099303	hyperkalaemia	0.027385428547859192
trial_1	placebo	104	KG00097963	arthralgias	0.02669689618051052
trial_1	placebo	441	KG00098262	cellulitis nos	0.026629360392689705
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.026066500693559647
trial_1	placebo	116	KG00098964	Pain in foot	0.02601025067269802
trial_1	placebo	466	KG00101205	fall	0.024561671540141106
trial_1	placebo	121	KG00099190	haemorrhage	0.024206269532442093
trial_1	placebo	102	KG00097916	anxieties	0.024190805852413177
trial_1	placebo	508	KG00108565	blood glucose increased	0.024173447862267494
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.023719802498817444
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.02367931604385376
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.02331036701798439
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.022918157279491425
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.022739872336387634
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.022647099569439888
trial_1	placebo	282	KG00099309	hypernatraemia	0.022637074813246727
trial_1	placebo	101	KG00097901	Anorexia NOS	0.022579964250326157
trial_1	placebo	221	KG00101207	peripheral oedema	0.022545434534549713
trial_1	placebo	166	KG00099773	menopausal syndrome	0.022340944036841393
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.022273948416113853
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02162019908428192
trial_1	placebo	18	KG00098307	Pain, Chest	0.02125200442969799
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.021171320229768753
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.020949872210621834
trial_1	placebo	262	KG00101199	agitation	0.020579947158694267
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.020432977005839348
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.02035754732787609
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.020188961178064346
trial_1	placebo	133	KG00101370	neuropathies sensory	0.019594013690948486
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.01924399472773075
trial_1	placebo	286	KG00101110	Retention, Urinary	0.0192099642008543
trial_1	placebo	82	KG00097697	abdomen distended	0.019202355295419693
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.019180187955498695
trial_1	placebo	118	KG00099011	Gastritis NOS	0.018817633390426636
trial_1	placebo	100	KG00097815	alopecias	0.018377050757408142
trial_1	placebo	288	KG00101223	hypophosphataemia	0.01779882051050663
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.017715219408273697
trial_1	placebo	234	KG00098669	dysgeusias	0.01766824908554554
trial_1	placebo	454	KG00098286	Pain, Neck	0.017503881826996803
trial_1	placebo	211	KG00100341	Pruritus NOS	0.0172341987490654
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.017138633877038956
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.01711825281381607
trial_1	placebo	154	KG00099686	Lymphopenias	0.01707920990884304
trial_1	placebo	269	KG00100399	pyaemia	0.017035773023962975
trial_1	placebo	22	KG00098705	Edema (NOS)	0.017026975750923157
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.016889693215489388
trial_1	placebo	456	KG00099420	Influenzae	0.016725659370422363
trial_1	placebo	164	KG00108827	ileus colon	0.016639327630400658
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.016525572165846825
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.016525479033589363
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.016350869089365005
trial_1	placebo	152	KG00099402	INCONTINENCE NOS	0.016335047781467438
trial_1	placebo	363	KG00098184	burns injury	0.016137337312102318
trial_2	hydroxyprogesterone caproate	177	KG00099299	hyperglycaemia	0.10299021005630493
trial_2	hydroxyprogesterone caproate	87	KG00098599	diarrhoea	0.09474769979715347
trial_2	hydroxyprogesterone caproate	78	KG00099326	Hypertensive diseases	0.094113290309906
trial_2	hydroxyprogesterone caproate	173	KG00098172	Bronchopneumonia NOS	0.0924130529165268
trial_2	hydroxyprogesterone caproate	123	KG00099351	hypokalaemia	0.06626848876476288
trial_2	hydroxyprogesterone caproate	20	KG00098540	dehydration	0.06569094210863113
trial_2	hydroxyprogesterone caproate	17	KG00097991	Asthenia NOS	0.060672227293252945
trial_2	hydroxyprogesterone caproate	79	KG00100317	Insomnia, Primary	0.05263100937008858
trial_2	hydroxyprogesterone caproate	9	KG00098432	Confusion NOS	0.05258405953645706
trial_2	hydroxyprogesterone caproate	200	KG00098539	Disorders, Deglutition	0.05251551792025566
trial_2	hydroxyprogesterone caproate	21	KG00098675	dyspnoea	0.04907222464680672
trial_2	hydroxyprogesterone caproate	77	KG00098450	Constipation NOS	0.04891657829284668
trial_2	hydroxyprogesterone caproate	67	KG00098673	Dyspepsia, NOS	0.04872886463999748
trial_2	hydroxyprogesterone caproate	37	KG00097696	Cramps, Abdominal	0.048045311123132706
trial_2	hydroxyprogesterone caproate	243	KG00100947	Micturition frequency increased	0.047998975962400436
trial_2	hydroxyprogesterone caproate	64	KG00097734	Acrodermatitis, NOS	0.047218188643455505
trial_2	hydroxyprogesterone caproate	86	KG00098565	Depression, Mental	0.04378300905227661
trial_2	hydroxyprogesterone caproate	46	KG00099121	Headache NOS	0.04247806593775749
trial_2	hydroxyprogesterone caproate	28	KG00099347	hypoglycaemia	0.04245462641119957
trial_2	hydroxyprogesterone caproate	14	KG00097852	Anemia NOS	0.0414736233651638
trial_2	hydroxyprogesterone caproate	151	KG00098274	Infarction, Cerebral	0.04083855450153351
trial_2	hydroxyprogesterone caproate	68	KG00099901	nauseas	0.03992488607764244
trial_2	hydroxyprogesterone caproate	126	KG00100076	Pain NOS	0.037962406873703
trial_2	hydroxyprogesterone caproate	122	KG00099321	Hypersensitivity NOS	0.037838276475667953
trial_2	hydroxyprogesterone caproate	49	KG00099902	nausea with vomiting	0.03674231097102165
trial_2	hydroxyprogesterone caproate	189	KG00101580	Alanine aminotransferase increase	0.035694532096385956
trial_2	hydroxyprogesterone caproate	239	KG00100128	pareses	0.03533386066555977
trial_2	hydroxyprogesterone caproate	139	KG00098855	Sinusitis, Ethmoid	0.03454969450831413
