trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.32237452268600464
trial_1	placebo	9	KG00098432	Confusion NOS	0.20828990638256073
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1998637169599533
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1881902515888214
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.17437152564525604
trial_1	placebo	68	KG00099901	nauseas	0.1619742214679718
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.160845085978508
trial_1	placebo	46	KG00099121	Headache NOS	0.1573750376701355
trial_1	placebo	228	KG00114657	Weight below normal	0.14951716363430023
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.14726585149765015
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.14405331015586853
trial_1	placebo	123	KG00099351	hypokalaemia	0.14279325306415558
trial_1	placebo	21	KG00098675	dyspnoea	0.13995827734470367
trial_1	placebo	49	KG00099902	nausea with vomiting	0.13874585926532745
trial_1	placebo	20	KG00098540	dehydration	0.1373511105775833
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.13613881170749664
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.13048912584781647
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.11968491971492767
trial_1	placebo	77	KG00098450	Constipation NOS	0.11772509664297104
trial_1	placebo	101	KG00097901	Anorexia NOS	0.1115364208817482
trial_1	placebo	177	KG00099299	hyperglycaemia	0.11144831031560898
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.10163391381502151
trial_1	placebo	116	KG00098964	Pain in foot	0.09266101568937302
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.09063411504030228
trial_1	placebo	86	KG00098565	Depression, Mental	0.09049813449382782
trial_1	placebo	104	KG00097963	arthralgias	0.08897354453802109
trial_1	placebo	14	KG00097852	Anemia NOS	0.08890772610902786
trial_1	placebo	239	KG00100128	pareses	0.08489546924829483
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.08260568976402283
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.08161956071853638
trial_1	placebo	72	KG00103771	myalgias	0.08144295960664749
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.0797683522105217
trial_1	placebo	126	KG00100076	Pain NOS	0.07871818542480469
trial_1	placebo	5	KG00099169	haematuria	0.07786436378955841
trial_1	placebo	85	KG00098474	coughs	0.07486952841281891
trial_1	placebo	102	KG00097916	anxieties	0.07293880730867386
trial_1	placebo	350	KG00106765	decreased platelet count	0.07173747569322586
trial_1	placebo	114	KG00098933	fevers	0.07137424498796463
trial_1	placebo	82	KG00097697	abdomen distended	0.07119759917259216
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.06815631687641144
trial_1	placebo	18	KG00098307	Pain, Chest	0.06799115240573883
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.06769397109746933
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.06637630611658096
trial_1	placebo	466	KG00101205	fall	0.06390948593616486
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.061872124671936035
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.05979345366358757
trial_1	placebo	29	KG00099354	hyponatraemia	0.0594773143529892
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.059092774987220764
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.05906403437256813
trial_1	placebo	69	KG00100082	Palpitations NOS	0.05640415474772453
trial_1	placebo	191	KG00104055	Biliverdin increased	0.05615648999810219
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.055457115173339844
trial_1	placebo	454	KG00098286	Pain, Neck	0.05513836443424225
trial_1	placebo	441	KG00098262	cellulitis nos	0.0538516640663147
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.05203833058476448
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.0517616868019104
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.05167393013834953
trial_1	placebo	456	KG00099420	Influenzae	0.051226627081632614
trial_1	placebo	28	KG00099347	hypoglycaemia	0.05048549547791481
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.05011099949479103
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.049151912331581116
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.04906996712088585
trial_1	placebo	234	KG00098669	dysgeusias	0.04879389703273773
trial_1	placebo	108	KG00098479	Cramp, Limb	0.04847722873091698
trial_1	placebo	211	KG00100341	Pruritus NOS	0.04722035676240921
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.04672158136963844
trial_1	placebo	147	KG00098000	atelectases	0.045216210186481476
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.0451657697558403
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.04499364644289017
trial_1	placebo	11	KG00097993	Asthma NOS	0.04484003037214279
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04435838758945465
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04408500716090202
trial_1	placebo	132	KG00101045	Gain, Weight	0.04402763396501541
trial_1	placebo	153	KG00099579	lethargy	0.04349593073129654
trial_1	placebo	382	KG00099200	haemorrhoids	0.04305921494960785
trial_1	placebo	136	KG00101582	Dry;skin	0.042148519307374954
trial_1	placebo	4	KG00098817	epistaxis	0.04178387299180031
trial_1	placebo	345	KG00103926	impairments memory	0.04167240858078003
trial_1	placebo	262	KG00101199	agitation	0.04089951515197754
trial_1	placebo	508	KG00108565	blood glucose increased	0.04081319272518158
trial_1	placebo	94	KG00103829	abdominal discomfort	0.040766675025224686
trial_1	placebo	202	KG00098630	Disturbance of Skin Sensation	0.03993219509720802
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.03939707577228546
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.039007484912872314
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.03880980610847473
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.03831629082560539
trial_1	placebo	212	KG00100576	shivers	0.0376586839556694
trial_1	placebo	352	KG00107658	NON-CARDIAC CHEST PAIN	0.037576496601104736
trial_1	placebo	242	KG00100855	tremors	0.0375710129737854
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.0374978706240654
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.03692875802516937
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.03649614006280899
trial_1	placebo	269	KG00100399	pyaemia	0.03639787435531616
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03639495372772217
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.036393992602825165
trial_1	placebo	297	KG00099294	hypercholesterolaemia	0.036241184920072556
trial_1	placebo	84	KG00098393	Headache, Cluster	0.03610983490943909
trial_1	placebo	282	KG00099309	hypernatraemia	0.03571026027202606
trial_1	placebo	221	KG00101207	peripheral oedema	0.03545527905225754
trial_1	placebo	179	KG00099342	hypocalcaemia	0.035194166004657745
trial_2	ibudilast	87	KG00098599	diarrhoea	0.32237452268600464
trial_2	ibudilast	9	KG00098432	Confusion NOS	0.20828990638256073
trial_2	ibudilast	78	KG00099326	Hypertensive diseases	0.1998637169599533
trial_2	ibudilast	17	KG00097991	Asthenia NOS	0.1881902515888214
trial_2	ibudilast	67	KG00098673	Dyspepsia, NOS	0.17437152564525604
trial_2	ibudilast	68	KG00099901	nauseas	0.1619742214679718
trial_2	ibudilast	173	KG00098172	Bronchopneumonia NOS	0.160845085978508
trial_2	ibudilast	46	KG00099121	Headache NOS	0.1573750376701355
trial_2	ibudilast	228	KG00114657	Weight below normal	0.14951716363430023
trial_2	ibudilast	64	KG00097734	Acrodermatitis, NOS	0.14726585149765015
trial_2	ibudilast	37	KG00097696	Cramps, Abdominal	0.14405331015586853
trial_2	ibudilast	123	KG00099351	hypokalaemia	0.14279325306415558
trial_2	ibudilast	21	KG00098675	dyspnoea	0.13995827734470367
trial_2	ibudilast	49	KG00099902	nausea with vomiting	0.13874585926532745
trial_2	ibudilast	20	KG00098540	dehydration	0.1373511105775833
trial_2	ibudilast	189	KG00101580	Alanine aminotransferase increase	0.13613881170749664
trial_2	ibudilast	188	KG00101579	Aspartate aminotransferase increase	0.13048912584781647
trial_2	ibudilast	79	KG00100317	Insomnia, Primary	0.11968491971492767
trial_2	ibudilast	77	KG00098450	Constipation NOS	0.11772509664297104
trial_2	ibudilast	101	KG00097901	Anorexia NOS	0.1115364208817482
trial_2	ibudilast	177	KG00099299	hyperglycaemia	0.11144831031560898
trial_2	ibudilast	243	KG00100947	Micturition frequency increased	0.10163391381502151
trial_2	ibudilast	116	KG00098964	Pain in foot	0.09266101568937302
trial_2	ibudilast	200	KG00098539	Disorders, Deglutition	0.09063411504030228
trial_2	ibudilast	86	KG00098565	Depression, Mental	0.09049813449382782
trial_2	ibudilast	104	KG00097963	arthralgias	0.08897354453802109
trial_2	ibudilast	14	KG00097852	Anemia NOS	0.08890772610902786
trial_2	ibudilast	239	KG00100128	pareses	0.08489546924829483
trial_2	ibudilast	131	KG00100948	Urinary tract infection (& [NOS])	0.08260568976402283
trial_2	ibudilast	139	KG00098855	Sinusitis, Ethmoid	0.08161956071853638
trial_2	ibudilast	72	KG00103771	myalgias	0.08144295960664749
trial_2	ibudilast	2	KG00100772	thrombocytopaenia	0.0797683522105217
trial_2	ibudilast	126	KG00100076	Pain NOS	0.07871818542480469
trial_2	ibudilast	5	KG00099169	haematuria	0.07786436378955841
trial_2	ibudilast	85	KG00098474	coughs	0.07486952841281891
trial_2	ibudilast	102	KG00097916	anxieties	0.07293880730867386
trial_2	ibudilast	350	KG00106765	decreased platelet count	0.07173747569322586
trial_2	ibudilast	114	KG00098933	fevers	0.07137424498796463
trial_2	ibudilast	82	KG00097697	abdomen distended	0.07119759917259216
trial_2	ibudilast	204	KG00098849	Esophagitis, Peptic	0.06815631687641144
trial_2	ibudilast	18	KG00098307	Pain, Chest	0.06799115240573883
trial_2	ibudilast	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.06769397109746933
trial_2	ibudilast	36	KG00106434	Vision, Blurring Of	0.06637630611658096
trial_2	ibudilast	466	KG00101205	fall	0.06390948593616486
trial_2	ibudilast	76	KG00100450	Respiratory insufficiency, NOS	0.061872124671936035
trial_2	ibudilast	38	KG00098066	Binocular vision disorders	0.05979345366358757
trial_2	ibudilast	29	KG00099354	hyponatraemia	0.0594773143529892
trial_2	ibudilast	422	KG00101429	Creatine phosphokinase increased	0.059092774987220764
trial_2	ibudilast	30	KG00099500	Acute Kidney Failure	0.05906403437256813
trial_2	ibudilast	69	KG00100082	Palpitations NOS	0.05640415474772453
trial_2	ibudilast	191	KG00104055	Biliverdin increased	0.05615648999810219
trial_2	ibudilast	151	KG00098274	Infarction, Cerebral	0.055457115173339844
trial_2	ibudilast	454	KG00098286	Pain, Neck	0.05513836443424225
trial_2	ibudilast	441	KG00098262	cellulitis nos	0.0538516640663147
trial_2	ibudilast	98	KG00097718	Incised wound, NOS	0.05203833058476448
trial_2	ibudilast	396	KG00100373	Embolism, Pulmonary	0.0517616868019104
trial_2	ibudilast	355	KG00110857	lymphocyte count decreased	0.05167393013834953
trial_2	ibudilast	456	KG00099420	Influenzae	0.051226627081632614
trial_2	ibudilast	28	KG00099347	hypoglycaemia	0.05048549547791481
trial_2	ibudilast	92	KG00100926	Infections, Upper Respiratory	0.05011099949479103
trial_2	ibudilast	122	KG00099321	Hypersensitivity NOS	0.049151912331581116
trial_2	ibudilast	341	KG00101472	Gamma-glutamyltransferase increased	0.04906996712088585
trial_2	ibudilast	234	KG00098669	dysgeusias	0.04879389703273773
