trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.42216628789901733
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.3563764989376068
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.23342840373516083
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.20002838969230652
trial_1	placebo	9	KG00098432	Confusion NOS	0.1972990781068802
trial_1	placebo	21	KG00098675	dyspnoea	0.19303841888904572
trial_1	placebo	123	KG00099351	hypokalaemia	0.18770699203014374
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1872125267982483
trial_1	placebo	228	KG00114657	Weight below normal	0.17464330792427063
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.17309513688087463
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.17191182076931
trial_1	placebo	68	KG00099901	nauseas	0.15709559619426727
trial_1	placebo	49	KG00099902	nausea with vomiting	0.15097597241401672
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.14834047853946686
trial_1	placebo	14	KG00097852	Anemia NOS	0.14830397069454193
trial_1	placebo	114	KG00098933	fevers	0.14199218153953552
trial_1	placebo	20	KG00098540	dehydration	0.13641135394573212
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12964165210723877
trial_1	placebo	101	KG00097901	Anorexia NOS	0.12297455221414566
trial_1	placebo	177	KG00099299	hyperglycaemia	0.1175411194562912
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.11653361469507217
trial_1	placebo	46	KG00099121	Headache NOS	0.11614131182432175
trial_1	placebo	85	KG00098474	coughs	0.1149086132645607
trial_1	placebo	77	KG00098450	Constipation NOS	0.11228711158037186
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.11034313589334488
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.1101113110780716
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.10428299009799957
trial_1	placebo	441	KG00098262	cellulitis nos	0.09743158519268036
trial_1	placebo	126	KG00100076	Pain NOS	0.09714190661907196
trial_1	placebo	211	KG00100341	Pruritus NOS	0.0880591943860054
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.08450208604335785
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.08393890410661697
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.08376140892505646
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.0746915265917778
trial_1	placebo	5	KG00099169	haematuria	0.07420536875724792
trial_1	placebo	104	KG00097963	arthralgias	0.07299523800611496
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.07271429896354675
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.07143038511276245
trial_1	placebo	239	KG00100128	pareses	0.07050907611846924
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.06925483047962189
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.06697903573513031
